key,share
industry_final_demand_for_other_minerals_coal,6.69529236870830E-01
industry_final_demand_for_other_transport_equipment_coal,7.52073797142291E-03
industry_final_demand_for_other_machinery_coal,8.08218399752638E-03
industry_final_demand_for_other_mining_coal,2.91475664427161E-02
industry_final_demand_for_other_food_coal,9.63334785320992E-02
industry_final_demand_for_other_paper_coal,1.48693631546582E-01
industry_final_demand_for_other_wood_products_coal,4.37713952341432E-04
industry_final_demand_for_other_construction_coal,0.00000000000000E+00
industry_final_demand_for_other_textile_coal,0.00000000000000E+00
industry_final_demand_for_other_non_specified_coal,4.02554506864816E-02
