,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,-2.72123070000000E+05,-9.36206790000000E+05,5.25474000000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Coke ovens,-1.66443671000000E+06,1.23510177000000E+06,3.06249220000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Energy industry own use,,,,,,,,,
Coke ovens,0.00000000000000E+00,-,1.44857630000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.92307000000000E+03,0.00000000000000E+00
Blast furnaces,-,-,-,-,-,-,-,-,-
Total final consumption,,,,,,,,,
Industry - Steel,0.00000000000000E+00,-,2.74149954274287E+05,4.40836351988789E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.10496991479320E+05,0.00000000000000E+00
Industry - Aluminium,0.00000000000000E+00,-,0.00000000000000E+00,1.62666666666667E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.88128000000000E+05,0.00000000000000E+00
Industry - Other metals,3.19496376686545E+05,-,-,4.30263607018691E+03,7.52904400000000E+04,0.00000000000000E+00,4.92529354521554E+04,2.73587188520679E+05,2.15827906524277E+02
