201,203,204,205,206,207,208,211,212,214,239,252,320,321,209,210,215,225,235,240,242,248,249,251,257,258,260,265,267,269,270,273,275,277,278,279,280,283,285,286,290,308,310,311,312,313,315,316,319,323,324,330,331,340,343,344,348,350,356,370,375,377,380,391
,,,,,,,,,,,,120,,,67,,103,77,51,98,,,,,,36,51,,,77,,72,,,,82,,123,,82,72,72,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,103,,,51,,93,62,51,87,,,,,,31,36,,,72,,57,,,,77,,129,,72,62,51,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,84,,,41,,72,51,36,77,,,,,,31,36,,,62,,46,,,,67,,118,,67,51,41,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,60,,,21,,62,36,26,72,,,,,,15,21,,,51,,36,,,,67,,108,,62,31,26,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,39,,,5,,46,26,15,62,,,,,,10,10,,,72,,31,,,,57,,108,,41,31,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,,,0,,31,15,15,62,,,,,,10,5,,,41,,21,,,,46,,87,,36,36,31,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,19,,,5,,26,15,10,46,,,,,,5,5,,,31,,15,,,,36,,82,,36,26,41,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,22,,,10,,26,21,15,31,,,,,,5,10,,,26,,10,,,,31,,72,,36,26,36,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,44,,,21,,36,31,26,26,,,,,,10,10,,,15,,10,,,,21,,67,,26,36,51,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,61,,,36,,51,36,36,26,,,,,,15,15,,,21,,15,,,,21,,72,,15,41,57,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,78,,,51,,62,41,46,31,,,,,,26,21,,,31,,21,,,,26,,72,,10,62,67,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,84,,,67,,77,51,57,51,,,,,,36,31,,,36,,31,,,,36,,82,,5,62,67,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,98,,,67,,82,57,62,57,,,,,,41,41,,,51,,41,,,,36,,93,,10,51,67,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,87,,,67,,87,67,67,62,,,,,,46,51,,,51,,51,,,,41,,103,,15,72,57,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,95,,,67,,87,72,72,62,,,,,,41,51,,,57,,46,,,,36,,108,,21,103,87,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,95,,,67,,87,72,62,72,,,,,,46,51,,,57,,51,,,,41,,123,,21,93,82,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,81,,,46,,93,82,72,72,,,,,,41,21,,,62,,36,,,,46,,134,,26,72,67,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,161,,,41,,93,82,57,82,,,,,,31,36,,,51,,51,,,,46,,134,,36,98,72,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,147,,,41,,77,82,46,77,,,,,,31,36,,,62,,41,,,,46,,134,,51,108,93,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,128,,,62,,67,77,41,93,,,,,,15,21,,,72,,36,,,,51,,134,,41,129,103,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,147,,,93,,87,72,51,98,,,,,,15,21,,,77,,21,,,,51,,139,,41,118,113,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,160,,,93,,103,62,82,93,,,,,,41,36,,,77,,21,,,,51,,144,,31,123,103,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,167,,,108,,118,57,82,87,,,,,,57,67,,,72,,31,,,,51,,149,,26,144,108,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,176,,,108,,129,31,98,72,,,,,,62,72,,,67,,72,,,,51,,159,,26,139,123,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,170,,,118,,149,103,103,57,,,,,,62,72,,,62,,87,,,,46,,154,,21,134,123,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,177,,,118,,144,108,98,31,,,,,,72,82,,,46,,82,,,,36,,159,,67,134,123,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,172,,,118,,149,103,98,31,,,,,,62,77,,,46,,77,,,,36,,149,,82,129,118,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,166,,,118,,149,103,98,41,,,,,,62,82,,,51,,72,,,,31,,139,,72,123,113,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,160,,,113,,149,103,98,36,,,,,,62,67,,,51,,82,,,,36,,139,,67,118,103,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,159,,,113,,139,108,98,41,,,,,,62,67,,,62,,72,,,,41,,144,,67,108,98,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,155,,,103,,139,93,93,67,,,,,,57,67,,,67,,67,,,,46,,149,,67,103,93,,,,,,,,,,,,,,,,,,,,,
