# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   FH,    T
# 
  260,19970103,    9,   30,  -90
  260,19970103,   10,   40,  -80
  260,19970103,   11,   50,  -73
  260,19970103,   12,   50,  -64
  260,19970103,   13,   50,  -55
  260,19970103,   14,   50,  -60
  260,19970103,   15,   50,  -57
  260,19970103,   16,   60,  -55
  260,19970103,   17,   50,  -58
  260,19970103,   18,   50,  -60
  260,19970103,   19,   50,  -61
  260,19970103,   20,   60,  -55
  260,19970103,   21,   60,  -55
  260,19970103,   22,   60,  -54
  260,19970103,   23,   60,  -51
  260,19970103,   24,   60,  -50
  260,19970104,    1,   60,  -49
  260,19970104,    2,   50,  -48
  260,19970104,    3,   50,  -47
  260,19970104,    4,   50,  -46
  260,19970104,    5,   50,  -46
  260,19970104,    6,   60,  -44
  260,19970104,    7,   60,  -48
  260,19970104,    8,   60,  -48
  260,19970104,    9,   50,  -46
  260,19970104,   10,   60,  -47
  260,19970104,   11,   60,  -46
  260,19970104,   12,   60,  -44
  260,19970104,   13,   60,  -41
  260,19970104,   14,   60,  -38
  260,19970104,   15,   60,  -36
  260,19970104,   16,   60,  -36
  260,19970104,   17,   60,  -35
  260,19970104,   18,   60,  -33
  260,19970104,   19,   60,  -30
  260,19970104,   20,   60,  -30
  260,19970104,   21,   70,  -33
  260,19970104,   22,   60,  -34
  260,19970104,   23,   50,  -37
  260,19970104,   24,   60,  -37
  260,19970105,    1,   60,  -39
  260,19970105,    2,   60,  -39
  260,19970105,    3,   60,  -42
  260,19970105,    4,   50,  -42
  260,19970105,    5,   60,  -48
  260,19970105,    6,   60,  -52
  260,19970105,    7,   60,  -51
  260,19970105,    8,   50,  -51
  260,19970105,    9,   50,  -49
  260,19970105,   10,   40,  -43
  260,19970105,   11,   30,  -38
  260,19970105,   12,   40,  -35
  260,19970105,   13,   40,  -26
  260,19970105,   14,   30,  -25
  260,19970105,   15,   20,  -26
  260,19970105,   16,   30,  -40
  260,19970105,   17,   20,  -45
  260,19970105,   18,   20,  -63
  260,19970105,   19,   20,  -62
  260,19970105,   20,   20,  -67
  260,19970105,   21,   20,  -82
  260,19970105,   22,   20,  -93
  260,19970105,   23,   20, -105
  260,19970105,   24,   20, -106
  260,19970106,    1,   10, -105
  260,19970106,    2,   10, -101
  260,19970106,    3,   10,  -86
  260,19970106,    4,   10,  -80
  260,19970106,    5,   10,  -91
  260,19970106,    6,   20,  -73
  260,19970106,    7,   20,  -74
  260,19970106,    8,   30,  -67
  260,19970106,    9,   20,  -62
  260,19970106,   10,   30,  -61
  260,19970106,   11,   40,  -66
  260,19970106,   12,   30,  -69
  260,19970106,   13,   30,  -67
  260,19970106,   14,   40,  -65
  260,19970106,   15,   40,  -72
  260,19970106,   16,   30,  -80
  260,19970106,   17,   20,  -86
  260,19970106,   18,   20,  -91
  260,19970106,   19,   20,  -94
  260,19970106,   20,   30,  -91
  260,19970106,   21,   40,  -95
  260,19970106,   22,   40,  -85
  260,19970106,   23,   30,  -74
  260,19970106,   24,   30,  -66
  260,19970107,    1,   40,  -62
  260,19970107,    2,   40,  -61
  260,19970107,    3,   30,  -58
  260,19970107,    4,   30,  -57
  260,19970107,    5,   30,  -52
  260,19970107,    6,   30,  -50
  260,19970107,    7,   30,  -47
  260,19970107,    8,   20,  -45
  260,19970107,    9,   20,  -43
  260,19970107,   10,   40,  -43
  260,19970107,   11,   30,  -41
  260,19970107,   12,   30,  -38
  260,19970107,   13,   30,  -35
  260,19970107,   14,   30,  -34
  260,19970107,   15,   40,  -41
  260,19970107,   16,   20,  -46
  260,19970107,   17,   20,  -51
  260,19970107,   18,   20,  -53
  260,19970107,   19,   20,  -61
  260,19970107,   20,   30,  -69
  260,19970107,   21,   20,  -82
  260,19970107,   22,   30,  -72
  260,19970107,   23,   30,  -74
  260,19970107,   24,   30,  -66
  260,19970108,    1,   40,  -64
  260,19970108,    2,   50,  -69
  260,19970108,    3,   40,  -73
  260,19970108,    4,   40,  -78
  260,19970108,    5,   40,  -81
  260,19970108,    6,   40,  -84
  260,19970108,    7,   30,  -86
  260,19970108,    8,   30,  -89
  260,19970108,    9,   40,  -84
  260,19970108,   10,   40,  -76
  260,19970108,   11,   40,  -72
  260,19970108,   12,   30,  -70
  260,19970108,   13,   40,  -68
  260,19970108,   14,   40,  -66
  260,19970108,   15,   50,  -68
  260,19970108,   16,   40,  -69
  260,19970108,   17,   40,  -74
  260,19970108,   18,   30,  -76
  260,19970108,   19,   30,  -80
  260,19970108,   20,   30,  -83
  260,19970108,   21,   20,  -82
  260,19970108,   22,   30,  -81
  260,19970108,   23,   30,  -78
  260,19970108,   24,   30,  -80
  260,19970109,    1,   30,  -83
  260,19970109,    2,   30,  -84
  260,19970109,    3,   20,  -86
  260,19970109,    4,   20,  -87
  260,19970109,    5,   20,  -88
  260,19970109,    6,   20,  -91
  260,19970109,    7,   30,  -86
  260,19970109,    8,   30,  -87
  260,19970109,    9,   30,  -83
  260,19970109,   10,   30,  -75
  260,19970109,   11,   40,  -69
  260,19970109,   12,   40,  -63
  260,19970109,   13,   30,  -61
  260,19970109,   14,   40,  -60
  260,19970109,   15,   30,  -59
  260,19970109,   16,   40,  -64
  260,19970109,   17,   30,  -70
  260,19970109,   18,   30,  -71
  260,19970109,   19,   30,  -62
  260,19970109,   20,   40,  -56
  260,19970109,   21,   40,  -52
  260,19970109,   22,   30,  -49
  260,19970109,   23,   30,  -45
  260,19970109,   24,   30,  -42
  260,19970110,    1,   30,  -41
  260,19970110,    2,   30,  -38
  260,19970110,    3,   30,  -37
  260,19970110,    4,   30,  -35
  260,19970110,    5,   30,  -35
  260,19970110,    6,   30,  -35
  260,19970110,    7,   40,  -35
  260,19970110,    8,   30,  -36
  260,19970110,    9,   30,  -36
  260,19970110,   10,   30,  -35
  260,19970110,   11,   40,  -35
  260,19970110,   12,   20,  -34
  260,19970110,   13,   20,  -32
  260,19970110,   14,   30,  -32
  260,19970110,   15,   20,  -32
  260,19970110,   16,   20,  -34
  260,19970110,   17,   20,  -34
  260,19970110,   18,   20,  -34
  260,19970110,   19,   20,  -33
  260,19970110,   20,   20,  -33
  260,19970110,   21,   10,  -32
  260,19970110,   22,   10,  -32
  260,19970110,   23,   20,  -31
  260,19970110,   24,   10,  -32
  260,19970111,    1,   10,  -33
  260,19970111,    2,   20,  -33
  260,19970111,    3,   20,  -35
  260,19970111,    4,   10,  -36
  260,19970111,    5,   10,  -35
  260,19970111,    6,   20,  -35
  260,19970111,    7,   10,  -35
  260,19970111,    8,   20,  -33
  260,19970111,    9,   20,  -37
  260,19970111,   10,   20,  -36
  260,19970111,   11,   40,  -41
  260,19970111,   12,   40,  -43
  260,19970111,   13,   40,  -40
  260,19970111,   14,   30,  -34
  260,19970111,   15,   30,  -30
  260,19970111,   16,   40,  -32
  260,19970111,   17,   40,  -34
  260,19970111,   18,   30,  -40
  260,19970111,   19,   30,  -43
  260,19970111,   20,   30,  -41
  260,19970111,   21,   30,  -45
  260,19970111,   22,   30,  -48
  260,19970111,   23,   30,  -50
  260,19970111,   24,   40,  -52
  260,19970112,    1,   40,  -54
  260,19970112,    2,   30,  -53
  260,19970112,    3,   30,  -49
  260,19970112,    4,   40,  -43
  260,19970112,    5,   40,  -39
  260,19970112,    6,   40,  -34
  260,19970112,    7,   30,  -27
  260,19970112,    8,   40,  -23
  260,19970112,    9,   40,  -21
  260,19970112,   10,   30,  -13
  260,19970112,   11,   30,   -1
  260,19970112,   12,   30,    7
  260,19970112,   13,   40,   13
  260,19970112,   14,   30,   16
  260,19970112,   15,   30,   15
  260,19970112,   16,   40,   16
  260,19970112,   17,   30,   17
  260,19970112,   18,   30,   16
  260,19970112,   19,   30,   17
  260,19970112,   20,   30,   17
  260,19970112,   21,   30,   17
  260,19970112,   22,   30,   18
  260,19970112,   23,   30,   18
  260,19970112,   24,   30,   18
  260,19970113,    1,   30,   18
  260,19970113,    2,   30,   20
  260,19970113,    3,   30,   20
  260,19970113,    4,   30,   20
  260,19970113,    5,   30,   18
  260,19970113,    6,   30,   18
  260,19970113,    7,   30,   19
  260,19970113,    8,   30,   18
  260,19970113,    9,   40,   17
  260,19970113,   10,   40,   22
  260,19970113,   11,   30,   43
  260,19970113,   12,   40,   57
  260,19970113,   13,   40,   72
  260,19970113,   14,   40,   73
  260,19970113,   15,   40,   70
  260,19970113,   16,   30,   48
  260,19970113,   17,   30,   37
  260,19970113,   18,   20,   16
  260,19970113,   19,   20,   14
  260,19970113,   20,   10,   10
  260,19970113,   21,   20,    5
  260,19970113,   22,   20,    3
  260,19970113,   23,   20,    7
  260,19970113,   24,   30,    5
  260,19970114,    1,   20,   -2
  260,19970114,    2,   20,   -6
  260,19970114,    3,   30,   -7
  260,19970114,    4,   20,  -13
  260,19970114,    5,   20,  -17
  260,19970114,    6,   20,  -19
  260,19970114,    7,   20,  -11
  260,19970114,    8,   20,  -10
  260,19970114,    9,   20,    5
  260,19970114,   10,   20,   18
  260,19970114,   11,   30,   31
  260,19970114,   12,   20,   40
  260,19970114,   13,   20,   55
  260,19970114,   14,   20,   67
  260,19970114,   15,   30,   62
  260,19970114,   16,   30,   50
  260,19970114,   17,   40,   38
  260,19970114,   18,   30,   32
  260,19970114,   19,   30,   19
  260,19970114,   20,   30,   14
  260,19970114,   21,   30,    7
  260,19970114,   22,   30,   -5
  260,19970114,   23,   20,   -6
  260,19970114,   24,   30,  -14
  260,19970115,    1,   30,  -24
  260,19970115,    2,   30,  -23
  260,19970115,    3,   30,  -25
  260,19970115,    4,   30,  -32
  260,19970115,    5,   30,  -35
  260,19970115,    6,   30,  -37
  260,19970115,    7,   30,  -36
  260,19970115,    8,   30,  -33
  260,19970115,    9,   20,  -28
  260,19970115,   10,   20,   -9
  260,19970115,   11,   20,   13
  260,19970115,   12,   30,   28
  260,19970115,   13,   30,   44
  260,19970115,   14,   30,   49
  260,19970115,   15,   20,   46
  260,19970115,   16,   20,   31
  260,19970115,   17,   20,    7
  260,19970115,   18,   20,  -14
  260,19970115,   19,   20,   -6
  260,19970115,   20,   20,    2
  260,19970115,   21,   20,   -3
  260,19970115,   22,   20,   -8
  260,19970115,   23,   20,  -11
  260,19970115,   24,   20,  -19
  260,19970116,    1,   20,  -21
  260,19970116,    2,   20,  -24
  260,19970116,    3,   20,  -29
  260,19970116,    4,   20,  -27
  260,19970116,    5,   20,  -29
  260,19970116,    6,   20,  -35
  260,19970116,    7,   20,  -33
  260,19970116,    8,   20,  -33
  260,19970116,    9,   10,  -18
  260,19970116,   10,   20,   -2
  260,19970116,   11,   20,   20
  260,19970116,   12,   20,   39
  260,19970116,   13,   20,   55
  260,19970116,   14,   20,   64
  260,19970116,   15,   20,   57
  260,19970116,   16,   20,   40
  260,19970116,   17,   30,   21
  260,19970116,   18,   30,    3
  260,19970116,   19,   30,   10
  260,19970116,   20,   30,    3
  260,19970116,   21,   30,   -4
  260,19970116,   22,   30,   -1
  260,19970116,   23,   30,   -1
  260,19970116,   24,   30,   -4
  260,19970117,    1,   30,   -8
  260,19970117,    2,   40,   -5
  260,19970117,    3,   30,   -8
  260,19970117,    4,   30,  -13
  260,19970117,    5,   20,  -14
  260,19970117,    6,   20,  -14
  260,19970117,    7,   30,  -14
  260,19970117,    8,   20,  -11
  260,19970117,    9,   30,    9
  260,19970117,   10,   30,   20
  260,19970117,   11,   40,   36
  260,19970117,   12,   40,   50
  260,19970117,   13,   40,   64
  260,19970117,   14,   40,   73
  260,19970117,   15,   40,   63
  260,19970117,   16,   30,   53
  260,19970117,   17,   40,   46
  260,19970117,   18,   40,   44
  260,19970117,   19,   30,   41
  260,19970117,   20,   40,   43
  260,19970117,   21,   40,   54
  260,19970117,   22,   40,   61
  260,19970117,   23,   50,   67
  260,19970117,   24,   50,   51
  260,19970118,    1,   40,   55
  260,19970118,    2,   50,   51
  260,19970118,    3,   40,   47
  260,19970118,    4,   40,   49
  260,19970118,    5,   40,   48
  260,19970118,    6,   30,   50
  260,19970118,    7,   30,   52
  260,19970118,    8,   30,   52
  260,19970118,    9,   30,   53
  260,19970118,   10,   30,   54
  260,19970118,   11,   40,   55
  260,19970118,   12,   30,   54
  260,19970118,   13,   40,   53
  260,19970118,   14,   30,   50
  260,19970118,   15,   30,   47
  260,19970118,   16,   30,   44
  260,19970118,   17,   30,   42
  260,19970118,   18,   20,   41
  260,19970118,   19,   30,   40
  260,19970118,   20,   40,   36
  260,19970118,   21,   20,   35
  260,19970118,   22,   20,   34
  260,19970118,   23,   20,   36
  260,19970118,   24,   30,   33
  260,19970119,    1,   50,   22
  260,19970119,    2,   60,   11
  260,19970119,    3,   50,   15
  260,19970119,    4,   50,   19
  260,19970119,    5,   50,   22
  260,19970119,    6,   50,   26
  260,19970119,    7,   50,   29
  260,19970119,    8,   40,   29
  260,19970119,    9,   40,   34
  260,19970119,   10,   30,   38
  260,19970119,   11,   30,   38
  260,19970119,   12,   30,   37
  260,19970119,   13,   20,   37
  260,19970119,   14,   20,   41
  260,19970119,   15,   20,   38
  260,19970119,   16,   10,   38
  260,19970119,   17,   10,   36
  260,19970119,   18,   10,   36
  260,19970119,   19,   10,   37
  260,19970119,   20,   10,   33
  260,19970119,   21,   10,   35
  260,19970119,   22,   10,   38
  260,19970119,   23,   10,   36
  260,19970119,   24,   10,   32
  260,19970120,    1,   20,   25
  260,19970120,    2,   20,   18
  260,19970120,    3,   20,   16
  260,19970120,    4,   20,   14
  260,19970120,    5,   30,   12
  260,19970120,    6,   40,   13
  260,19970120,    7,   30,   16
  260,19970120,    8,   30,   18
  260,19970120,    9,   20,   17
  260,19970120,   10,   10,   22
  260,19970120,   11,   10,   26
  260,19970120,   12,   10,   35
  260,19970120,   13,   10,   42
  260,19970120,   14,   20,   43
  260,19970120,   15,   20,   43
  260,19970120,   16,   10,   40
  260,19970120,   17,   10,   32
  260,19970120,   18,   20,   25
  260,19970120,   19,   10,   22
  260,19970120,   20,   20,   22
  260,19970120,   21,   20,   29
  260,19970120,   22,   20,   23
  260,19970120,   23,   20,    7
  260,19970120,   24,   20,   14
  260,19970121,    1,   10,  -11
  260,19970121,    2,   10,  -17
  260,19970121,    3,   10,  -11
  260,19970121,    4,   10,   -5
  260,19970121,    5,   20,    2
  260,19970121,    6,   20,   10
  260,19970121,    7,   20,   13
  260,19970121,    8,   20,   12
  260,19970121,    9,   30,   14
  260,19970121,   10,   40,   16
  260,19970121,   11,   40,   16
  260,19970121,   12,   30,   22
  260,19970121,   13,   50,   27
  260,19970121,   14,   40,   29
  260,19970121,   15,   50,   24
  260,19970121,   16,   50,   22
  260,19970121,   17,   50,   22
  260,19970121,   18,   40,   15
  260,19970121,   19,   40,    9
  260,19970121,   20,   50,    9
  260,19970121,   21,   50,    9
  260,19970121,   22,   60,    8
  260,19970121,   23,   50,    2
  260,19970121,   24,   40,    3
  260,19970122,    1,   50,    7
  260,19970122,    2,   60,   14
  260,19970122,    3,   60,   16
  260,19970122,    4,   60,   21
  260,19970122,    5,   60,   21
  260,19970122,    6,   60,   27
  260,19970122,    7,   60,   32
  260,19970122,    8,   50,   33
  260,19970122,    9,   50,   39
  260,19970122,   10,   50,   48
  260,19970122,   11,   50,   53
  260,19970122,   12,   40,   62
  260,19970122,   13,   40,   75
  260,19970122,   14,   30,   86
  260,19970122,   15,   40,   95
  260,19970122,   16,   40,   86
  260,19970122,   17,   30,   81
  260,19970122,   18,   30,   85
  260,19970122,   19,   30,   82
  260,19970122,   20,   30,   71
  260,19970122,   21,   30,   63
  260,19970122,   22,   30,   62
  260,19970122,   23,   30,   66
  260,19970122,   24,   30,   57
  260,19970123,    1,   30,   47
  260,19970123,    2,   30,   41
  260,19970123,    3,   30,   37
  260,19970123,    4,   30,   38
  260,19970123,    5,   30,   33
  260,19970123,    6,   30,   48
  260,19970123,    7,   40,   51
  260,19970123,    8,   40,   46
  260,19970123,    9,   30,   54
  260,19970123,   10,   30,   63
  260,19970123,   11,   40,   71
  260,19970123,   12,   40,   74
  260,19970123,   13,   50,   78
  260,19970123,   14,   40,   83
  260,19970123,   15,   30,   79
  260,19970123,   16,   30,   53
  260,19970123,   17,   20,   39
  260,19970123,   18,   20,   29
  260,19970123,   19,   20,   25
  260,19970123,   20,   20,   18
  260,19970123,   21,   20,   16
  260,19970123,   22,   10,   21
  260,19970123,   23,   10,   15
  260,19970123,   24,   10,   23
  260,19970124,    1,   10,   24
  260,19970124,    2,   10,   26
  260,19970124,    3,   10,   25
  260,19970124,    4,   10,   23
  260,19970124,    5,   10,   26
  260,19970124,    6,   20,   23
  260,19970124,    7,   20,   33
  260,19970124,    8,   10,   27
  260,19970124,    9,   10,   20
  260,19970124,   10,   10,   42
  260,19970124,   11,   10,   36
  260,19970124,   12,   10,   36
  260,19970124,   13,   20,   41
  260,19970124,   14,   10,   63
  260,19970124,   15,   10,   70
  260,19970124,   16,   10,   55
  260,19970124,   17,   10,   25
  260,19970124,   18,   10,   10
  260,19970124,   19,   10,    7
  260,19970124,   20,   10,  -10
  260,19970124,   21,   10,   -6
  260,19970124,   22,   10,  -19
  260,19970124,   23,   10,  -14
  260,19970124,   24,   10,  -19
  260,19970125,    1,   10,  -11
  260,19970125,    2,    0,  -15
  260,19970125,    3,   10,   -9
  260,19970125,    4,   10,  -11
  260,19970125,    5,   10,   -6
  260,19970125,    6,   10,   -4
  260,19970125,    7,   10,   -7
  260,19970125,    8,   10,   -4
  260,19970125,    9,   10,    3
  260,19970125,   10,   10,   10
  260,19970125,   11,   10,   26
  260,19970125,   12,   10,   43
  260,19970125,   13,   10,   58
  260,19970125,   14,   10,   76
  260,19970125,   15,   10,   72
  260,19970125,   16,   10,   54
  260,19970125,   17,   20,   37
  260,19970125,   18,   20,   22
  260,19970125,   19,   20,    5
  260,19970125,   20,   20,    5
  260,19970125,   21,   20,   -7
  260,19970125,   22,   30,  -11
  260,19970125,   23,   20,   -7
  260,19970125,   24,   30,   -4
  260,19970126,    1,   20,   -1
  260,19970126,    2,   30,   -2
  260,19970126,    3,   10,    0
  260,19970126,    4,   20,    2
  260,19970126,    5,   20,    5
  260,19970126,    6,   20,    5
  260,19970126,    7,   20,    7
  260,19970126,    8,   20,   10
  260,19970126,    9,   20,   11
  260,19970126,   10,   30,   10
  260,19970126,   11,   30,   10
  260,19970126,   12,   30,   10
  260,19970126,   13,   20,   10
  260,19970126,   14,   30,    7
  260,19970126,   15,   30,    2
  260,19970126,   16,   40,    2
  260,19970126,   17,   40,    1
  260,19970126,   18,   30,    1
  260,19970126,   19,   10,  -11
  260,19970126,   20,   20,  -13
  260,19970126,   21,   20,  -12
  260,19970126,   22,   20,  -21
  260,19970126,   23,   20,  -25
  260,19970126,   24,   20,  -28
  260,19970127,    1,   20,  -30
  260,19970127,    2,   20,  -34
  260,19970127,    3,   20,  -39
  260,19970127,    4,   10,  -42
  260,19970127,    5,   20,  -43
  260,19970127,    6,   20,  -45
  260,19970127,    7,   20,  -47
  260,19970127,    8,   20,  -42
  260,19970127,    9,   10,  -32
  260,19970127,   10,   20,  -25
  260,19970127,   11,   20,  -15
  260,19970127,   12,   20,   -5
  260,19970127,   13,   20,    4
  260,19970127,   14,   20,    7
  260,19970127,   15,   20,    5
  260,19970127,   16,   20,   -2
  260,19970127,   17,   10,  -17
  260,19970127,   18,   10,  -22
  260,19970127,   19,   10,  -30
  260,19970127,   20,   10,  -29
  260,19970127,   21,   10,  -26
  260,19970127,   22,   10,  -15
  260,19970127,   23,   10,   -8
  260,19970127,   24,   10,   -2
  260,19970128,    1,   10,    2
  260,19970128,    2,   10,    5
  260,19970128,    3,   20,    7
  260,19970128,    4,   10,    6
  260,19970128,    5,   10,    7
  260,19970128,    6,   10,    7
  260,19970128,    7,   10,   11
  260,19970128,    8,   10,   13
  260,19970128,    9,   10,   16
  260,19970128,   10,   10,   24
  260,19970128,   11,   20,   27
  260,19970128,   12,   10,   37
  260,19970128,   13,   20,   37
  260,19970128,   14,   20,   36
  260,19970128,   15,   10,   36
  260,19970128,   16,   20,   37
  260,19970128,   17,   10,   28
  260,19970128,   18,   10,   25
  260,19970128,   19,   10,   30
  260,19970128,   20,   20,   33
  260,19970128,   21,   10,   29
  260,19970128,   22,   20,   31
  260,19970128,   23,   10,   31
  260,19970128,   24,   20,   31
  260,19970129,    1,   20,   28
  260,19970129,    2,   20,   27
  260,19970129,    3,   20,   27
  260,19970129,    4,   10,   26
  260,19970129,    5,   20,   27
  260,19970129,    6,   30,   22
  260,19970129,    7,   20,   21
  260,19970129,    8,   20,   23
  260,19970129,    9,   30,   23
  260,19970129,   10,   20,   24
  260,19970129,   11,   10,   28
  260,19970129,   12,   10,   30
  260,19970129,   13,   10,   32
  260,19970129,   14,   10,   34
  260,19970129,   15,    0,   38
  260,19970129,   16,   10,   32
  260,19970129,   17,   10,   27
  260,19970129,   18,   10,   23
  260,19970129,   19,   10,   20
  260,19970129,   20,   10,   20
  260,19970129,   21,   10,   19
  260,19970129,   22,    0,   21
  260,19970129,   23,    0,   20
  260,19970129,   24,    0,   20
  260,19970130,    1,    0,   19
  260,19970130,    2,   10,   18
  260,19970130,    3,   10,   14
  260,19970130,    4,   10,   18
  260,19970130,    5,   10,   17
  260,19970130,    6,   10,   19
  260,19970130,    7,   10,   18
  260,19970130,    8,   10,   19
  260,19970130,    9,   10,   20
  260,19970130,   10,   10,   24
  260,19970130,   11,   10,   31
  260,19970130,   12,   10,   40
  260,19970130,   13,   10,   42
  260,19970130,   14,   10,   42
  260,19970130,   15,   10,   41
  260,19970130,   16,   10,   36
  260,19970130,   17,   10,   32
  260,19970130,   18,   10,   31
  260,19970130,   19,   10,   34
  260,19970130,   20,   20,   34
  260,19970130,   21,   10,   31
  260,19970130,   22,   10,   29
  260,19970130,   23,   10,   28
  260,19970130,   24,   20,   25
  260,19970131,    1,   20,   24
  260,19970131,    2,   10,   24
  260,19970131,    3,   10,   24
  260,19970131,    4,   20,   22
  260,19970131,    5,   20,    7
  260,19970131,    6,   20,   -1
  260,19970131,    7,   20,   -2
  260,19970131,    8,   20,   11
  260,19970131,    9,   20,   23
  260,19970131,   10,   20,   28
  260,19970131,   11,   20,   29
  260,19970131,   12,   20,   36
  260,19970131,   13,   20,   42
  260,19970131,   14,   20,   53
  260,19970131,   15,   40,   58
  260,19970131,   16,   30,   50
  260,19970131,   17,   30,   44
  260,19970131,   18,   20,   33
  260,19970131,   19,   20,   36
  260,19970131,   20,   20,   32
  260,19970131,   21,   20,   33
  260,19970131,   22,   20,   28
  260,19970131,   23,   20,   30
  260,19970131,   24,   10,   22
  260,19970201,    1,   10,   14
  260,19970201,    2,   10,   16
  260,19970201,    3,   10,   11
  260,19970201,    4,   20,   21
  260,19970201,    5,   20,   19
  260,19970201,    6,   20,   16
  260,19970201,    7,   20,   14
  260,19970201,    8,   20,   13
  260,19970201,    9,   20,   19
  260,19970201,   10,   20,   22
  260,19970201,   11,   20,   23
  260,19970201,   12,   30,   24
  260,19970201,   13,   30,   25
  260,19970201,   14,   30,   26
  260,19970201,   15,   30,   24
  260,19970201,   16,   30,   22
  260,19970201,   17,   30,   19
  260,19970201,   18,   20,   17
  260,19970201,   19,   20,   16
  260,19970201,   20,   20,   13
  260,19970201,   21,   20,   -2
  260,19970201,   22,   20,   -5
  260,19970201,   23,   30,  -13
  260,19970201,   24,   20,  -13
  260,19970202,    1,   30,   -9
  260,19970202,    2,   30,  -14
  260,19970202,    3,   20,  -23
  260,19970202,    4,   20,  -21
  260,19970202,    5,   20,  -22
  260,19970202,    6,   20,  -19
  260,19970202,    7,   30,  -20
  260,19970202,    8,   30,  -15
  260,19970202,    9,   30,   -2
