# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   FH,    T
# 
  260,19970101,    1,   40, -122
  260,19970101,    2,   40, -125
  260,19970101,    3,   50, -126
  260,19970101,    4,   60, -129
  260,19970101,    5,   60, -130
  260,19970101,    6,   50, -128
  260,19970101,    7,   40, -129
  260,19970101,    8,   40, -129
  260,19970101,    9,   30, -119
  260,19970101,   10,   30, -110
  260,19970101,   11,   40,  -96
  260,19970101,   12,   50,  -85
  260,19970101,   13,   50,  -76
  260,19970101,   14,   50,  -79
  260,19970101,   15,   50,  -88
  260,19970101,   16,   40,  -93
  260,19970101,   17,   40, -101
  260,19970101,   18,   40, -108
  260,19970101,   19,   30, -113
  260,19970101,   20,   30, -119
  260,19970101,   21,   30, -126
  260,19970101,   22,   20, -131
  260,19970101,   23,   20, -133
  260,19970101,   24,   30, -137
  260,19970102,    1,   20, -143
  260,19970102,    2,   20, -145
  260,19970102,    3,   20, -152
  260,19970102,    4,   20, -147
  260,19970102,    5,   20, -153
  260,19970102,    6,   10, -157
  260,19970102,    7,   10, -158
  260,19970102,    8,   10, -158
  260,19970102,    9,   10, -151
  260,19970102,   10,   10, -138
  260,19970102,   11,   20, -120
  260,19970102,   12,   20, -100
  260,19970102,   13,   20,  -87
  260,19970102,   14,   20,  -82
  260,19970102,   15,   20,  -89
  260,19970102,   16,   30,  -93
  260,19970102,   17,   30, -105
  260,19970102,   18,   30, -111
  260,19970102,   19,   30, -114
  260,19970102,   20,   30, -121
  260,19970102,   21,   30, -123
  260,19970102,   22,   30, -129
  260,19970102,   23,   30, -129
  260,19970102,   24,   40, -128
  260,19970103,    1,   40, -125
  260,19970103,    2,   40, -121
  260,19970103,    3,   50, -117
  260,19970103,    4,   30, -112
  260,19970103,    5,   30, -107
  260,19970103,    6,   40,  -99
  260,19970103,    7,   30,  -96
  260,19970103,    8,   30,  -94
