km-variable,internal variable (ivar),ivar unit
inwoners,no_inhabitants,#
woningen,no_residences,#
pautos,no_cars,#
energie_totaal_combi,total_energy_tj,TJ
verk_totaal,tp_total_energy_tj,TJ
elektra_totaal_combi,total_electricity_tj,TJ
warm_totaal_combi,total_gas_heat_tj_temp_corrected,TJ
zonpvachtermeter_kwh,solar_pv_own_use_total_tj,TJ
hern_warm_tot,total_renewable_heat_tj,TJ
gas_woningen_tj,hh_gas_tj_temp_corrected,TJ
warmwontjcor,hh_heat_tj_temp_corrected,TJ
kwbelektotaal,hh_electricity_tj,TJ
kwbgastotaal,hh_gas_tj,TJ
warmwontier2,hh_heat_tj,TJ
houtskool,hh_biomass_cooking_tj,TJ
houtwontj,hh_biomass_heat_tj,TJ
gascomdv,bd_commercial_gas_tj,TJ
gaspubldv,bd_public_gas_tj,TJ
elcomdv,bd_commercial_electricity_tj,TJ
elpubldv,bd_public_electricity_tj,TJ
vbrzg_g1,bd_gas_sbi_g_tj,TJ
vbrzg_h,bd_gas_sbi_h_tj,TJ
vbrzg_i,bd_gas_sbi_i_tj,TJ
vbrzg_j,bd_gas_sbi_j_tj,TJ
vbrzg_k,bd_gas_sbi_k_tj,TJ
vbrzg_l,bd_gas_sbi_l_tj,TJ
vbrzg_m,bd_gas_sbi_m_tj,TJ
vbrzg_n,bd_gas_sbi_n_tj,TJ
vbrzg_o,bd_gas_sbi_o_tj,TJ
vbrzg_p,bd_gas_sbi_p_tj,TJ
vbrzg_q,bd_gas_sbi_q_tj,TJ
vbrzg_r1,bd_gas_sbi_r_tj,TJ
vbrzg_s,bd_gas_sbi_s_tj,TJ
vbrzg_u,bd_gas_sbi_u_tj,TJ
vbrze_g1,bd_electricity_sbi_g_tj,TJ
vbrze_h,bd_electricity_sbi_h_tj,TJ
vbrze_i,bd_electricity_sbi_i_tj,TJ
vbrze_j,bd_electricity_sbi_j_tj,TJ
vbrze_k,bd_electricity_sbi_k_tj,TJ
vbrze_l,bd_electricity_sbi_l_tj,TJ
vbrze_m,bd_electricity_sbi_m_tj,TJ
vbrze_n,bd_electricity_sbi_n_tj,TJ
vbrze_o,bd_electricity_sbi_o_tj,TJ
vbrze_p,bd_electricity_sbi_p_tj,TJ
vbrze_q,bd_electricity_sbi_q_tj,TJ
vbrze_r1,bd_electricity_sbi_r_tj,TJ
vbrze_s,bd_electricity_sbi_s_tj,TJ
vbrze_u,bd_electricity_sbi_u_tj,TJ
energie_wegverk_tot,tp_road_total_tj,TJ
energie_mobwerk,tp_mobile_machines_inc_biofuels_tj,TJ
bio_verkeertj,tp_road_bio_fuels_ex_mm_tj,TJ
bio_mobwerk_tj,tp_mobile_machines_bio_fuels_tj,TJ
energie_rail,tp_rail_diesel_tj,TJ
energie_binnenvaart,tp_inland_ship_diesel_tj,TJ
energie_zeevaart,tp_sea_ship_diesel_tj,TJ
wbelek,no_electric_busses,#
bedrautoelek,no_electric_vans,#
wpelek,no_electric_cars_fev,#
rangeextend,no_electric_cars_phev,#
wmfelek,no_electric_scooters,#
wbfelek,no_electric_motorcycles,#
bedrgas,no_cng_trucks,#
wbgas,no_cng_busses,#
wpgas,no_cng_cars,#
bus_h2,no_h2_busses,#
p_auto_h2,no_h2_cars,#
b_auto_h2,no_h2_vans,#
wbz_h2,no_h2_trucks,#
co2enmobwerk,tp_mobile_machines_co2,tonne
co2_bk_ab_diesel,tp_bus_diesel_co2_built_env,tonne
co2_bk_ba_gasoline,tp_van_gasoline_co2_built_env,tonne
co2_bk_ba_lpg,tp_van_lpg_co2_built_env,tonne
co2_bk_ba_diesel,tp_van_diesel_co2_built_env,tonne
co2_bk_pa_gasoline,tp_car_gasoline_co2_built_env,tonne
co2_bk_pa_diesel,tp_car_diesel_co2_built_env,tonne
co2_bk_pa_lpg,tp_car_lpg_co2_built_env,tonne
co2bktw,tp_motorcycle_co2_built_env,tonne
co2bkzbv,tp_truck_co2_built_env,tonne
co2_bk_ab_cng,tp_bus_gas_co2_built_env,tonne
co2_bw_ab_diesel,tp_bus_diesel_co2_road,tonne
co2_bw_ba_gasoline,tp_van_gasoline_co2_road,tonne
co2_bw_ba_diesel,tp_van_diesel_co2_road,tonne
co2_bw_ba_lpg,tp_van_lpg_co2_road,tonne
co2_bw_pa_gasoline,tp_car_gasoline_co2_road,tonne
co2_bw_pa_diesel,tp_car_diesel_co2_road,tonne
co2_bw_pa_lpg,tp_car_lpg_co2_road,tonne
co2bwtw,tp_motorcycle_co2_road,tonne
co2bwzbv,tp_truck_co2_road,tonne
co2_bw_ab_cng,tp_bus_gas_co2_road,tonne
co2_sw_ab_diesel,tp_bus_diesel_co2_motorway,tonne
co2_sw_ba_diesel,tp_van_diesel_co2_motorway,tonne
