Codes en namen van gemeenten|Naam,Codes en namen van gemeenten|Code,Lokaliseringen van gemeenten|Provincies|Code,Lokaliseringen van gemeenten|Provincies|Naam,Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Code,Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Naam
Aa en Hunze,GM1680,PV22,Drenthe,ES03,Drenthe
Aalsmeer,GM0358,PV27,Noord-Holland,ES16,Noord-Holland Zuid
Aalten,GM0197,PV25,Gelderland,ES07,Achterhoek
Achtkarspelen,GM0059,PV21,Fryslân,ES02,Friesland
Alblasserdam,GM0482,PV28,Zuid-Holland,ES18,Drechtsteden
Albrandswaard,GM0613,PV28,Zuid-Holland,ES23,Rotterdam-Den Haag
Alkmaar,GM0361,PV27,Noord-Holland,ES15,Noord-Holland Noord
Almelo,GM0141,PV23,Overijssel,ES04,Twente
Almere,GM0034,PV24,Flevoland,ES06,Flevoland
Alphen aan den Rijn,GM0484,PV28,Zuid-Holland,ES21,Holland Rijnland
Alphen-Chaam,GM1723,PV30,Noord-Brabant,ES28,West-Brabant
Altena,GM1959,PV30,Noord-Brabant,ES28,West-Brabant
Ameland,GM0060,PV21,Fryslân,ES02,Friesland
Amersfoort,GM0307,PV26,Utrecht,ES13,Amersfoort
Amstelveen,GM0362,PV27,Noord-Holland,ES16,Noord-Holland Zuid
Amsterdam,GM0363,PV27,Noord-Holland,ES16,Noord-Holland Zuid
Apeldoorn,GM0200,PV25,Gelderland,ES12,Stedendriehoek
Arnhem,GM0202,PV25,Gelderland,ES08,Arnhem Nijmegen
Assen,GM0106,PV22,Drenthe,ES03,Drenthe
Asten,GM0743,PV30,Noord-Brabant,ES26,Metropoolregio Eindhoven
Baarle-Nassau,GM0744,PV30,Noord-Brabant,ES28,West-Brabant
Baarn,GM0308,PV26,Utrecht,ES13,Amersfoort
Barendrecht,GM0489,PV28,Zuid-Holland,ES23,Rotterdam-Den Haag
Barneveld,GM0203,PV25,Gelderland,ES09,Foodvalley
Beek (L.),GM0888,PV31,Limburg,ES30,Zuid-Limburg
Beekdaelen,GM1954,PV31,Limburg,ES30,Zuid-Limburg
Beesel,GM0889,PV31,Limburg,ES29,Noord- en Midden-Limburg
Berg en Dal,GM1945,PV25,Gelderland,ES08,Arnhem Nijmegen
Bergeijk,GM1724,PV30,Noord-Brabant,ES26,Metropoolregio Eindhoven
Bergen (L.),GM0893,PV31,Limburg,ES29,Noord- en Midden-Limburg
Bergen (NH.),GM0373,PV27,Noord-Holland,ES15,Noord-Holland Noord
Bergen op Zoom,GM0748,PV30,Noord-Brabant,ES28,West-Brabant
Berkelland,GM1859,PV25,Gelderland,ES07,Achterhoek
Bernheze,GM1721,PV30,Noord-Brabant,ES27,Noordoost Brabant
Best,GM0753,PV30,Noord-Brabant,ES26,Metropoolregio Eindhoven
Beuningen,GM0209,PV25,Gelderland,ES08,Arnhem Nijmegen
Beverwijk,GM0375,PV27,Noord-Holland,ES16,Noord-Holland Zuid
De Bilt,GM0310,PV26,Utrecht,ES14,U16
Bladel,GM1728,PV30,Noord-Brabant,ES26,Metropoolregio Eindhoven
Blaricum,GM0376,PV27,Noord-Holland,ES16,Noord-Holland Zuid
Bloemendaal,GM0377,PV27,Noord-Holland,ES16,Noord-Holland Zuid
Bodegraven-Reeuwijk,GM1901,PV28,Zuid-Holland,ES22,Midden-Holland
Boekel,GM0755,PV30,Noord-Brabant,ES27,Noordoost Brabant
Borger-Odoorn,GM1681,PV22,Drenthe,ES03,Drenthe
Borne,GM0147,PV23,Overijssel,ES04,Twente
Borsele,GM0654,PV29,Zeeland,ES24,Zeeland
Boxtel,GM0757,PV30,Noord-Brabant,ES27,Noordoost Brabant
Breda,GM0758,PV30,Noord-Brabant,ES28,West-Brabant
Bronckhorst,GM1876,PV25,Gelderland,ES07,Achterhoek
Brummen,GM0213,PV25,Gelderland,ES12,Stedendriehoek
Brunssum,GM0899,PV31,Limburg,ES30,Zuid-Limburg
Bunnik,GM0312,PV26,Utrecht,ES14,U16
Bunschoten,GM0313,PV26,Utrecht,ES13,Amersfoort
Buren,GM0214,PV25,Gelderland,ES11,Fruitdelta Rivierenland
