group,subgroup,key,unit
area,area_emission_factors,file_carriers_imported_heat_co2_conversion_per_mj,kg/MJ
area,area_emission_factors,file_carriers_propane_co2_conversion_per_mj,kg/MJ
households,households_energy_demand,input_percentage_of_lt_steam_hot_water_households_final_demand_steam_hot_water,%
households,households_energy_demand,input_percentage_of_mt_steam_hot_water_households_final_demand_steam_hot_water,%
households,households_energy_demand,input_percentage_of_ht_steam_hot_water_households_final_demand_steam_hot_water,%
households,households_housing_stock,households_number_of_apartments_2005,#
households,households_housing_stock,households_number_of_apartments_1985_2004,#
households,households_housing_stock,households_number_of_apartments_1965_1984,#
households,households_housing_stock,households_number_of_apartments_1945_1964,#
households,households_housing_stock,households_number_of_apartments_1945,#
households,households_housing_stock,households_number_of_terraced_2005,#
households,households_housing_stock,households_number_of_terraced_1985_2004,#
households,households_housing_stock,households_number_of_terraced_1965_1984,#
households,households_housing_stock,households_number_of_terraced_1945_1964,#
households,households_housing_stock,households_number_of_terraced_1945,#
households,households_housing_stock,households_number_of_semi_detached_2005,#
households,households_housing_stock,households_number_of_semi_detached_1985_2004,#
households,households_housing_stock,households_number_of_semi_detached_1965_1984,#
households,households_housing_stock,households_number_of_semi_detached_1945_1964,#
households,households_housing_stock,households_number_of_semi_detached_1945,#
households,households_housing_stock,households_number_of_detached_2005,#
households,households_housing_stock,households_number_of_detached_1985_2004,#
households,households_housing_stock,households_number_of_detached_1965_1984,#
households,households_housing_stock,households_number_of_detached_1945_1964,#
households,households_housing_stock,households_number_of_detached_1945,#
households,households_insulation_level,input_households_insulation_level_apartments_2005,kWh/m2
households,households_insulation_level,input_households_insulation_level_apartments_1985_2004,kWh/m2
households,households_insulation_level,input_households_insulation_level_apartments_1965_1984,kWh/m2
households,households_insulation_level,input_households_insulation_level_apartments_1945_1964,kWh/m2
households,households_insulation_level,input_households_insulation_level_apartments_1945,kWh/m2
households,households_insulation_level,input_households_insulation_level_terraced_2005,kWh/m2
households,households_insulation_level,input_households_insulation_level_terraced_1985_2004,kWh/m2
households,households_insulation_level,input_households_insulation_level_terraced_1965_1984,kWh/m2
households,households_insulation_level,input_households_insulation_level_terraced_1945_1964,kWh/m2
households,households_insulation_level,input_households_insulation_level_terraced_1945,kWh/m2
households,households_insulation_level,input_households_insulation_level_semi_detached_2005,kWh/m2
households,households_insulation_level,input_households_insulation_level_semi_detached_1985_2004,kWh/m2
households,households_insulation_level,input_households_insulation_level_semi_detached_1965_1984,kWh/m2
households,households_insulation_level,input_households_insulation_level_semi_detached_1945_1964,kWh/m2
households,households_insulation_level,input_households_insulation_level_semi_detached_1945,kWh/m2
households,households_insulation_level,input_households_insulation_level_detached_2005,kWh/m2
households,households_insulation_level,input_households_insulation_level_detached_1985_2004,kWh/m2
households,households_insulation_level,input_households_insulation_level_detached_1965_1984,kWh/m2
households,households_insulation_level,input_households_insulation_level_detached_1945_1964,kWh/m2
households,households_insulation_level,input_households_insulation_level_detached_1945,kWh/m2
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_apartments_2005,%
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_apartments_1985_2004,%
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_apartments_1965_1984,%
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_apartments_1945_1964,%
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_apartments_1945,%
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_terraced_2005,%
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_terraced_1985_2004,%
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_terraced_1965_1984,%
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_terraced_1945_1964,%
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_terraced_1945,%
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_semi_detached_2005,%
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_semi_detached_1985_2004,%
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_semi_detached_1965_1984,%
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_semi_detached_1945_1964,%
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_semi_detached_1945,%
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_detached_2005,%
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_detached_1985_2004,%
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_detached_1965_1984,%
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_detached_1945_1964,%
households,households_insulation_level,input_households_share_of_useful_demand_for_space_heating_detached_1945,%
buildings,buildings_building_stock,number_of_buildings,#
buildings,buildings_building_stock,input_buildings_insulation_level,kWh/m2
buildings,buildings_energy_demand,input_percentage_of_lt_steam_hot_water_buildings_final_demand_steam_hot_water,%
buildings,buildings_energy_demand,input_percentage_of_mt_steam_hot_water_buildings_final_demand_steam_hot_water,%
buildings,buildings_energy_demand,input_percentage_of_ht_steam_hot_water_buildings_final_demand_steam_hot_water,%
agriculture,agriculture_energy_demand,input_percentage_of_central_mt_steam_hot_water_agriculture_final_demand_steam_hot_water,%
agriculture,agriculture_energy_demand,input_percentage_of_central_ht_steam_hot_water_agriculture_final_demand_steam_hot_water,%
agriculture,agriculture_energy_demand,input_percentage_of_local_steam_hot_water_agriculture_final_demand_steam_hot_water,%
energy,energy_fossil_electricity_production,input_energy_chp_ultra_supercritical_ht_coal_production,TJ
energy,energy_fossil_electricity_production,input_energy_chp_ultra_supercritical_mt_coal_production,TJ
energy,energy_fossil_electricity_production,input_energy_chp_ultra_supercritical_cofiring_ht_coal_production,TJ
energy,energy_fossil_electricity_production,input_energy_chp_ultra_supercritical_cofiring_mt_coal_production,TJ
energy,energy_fossil_electricity_production,input_energy_chp_ultra_supercritical_ht_lignite_production,TJ
energy,energy_fossil_electricity_production,input_energy_chp_ultra_supercritical_mt_lignite_production,TJ
energy,energy_fossil_electricity_production,input_energy_chp_combined_cycle_ht_network_gas_production,TJ
energy,energy_fossil_electricity_production,input_energy_chp_combined_cycle_mt_network_gas_production,TJ
energy,energy_fossil_electricity_production,input_energy_chp_local_engine_ht_network_gas_production,TJ
energy,energy_fossil_electricity_production,input_energy_chp_local_engine_mt_network_gas_production,TJ
energy,energy_renewable_electricity_production,input_energy_chp_supercritical_ht_waste_mix_production,TJ
energy,energy_renewable_electricity_production,input_energy_chp_supercritical_mt_waste_mix_production,TJ
energy,energy_renewable_electricity_production,input_energy_chp_local_ht_wood_pellets_production,TJ
energy,energy_renewable_electricity_production,input_energy_chp_local_mt_wood_pellets_production,TJ
energy,energy_renewable_electricity_production,input_energy_chp_local_engine_ht_biogas_production,TJ
energy,energy_renewable_electricity_production,input_energy_chp_local_engine_mt_biogas_production,TJ
energy,energy_heat_production,input_energy_heat_well_deep_ht_geothermal_production,TJ
energy,energy_heat_production,input_energy_heat_well_deep_mt_geothermal_production,TJ
energy,energy_heat_production,input_energy_heat_well_shallow_heatpump_mt_geothermal_production,TJ
energy,energy_heat_production,input_energy_heat_well_shallow_lt_geothermal_production,TJ
energy,energy_heat_production,input_energy_heat_burner_ht_wood_pellets_production,TJ
energy,energy_heat_production,input_energy_heat_burner_mt_wood_pellets_production,TJ
energy,energy_heat_production,input_energy_heat_burner_ht_waste_mix_production,TJ
energy,energy_heat_production,input_energy_heat_burner_mt_waste_mix_production,TJ
energy,energy_heat_production,input_energy_heat_burner_ht_hydrogen_production,TJ
energy,energy_heat_production,input_energy_heat_burner_mt_hydrogen_production,TJ
energy,energy_heat_production,input_energy_heat_burner_lt_hydrogen_production,TJ
energy,energy_heat_production,input_energy_heat_solar_lt_solar_thermal_production,TJ
energy,energy_heat_production,input_energy_heat_solar_mt_solar_thermal_production,TJ
energy,energy_heat_production,input_energy_heat_solar_ht_solar_thermal_production,TJ
energy,energy_heat_production,input_energy_heat_heatpump_water_water_ht_electricity_production,TJ
energy,energy_heat_production,input_energy_heat_heatpump_water_water_mt_electricity_production,TJ
energy,energy_heat_production,input_energy_heat_heatpump_water_water_lt_electricity_production,TJ
energy,energy_heat_production,input_energy_heat_boiler_ht_electricity_production,TJ
energy,energy_heat_production,input_energy_heat_boiler_mt_electricity_production,TJ
energy,energy_heat_production,input_energy_heat_boiler_lt_electricity_production,TJ
energy,energy_heat_production,input_energy_heat_burner_ht_network_gas_production,TJ
energy,energy_heat_production,input_energy_heat_burner_mt_network_gas_production,TJ
energy,energy_heat_production,input_energy_heat_burner_ht_coal_production,TJ
energy,energy_heat_production,input_energy_heat_burner_mt_coal_production,TJ
energy,energy_heat_production,input_energy_heat_burner_ht_crude_oil_production,TJ
energy,energy_heat_production,input_energy_heat_burner_mt_crude_oil_production,TJ
energy,energy_heat_production,energy_heat_import_lt_steam_hot_water_demand,TJ
energy,energy_heat_production,energy_heat_import_mt_steam_hot_water_demand,TJ
energy,energy_heat_production,energy_heat_import_ht_steam_hot_water_demand,TJ
energy,energy_energy_demand,input_energy_heat_distribution_ht_loss_share,%
energy,energy_energy_demand,input_energy_heat_distribution_mt_loss_share,%
energy,energy_energy_demand,input_energy_heat_distribution_lt_loss_share,%
