geo_id,Gemeentenaam,name,
GM1680,Aa en Hunze,aa_en_hunze,
GM0358,Aalsmeer,aalsmeer,
GM0197,Aalten,aalten,
GM0059,Achtkarspelen,achtkarspelen,
GM0482,Alblasserdam,alblasserdam,
GM0613,Albrandswaard,albrandswaard,
GM0361,Alkmaar,alkmaar,
GM0141,Almelo,almelo,
GM0034,Almere,almere,
GM0484,Alphen aan den Rijn,alphen_aan_den_rijn,
GM1723,Alphen-Chaam,alphen_chaam,
GM1959,Altena,altena,
GM0060,Ameland,ameland,
GM0307,Amersfoort,amersfoort,
GM0362,Amstelveen,amstelveen,
GM0363,Amsterdam,amsterdam,
GM0200,Apeldoorn,apeldoorn,
GM0202,Arnhem,arnhem,
GM0106,Assen,assen,
GM0743,Asten,asten,
GM0744,Baarle-Nassau,baarle_nassau,
GM0308,Baarn,baarn,
GM0489,Barendrecht,barendrecht,
GM0203,Barneveld,barneveld,
GM0888,Beek,beek,
GM1954,Beekdaelen,beekdaelen,
GM0889,Beesel,beesel,
GM1945,Berg en Dal,berg_en_dal,
GM1724,Bergeijk,bergeijk,
GM0893,Bergen (L.),bergen,
GM0373,Bergen (NH.),bergen,
GM0748,Bergen op Zoom,bergen_op_zoom,
GM1859,Berkelland,berkelland,
GM1721,Bernheze,bernheze,
GM0753,Best,best,
GM0209,Beuningen,beuningen,
GM0375,Beverwijk,beverwijk,
GM0310,De Bilt,de_bilt,
GM1728,Bladel,bladel,
GM0376,Blaricum,blaricum,
GM0377,Bloemendaal,bloemendaal,
GM1901,Bodegraven-Reeuwijk,bodegraven_reeuwijk,
GM0755,Boekel,boekel,
GM1681,Borger-Odoorn,borger_odoorn,
GM0147,Borne,borne,
GM0654,Borsele,borsele,
GM0757,Boxtel,boxtel,
GM0758,Breda,breda,
GM1876,Bronckhorst,bronckhorst,
GM0213,Brummen,brummen,
GM0899,Brunssum,brunssum,
GM0312,Bunnik,bunnik,
GM0313,Bunschoten,bunschoten,
GM0214,Buren,buren,
GM0502,Capelle aan den IJssel,capelle_aan_den_ijssel,
GM0383,Castricum,castricum,
GM0109,Coevorden,coevorden,
GM1706,Cranendonck,cranendonck,
GM0216,Culemborg,culemborg,
GM0148,Dalfsen,dalfsen,
GM1891,Dantumadiel,dantumadiel,
GM0503,Delft,delft,
GM0762,Deurne,deurne,
GM0150,Deventer,deventer,
GM0384,Diemen,diemen,
GM1980,Dijk en Waard,dijk_en_waard,
GM1774,Dinkelland,dinkelland,
GM0221,Doesburg,doesburg,
GM0222,Doetinchem,doetinchem,
GM0766,Dongen,dongen,
GM0505,Dordrecht,dordrecht,
GM0498,Drechterland,drechterland,
GM1719,Drimmelen,drimmelen,
GM0303,Dronten,dronten,
GM0225,Druten,druten,
GM0226,Duiven,duiven,
GM1711,Echt-Susteren,echt_susteren,
GM0385,Edam-Volendam,edam_volendam,
GM0228,Ede,ede,
GM0317,Eemnes,eemnes,
GM1979,Eemsdelta,eemsdelta,
GM0770,Eersel,eersel,
GM1903,Eijsden-Margraten,eijsden_margraten,
GM0772,Eindhoven,eindhoven,
GM0230,Elburg,elburg,
GM0114,Emmen,emmen,
GM0388,Enkhuizen,enkhuizen,
GM0153,Enschede,enschede,
GM0232,Epe,epe,
GM0233,Ermelo,ermelo,
GM0777,Etten-Leur,etten_leur,
GM1940,De Fryske Marren,de_fryske_marren,
GM0779,Geertruidenberg,geertruidenberg,
GM1771,Geldrop-Mierlo,geldrop_mierlo,
GM1652,Gemert-Bakel,gemert_bakel,
GM0907,Gennep,gennep,
GM0784,Gilze en Rijen,gilze_en_rijen,
GM1924,Goeree-Overflakkee,goeree_overflakkee,
GM0664,Goes,goes,
GM0785,Goirle,goirle,
GM1942,Gooise Meren,gooise_meren,
GM0512,Gorinchem,gorinchem,
GM0513,Gouda,gouda,
GM0518,'s-Gravenhage,s_gravenhage,
GM0014,Groningen,groningen,
GM1729,Gulpen-Wittem,gulpen_wittem,
GM0158,Haaksbergen,haaksbergen,
GM0392,Haarlem,haarlem,
GM0394,Haarlemmermeer,haarlemmermeer,
GM1655,Halderberge,halderberge,
GM0160,Hardenberg,hardenberg,
GM0243,Harderwijk,harderwijk,
GM0523,Hardinxveld-Giessendam,hardinxveld_giessendam,
GM0072,Harlingen,harlingen,
GM0244,Hattem,hattem,
GM0396,Heemskerk,heemskerk,
GM0397,Heemstede,heemstede,
GM0246,Heerde,heerde,
GM0074,Heerenveen,heerenveen,
GM0917,Heerlen,heerlen,
GM1658,Heeze-Leende,heeze_leende,
GM0399,Heiloo,heiloo,
GM0400,Den Helder,den_helder,
GM0163,Hellendoorn,hellendoorn,
GM0794,Helmond,helmond,
GM0531,Hendrik-Ido-Ambacht,hendrik_ido_ambacht,
GM0164,Hengelo,hengelo,
GM0796,'s-Hertogenbosch,s_hertogenbosch,
GM0252,Heumen,heumen,
GM0797,Heusden,heusden,
GM0534,Hillegom,hillegom,
GM0798,Hilvarenbeek,hilvarenbeek,
GM0402,Hilversum,hilversum,
GM1963,Hoeksche Waard,hoeksche_waard,
GM1735,Hof van Twente,hof_van_twente,
GM1966,Het Hogeland,het_hogeland,
GM1911,Hollands Kroon,hollands_kroon,
GM0118,Hoogeveen,hoogeveen,
GM0405,Hoorn,hoorn,
GM1507,Horst aan de Maas,horst_aan_de_maas,
GM0321,Houten,houten,
GM0406,Huizen,huizen,
GM0677,Hulst,hulst,
GM0353,IJsselstein,ijsselstein,
GM1884,Kaag en Braassem,kaag_en_braassem,
GM0166,Kampen,kampen,
GM0678,Kapelle,kapelle,
GM0537,Katwijk,katwijk,
GM0928,Kerkrade,kerkrade,
GM1598,Koggenland,koggenland,
GM0542,Krimpen aan den IJssel,krimpen_aan_den_ijssel,
GM1931,Krimpenerwaard,krimpenerwaard,
GM1659,Laarbeek,laarbeek,
GM1982,Land van Cuijk,land_van_cuijk,
GM0882,Landgraaf,landgraaf,
GM0415,Landsmeer,landsmeer,
GM1621,Lansingerland,lansingerland,
GM0417,Laren,laren,
GM0080,Leeuwarden,leeuwarden,
GM0546,Leiden,leiden,
GM0547,Leiderdorp,leiderdorp,
GM1916,Leidschendam-Voorburg,leidschendam_voorburg,
GM0995,Lelystad,lelystad,
GM1640,Leudal,leudal,
GM0327,Leusden,leusden,
GM1705,Lingewaard,lingewaard,
GM0553,Lisse,lisse,
GM0262,Lochem,lochem,
GM0809,Loon op Zand,loon_op_zand,
GM0331,Lopik,lopik,
GM0168,Losser,losser,
GM0263,Maasdriel,maasdriel,
GM1641,Maasgouw,maasgouw,
GM1991,Maashorst,maashorst,
GM0556,Maassluis,maassluis,
GM0935,Maastricht,maastricht,
GM0420,Medemblik,medemblik,
GM0938,Meerssen,meerssen,
GM1948,Meierijstad,meierijstad,
GM0119,Meppel,meppel,
GM0687,Middelburg,middelburg,
GM1842,Midden-Delfland,midden_delfland,
GM1731,Midden-Drenthe,midden_drenthe,
GM1952,Midden-Groningen,midden_groningen,
GM1709,Moerdijk,moerdijk,
GM1978,Molenlanden,molenlanden,
GM1955,Montferland,montferland,
GM0335,Montfoort,montfoort,
GM0944,Mook en Middelaar,mook_en_middelaar,
GM1740,Neder-Betuwe,neder_betuwe,
GM0946,Nederweert,nederweert,
GM0356,Nieuwegein,nieuwegein,
GM0569,Nieuwkoop,nieuwkoop,
GM0267,Nijkerk,nijkerk,
GM0268,Nijmegen,nijmegen,
GM1930,Nissewaard,nissewaard,
GM1970,Noardeast-Fryslân,noardeast_fryslan,
GM1695,Noord-Beveland,noord_beveland,
GM1699,Noordenveld,noordenveld,
GM0171,Noordoostpolder,noordoostpolder,
GM0575,Noordwijk,noordwijk,
GM0820,"Nuenen, Gerwen en Nederwetten",nuenen_gerwen_en_nederwetten,
GM0302,Nunspeet,nunspeet,
GM0579,Oegstgeest,oegstgeest,
GM0823,Oirschot,oirschot,
GM0824,Oisterwijk,oisterwijk,
GM1895,Oldambt,oldambt,
GM0269,Oldebroek,oldebroek,
GM0173,Oldenzaal,oldenzaal,
GM1773,Olst-Wijhe,olst_wijhe,
GM0175,Ommen,ommen,
GM1586,Oost Gelre,oost_gelre,
GM0826,Oosterhout,oosterhout,
GM0085,Ooststellingwerf,ooststellingwerf,
GM0431,Oostzaan,oostzaan,
GM0432,Opmeer,opmeer,
GM0086,Opsterland,opsterland,
GM0828,Oss,oss,
GM1509,Oude IJsselstreek,oude_ijsselstreek,
GM0437,Ouder-Amstel,ouder_amstel,
GM0589,Oudewater,oudewater,
GM1734,Overbetuwe,overbetuwe,
GM0590,Papendrecht,papendrecht,
GM1894,Peel en Maas,peel_en_maas,
GM0765,Pekela,pekela,
GM1926,Pijnacker-Nootdorp,pijnacker_nootdorp,
GM0439,Purmerend,purmerend,
GM0273,Putten,putten,
GM0177,Raalte,raalte,
GM0703,Reimerswaal,reimerswaal,
GM0274,Renkum,renkum,
GM0339,Renswoude,renswoude,
GM1667,Reusel-De Mierden,reusel_de_mierden,
GM0275,Rheden,rheden,
GM0340,Rhenen,rhenen,
GM0597,Ridderkerk,ridderkerk,
GM1742,Rijssen-Holten,rijssen_holten,
GM0603,Rijswijk,rijswijk,
GM1669,Roerdalen,roerdalen,
GM0957,Roermond,roermond,
GM0736,De Ronde Venen,de_ronde_venen,
GM1674,Roosendaal,roosendaal,
GM0599,Rotterdam,rotterdam,
GM0277,Rozendaal,rozendaal,
GM0840,Rucphen,rucphen,
GM0441,Schagen,schagen,
GM0279,Scherpenzeel,scherpenzeel,
GM0606,Schiedam,schiedam,
GM0088,Schiermonnikoog,schiermonnikoog,
GM1676,Schouwen-Duiveland,schouwen_duiveland,
GM0965,Simpelveld,simpelveld,
GM0845,Sint-Michielsgestel,sint_michielsgestel,
GM1883,Sittard-Geleen,sittard_geleen,
GM0610,Sliedrecht,sliedrecht,
GM1714,Sluis,sluis,
GM0090,Smallingerland,smallingerland,
GM0342,Soest,soest,
GM0847,Someren,someren,
GM0848,Son en Breugel,son_en_breugel,
GM0037,Stadskanaal,stadskanaal,
GM0180,Staphorst,staphorst,
GM0532,Stede Broec,stede_broec,
GM0851,Steenbergen,steenbergen,
GM1708,Steenwijkerland,steenwijkerland,
GM0971,Stein,stein,
GM1904,Stichtse Vecht,stichtse_vecht,
GM1900,Súdwest-Fryslân,sudwest_fryslan,
GM0715,Terneuzen,terneuzen,
GM0093,Terschelling,terschelling,
GM0448,Texel,texel,
GM1525,Teylingen,teylingen,
GM0716,Tholen,tholen,
GM0281,Tiel,tiel,
GM0855,Tilburg,tilburg,
GM0183,Tubbergen,tubbergen,
GM1700,Twenterand,twenterand,
GM1730,Tynaarlo,tynaarlo,
GM0737,Tytsjerksteradiel,tytsjerksteradiel,
GM0450,Uitgeest,uitgeest,
GM0451,Uithoorn,uithoorn,
GM0184,Urk,urk,
GM0344,Utrecht,utrecht,
GM1581,Utrechtse Heuvelrug,utrechtse_heuvelrug,
GM0981,Vaals,vaals,
GM0994,Valkenburg aan de Geul,valkenburg_aan_de_geul,
GM0858,Valkenswaard,valkenswaard,
GM0047,Veendam,veendam,
GM0345,Veenendaal,veenendaal,
GM0717,Veere,veere,
GM0861,Veldhoven,veldhoven,
GM0453,Velsen,velsen,
GM0983,Venlo,venlo,
GM0984,Venray,venray,
GM1961,Vijfheerenlanden,vijfheerenlanden,
GM0622,Vlaardingen,vlaardingen,
GM0096,Vlieland,vlieland,
GM0718,Vlissingen,vlissingen,
GM0986,Voerendaal,voerendaal,
GM1992,Voorne aan Zee,voorne_aan_zee,
GM0626,Voorschoten,voorschoten,
GM0285,Voorst,voorst,
GM0865,Vught,vught,
GM1949,Waadhoeke,waadhoeke,
GM0866,Waalre,waalre,
GM0867,Waalwijk,waalwijk,
GM0627,Waddinxveen,waddinxveen,
GM0289,Wageningen,wageningen,
GM0629,Wassenaar,wassenaar,
GM0852,Waterland,waterland,
GM0988,Weert,weert,
GM1960,West Betuwe,west_betuwe,
GM0668,West Maas en Waal,west_maas_en_waal,
GM1969,Westerkwartier,westerkwartier,
GM1701,Westerveld,westerveld,
GM0293,Westervoort,westervoort,
GM1950,Westerwolde,westerwolde,
GM1783,Westland,westland,
GM0098,Weststellingwerf,weststellingwerf,
GM0189,Wierden,wierden,
GM0296,Wijchen,wijchen,
GM1696,Wijdemeren,wijdemeren,
GM0352,Wijk bij Duurstede,wijk_bij_duurstede,
GM0294,Winterswijk,winterswijk,
GM0873,Woensdrecht,woensdrecht,
GM0632,Woerden,woerden,
GM1690,De Wolden,de_wolden,
GM0880,Wormerland,wormerland,
GM0351,Woudenberg,woudenberg,
GM0479,Zaanstad,zaanstad,
GM0297,Zaltbommel,zaltbommel,
GM0473,Zandvoort,zandvoort,
GM0050,Zeewolde,zeewolde,
GM0355,Zeist,zeist,
GM0299,Zevenaar,zevenaar,
GM0637,Zoetermeer,zoetermeer,
GM0638,Zoeterwoude,zoeterwoude,
GM1892,Zuidplas,zuidplas,
GM0879,Zundert,zundert,
GM0301,Zutphen,zutphen,
GM1896,Zwartewaterland,zwartewaterland,
GM0642,Zwijndrecht,zwijndrecht,
GM0193,Zwolle,zwolle
