Municipality,energetic_emissions_other_ghg_agriculture,energetic_emissions_other_ghg_buildings,energetic_emissions_other_ghg_energy,energetic_emissions_other_ghg_households,energetic_emissions_other_ghg_industry,energetic_emissions_other_ghg_transport,non_energetic_emissions_other_ghg_agriculture_fermentation,non_energetic_emissions_other_ghg_agriculture_manure,non_energetic_emissions_other_ghg_agriculture_other,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,non_energetic_emissions_other_ghg_chemical_industry,non_energetic_emissions_other_ghg_other_industry,non_energetic_emissions_other_ghg_waste_management
's-Gravenhage,0.0039106304399157,0.00233732497977,0.009644351914,0.0100441094941,0.000467538714839,0.00621626776252004,0.00045367,9.2127066872e-05,0.0,0.0007905588173,0.0006792663261160001,0.0217241329372,0.0075748259076
's-Hertogenbosch,0.0002510441165,0.0007414662699550002,0.0025711431500000004,0.0034569686869499994,0.0001872502742065,0.00449545120195544,0.02891068488,0.025978976829164002,0.0,0.007989874815,0.0038057163326899995,0.019056404643,0.00659122257224
Aa en Hunze,7.7268662355e-05,4.530640738e-05,0.0004902336171650001,0.0008364698636199999,0.000489954944152,0.00092324418011402,0.0377708677864,0.013799250624289501,0.0,0.02813138494135,0.0,0.0007396084709,0.0006673042226
Aalsmeer,0.007556471230916,0.00010921081380000001,0.00040395656,0.000654239971045,3.0660532429800004e-05,0.000693138770270723,0.0001633534448,7.658261934139999e-05,0.0,0.000897059273245,5.578356e-09,0.00105914513,0.000151458477
Aalten,0.00045024456596500005,4.5629038190000004e-05,0.00035071452115,0.000799148114195,4.68734593675e-05,0.00049472550566364,0.0437356244864,0.028594045571976,0.0,0.011403592360000001,0.0,0.009124580252099999,0.00039708643559999997
Achtkarspelen,0.00012215245822000002,4.9293960870000005e-05,0.0004173876237,0.0006481719504100001,4.7522513594349995e-05,0.0005208499531867399,0.039426104704,0.01501865709587,0.0,0.021704857595,0.0,0.0021806520971999997,0.00036978828799999995
Alblasserdam,3.8285579950000004e-07,4.103443913e-05,0.0002607914659,0.00043824622546500007,1.8275486613e-05,0.000451368253011596,0.0006237682919999999,0.00025088021019180004,0.0,0.0009284349809500001,0.0,0.0006230392079000001,0.0005090553546
Albrandswaard,0.0010821381324570998,9.286714420000001e-05,0.00032688852000000004,0.00061367729223,1.6234398726350003e-05,0.000421356541346937,0.00070055367956,0.0002715754534014,0.0,0.0014936819446000002,1.6037755999999996e-08,0.025571289328400002,0.00018177221280000003
Alkmaar,0.00031587680549999996,0.00039910839965,0.01222807547499,0.00240069949655,0.0001400662872415,0.0022156840283328078,0.030433855802840002,0.010096923954823,0.0,0.021976137114500003,0.0,0.0039860064938,0.02023261432544
Almelo,4.994375272e-05,0.00027097531465,0.0009426840008000002,0.0017688583758000002,0.0005365539397,0.0017747613874074162,0.01939877464,0.012131429250766,0.0,0.0058482913335000004,0.03938655554450001,0.0030683038278,0.020626311274
Almere,0.0044747200589,0.00052765798182,0.0025655073212,0.004013729020249999,0.000148978045205,0.003946585384893505,0.00321184797668,0.0011051856617772002,0.0,0.006579650709,4.18376e-09,0.006437497802999999,0.040637538476400004
Alphen aan den Rijn,0.0006840010078,0.00025180548587,0.0018709151999999998,0.0024099407632500003,0.0001476594519768,0.0020271094607991302,0.041053965803200004,0.01386342907463,0.0,0.03034684179445,0.003805673449178,0.004796667199700001,0.010897515889
Alphen-Chaam,0.002015453293,1.3735299435000002e-05,0.000311160499645,0.00028267387399,1.0150124137400001e-05,0.000308290646606374,0.0335779611664,0.02353651570262,0.0,0.0074402934827,0.0,0.0002791082551,0.000331388934
Altena,0.0033979659595000005,0.00010083939943,0.00069883044,0.0015005714134,8.51397366905e-05,0.0019974527338088802,0.039262070120000006,0.01413468007963,0.0,0.0268519018475,1.3945876000000001e-08,0.0020903837242999997,0.0006948695822000001
Ameland,3.8593625e-06,9.18037737e-06,0.0001684404042,8.504993680150001e-05,3.6378966705e-06,4.7418471225022e-05,0.0075721104648000005,0.0022189491013358,0.0,0.004570418868575,0.0,0.00011095690144,8.653653980000001e-05
Amersfoort,3.62122405e-05,0.000740021811,0.0019827057341500003,0.0031678034524,0.0001426937419435,0.00394576751825147,0.010684470062,0.004857888038678,0.0,0.0044634263495000005,0.0007889750821050001,0.00580830282482,0.094681817932
Amstelveen,0.003701697732735,0.00035629219415,0.0011333170665150001,0.0018082018682500003,8.3943176102e-05,0.00169424691634132,0.004647301938440001,0.0016328765940585,0.0,0.0046472034167815,0.0,0.003070046175,0.00157010538
Amsterdam,0.0005180942789309999,0.004233866298948,0.03635680205334001,0.015600876250000001,0.001589098687445,0.0112219390848835,0.008770252086400001,0.003176260066221,0.0,0.013097658757555,0.0017081512345100002,0.032514413174699996,0.0207466510224
Apeldoorn,0.001693083384,0.0007501283159999999,0.002075904471,0.0037377697231499997,0.000578285577055,0.00592212223430536,0.0475937246988,0.020719330582290002,0.0,0.0106469749865,0.001773021171065,0.016571880077,0.0049625703514
Arnhem,0.0002245175283,0.0008279986401000001,0.0045532178149095,0.0032470963982999994,0.000566088524451,0.00520953996089707,0.0037577932392,0.0013392135442355,0.0,0.00184429380019,0.01751029217679,0.011873212105000001,0.0025210791269
Assen,2.0126376307e-05,0.0002876237052999999,0.0011277004375,0.0016691621810999999,7.37077785555e-05,0.00157407970914876,0.00643017400284,0.0025211216409714997,0.0,0.0067737223115500005,0.0,0.0025271642157999995,0.0013152048167600003
Asten,0.017763651171399997,3.211300045e-05,0.00021524355999999998,0.000438237661125,4.4622869025e-05,0.00104981930738998,0.03941381276,0.044994348689703,0.0,0.007227809439,0.0,0.0103972200531,0.0008315219449999999
Baarle-Nassau,0.00029408205245,1.189497399e-05,8.577760800000001e-05,0.00019794406196,1.2349753945999999e-05,0.000137951630467332,0.0516408958324,0.034478623312552,0.0,0.007264836405,0.0,0.00019560939966000004,0.000152044028
Baarn,2.4275736349999996e-06,9.869883525e-05,0.00031724364,0.000566142176435,2.606391972775e-05,0.000874766525136628,0.004591635664,0.001442393657841,0.0,0.002126523929,0.0,0.0008605808247,8.122736480000002e-05
Barendrecht,0.001933898146206,0.00013379383037,0.0006218743714000001,0.0010397947783599999,3.95947721386e-05,0.001483119851118455,0.00017025802107999998,6.4281267195e-05,0.0,0.000553378018835,0.00037128204824999993,0.0048872912784,0.00062149004116
Barneveld,0.000996902629415,0.00041013397675,0.0251855640789,0.00139767608094,0.000139495271302,0.0027848662148722923,0.120353638342,0.06900987498508,0.0,0.014401709663,4.97384594e-06,0.0126422232072,0.37522728443340003
Beek,9.5441451075e-06,7.064651169999999e-05,0.00021726682009749998,0.00044763071524,1.422295995035e-05,0.00081490699788396,0.00325049288536,0.0010871469203813,0.0,0.00144707795174,0.0,0.0006902896692000001,4.969629859999999e-05
Beekdaelen,1.3313622944000001e-05,0.00011481813895,0.00047253668000000006,0.000952330339405,3.9032237616500005e-05,0.0009258370156629439,0.00860168512,0.0031809310217295003,0.0,0.0053224824834,0.0,0.001083470447,0.082309200658
Beemster,0.0005749048739149999,2.2289802509999998e-05,0.000581360253,0.00025186690690999996,7.2774694e-06,0.000941482191786996,0.0331292627232,0.01076872420937,0.0,0.0171177979759,0.0,0.00029145699692,0.0008063553449
