,Gemeentenaam,energetic_emissions_other_ghg_agriculture,energetic_emissions_other_ghg_buildings,energetic_emissions_other_ghg_energy,energetic_emissions_other_ghg_households,energetic_emissions_other_ghg_industry,energetic_emissions_other_ghg_transport,indirect_emissions_co2,non_energetic_emissions_co2_agriculture_manure,non_energetic_emissions_co2_agriculture_soil_cultivation,non_energetic_emissions_co2_chemical_industry,non_energetic_emissions_co2_other_industry,non_energetic_emissions_co2_waste_management,non_energetic_emissions_other_ghg_agriculture_fermentation,non_energetic_emissions_other_ghg_agriculture_manure,non_energetic_emissions_other_ghg_agriculture_other,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,non_energetic_emissions_other_ghg_chemical_industry,non_energetic_emissions_other_ghg_other_industry,non_energetic_emissions_other_ghg_waste_management
's-Gravenhage,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
's-Hertogenbosch,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Aa en Hunze,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Aalsmeer,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Aalten,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Achtkarspelen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Alblasserdam,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Albrandswaard,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Alkmaar,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Almelo,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Almere,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Alphen aan den Rijn,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Alphen-Chaam,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Altena,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Ameland,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Amersfoort,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Amstelveen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Amsterdam,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Apeldoorn,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Arnhem,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Assen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Asten,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Baarle-Nassau,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Baarn,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Barendrecht,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Barneveld,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Beek,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Beekdaelen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Beemster,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Beesel,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Berg en Dal,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Bergeijk,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Bergen (L),,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Bergen (NH),,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Bergen op Zoom,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Berkelland,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Bernheze,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Best,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Beuningen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Beverwijk,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Bladel,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Blaricum,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Bloemendaal,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Bodegraven-Reeuwijk,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Boekel,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Borger-Odoorn,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Borne,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Borsele,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Boxmeer,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Boxtel,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Breda,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Brielle,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Bronckhorst,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Brummen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Brunssum,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Bunnik,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Bunschoten,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Buren,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Capelle aan den IJssel,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Castricum,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Coevorden,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Cranendonck,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Cuijk,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Culemborg,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Dalfsen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Dantumadiel,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
De Bilt,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
De Fryske Marren,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
De Ronde Venen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
De Wolden,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Delft,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Den Helder,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Deurne,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Deventer,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Diemen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Dinkelland,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
