GemeenteCode,Gemeentenaam,energetic_emissions_other_ghg_agriculture,energetic_emissions_other_ghg_buildings,energetic_emissions_other_ghg_energy,energetic_emissions_other_ghg_households,energetic_emissions_other_ghg_industry,energetic_emissions_other_ghg_transport,non_energetic_emissions_other_ghg_agriculture_fermentation,non_energetic_emissions_other_ghg_agriculture_manure,non_energetic_emissions_other_ghg_agriculture_other,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,non_energetic_emissions_other_ghg_chemical_industry,non_energetic_emissions_other_ghg_other_industry,non_energetic_emissions_other_ghg_waste_management,indirect_emissions_co2,non_energetic_emissions_co2_agriculture_manure,non_energetic_emissions_co2_agriculture_soil_cultivation,non_energetic_emissions_co2_chemical_industry,non_energetic_emissions_co2_other_industry,non_energetic_emissions_co2_waste_management
GM0014,Groningen,0.0001305234749454792,7.192236945899884e-05,0.004430983200738447,0.0007564563586396121,0.00024525190784899004,0.0023706602751177677,0.035644378133829265,0.0012273694483727392,0.0,0.022329716460145334,0.0010356586131240468,0.007983984340743457,0.060331020433145456,0.005787948788614956,0.000447934593384141,0.0001683467842903318,0.000126474591094553,0.007064174953092135,0.0
GM0034,Almere,0.003919062066618424,4.410435262278106e-05,0.0038595589594427504,0.0006006520699917799,0.00017952260741097543,0.002449918452771005,0.0023818576281490903,0.0004933714959536777,0.0,0.005067890902296167,3.611236897274608e-09,0.005494281403543373,0.07844372140756112,0.005425183257825586,6.13407839412002e-05,0.0,0.000207022654696671,0.0069379249503802925,0.0
GM0037,Stadskanaal,7.569114520129229e-05,4.04792858230007e-06,0.0005390877924927106,0.00033189769841245477,3.349430139604762e-05,0.0002931972240433825,0.011483766586228631,0.0018233784031418429,0.0,0.011580702615521077,0.0,0.0009211074730842793,0.002194480121723626,0.0007576734504339612,0.000212877626014021,0.00014552346294534322,9.11464930234493e-05,0.0008863554756853561,0.0
GM0047,Veendam,4.810843769288643e-05,1.8962842164618863e-05,0.0005093475832831668,0.00025366063679265,4.895387628599906e-05,0.00036750926448167687,0.007130189953602204,0.0022971137625772023,0.0,0.007535935282689362,2.90245e-05,0.0008840848083847525,0.06239522065044417,0.000674391026629961,0.000137295038392202,9.02454592877537e-05,7.77218157564296e-05,0.0010979019867017104,0.0
GM0050,Zeewolde,0.00022535998034160253,3.0731464847260393e-06,0.0004113373755846011,0.0001318055102808799,7.449843780751888e-05,0.0009959731263940901,0.05909457713239729,0.006227375691858741,0.0,0.028184067617211806,6.018728162124384e-10,0.0012690466598414888,0.0020642399171462997,0.0005712778920225469,0.000504597548838327,1.379539174766337e-06,7.0656196142208706e-06,0.0010330390856949068,0.0
GM0059,Achtkarspelen,0.00023591835779943182,3.6465618984069007e-06,0.0005231281185344195,0.00034866532351946904,3.781525386099579e-05,0.00030644464092812655,0.039854579204057355,0.0016748887565132306,0.0,0.016183437454472198,0.0,0.0009168952982244073,0.0013647101941218298,0.0006851072056570577,0.000354695840353826,0.0001303683585534115,0.0,0.0008032854223050571,0.0
GM0060,Ameland,2.5088829237745542e-05,4.979049555252907e-07,0.0001667091637884972,5.110692801525243e-05,5.381398397494483e-06,5.037344684333849e-05,0.006551389436620468,0.0001339749890377573,0.0,0.0034972131778633867,0.0,0.00010149839700222723,0.00046039654764702795,9.269393978558617e-05,9.702237173516471e-05,3.0338130279016457e-05,0.0,0.00011079291147454058,0.0
GM0072,Harlingen,0.0002033600660397262,2.0948311742044166e-06,0.003888217250128224,9.717768995149052e-05,4.331955173709614e-05,0.0002959920252489642,0.008696338675667548,0.0009311053143901124,0.0,0.0028321843462670144,0.0,0.0004375774089254796,0.0011883885727246508,0.0003926834965639824,7.37068059308383e-05,1.116859767901578e-05,0.0,0.0011908356944500594,0.0
GM0074,Heerenveen,0.00022932789915350342,3.278352296854737e-05,0.0008773862715568902,0.0004393982455467754,6.909774379411223e-05,0.0010453053121220511,0.09076209807433656,0.0035323484932453216,0.0,0.040163228976742765,1.0360560000000002e-06,0.0024327392637219693,0.01953252368359112,0.0012234069304286209,0.00057708276199273,0.00023079073393863912,1.76640490355521e-05,0.0017042690785668347,0.0
GM0080,Leeuwarden,0.0002889079125731495,2.254639194490083e-05,0.0022503300211130567,0.000668048584096324,0.00013172877692926534,0.001463674930432495,0.10844716500160614,0.004911003646741165,0.0,0.04057606466139398,1.1134647099930115e-08,0.005508697770898019,0.009108325367378604,0.003081846041948217,0.000971000110468862,0.0002237170563453267,7.20693200650529e-05,0.003845085177074185,0.0
GM0085,Ooststellingwerf,0.00034069488978761284,4.725339080881427e-06,0.0004390660851483622,0.00031806246614731804,4.975064929485517e-05,0.000484325533501456,0.09787566594510405,0.00646013945767409,0.0,0.029878946891540838,0.0,0.0006084222324082316,0.007998376674632742,0.0006186286562925788,0.000516903393260981,0.0002588422283890267,1.41312392284417e-06,0.0007237188225619895,0.0
GM0086,Opsterland,0.00022453677789325847,3.899372682920931e-06,0.0005540364488900435,0.00038709036289733684,7.23160693681289e-05,0.0008744537430251621,0.09450978955121442,0.005182624167325643,0.0,0.03914376463968931,9.028092243186578e-09,0.0007452748314711907,0.002451404108173605,0.0007321020350593034,0.0005931228164998759,0.000281848555734572,4.66330894538577e-05,0.0008563400958593127,0.0
GM0088,Schiermonnikoog,1.8709449194602518e-05,1.3275282225818931e-07,1.703071060755313e-05,1.4670937568591637e-05,1.5307394299534357e-06,3.324513505979951e-05,0.001923345592337955,0.00020459293593364506,0.0,0.0007116969240452448,0.0,2.617437939316647e-05,0.00010037530043667482,2.3995671665913886e-05,1.09790616123771e-05,3.51264514524177e-06,0.0,2.9461476442188637e-05,0.0
GM0090,Smallingerland,0.00019443582420219292,9.670833009633207e-06,0.0011354308893632846,0.00038035869544682564,7.632226082497347e-05,0.0010993164961741685,0.0454645606261461,0.0021091002977312217,0.0,0.023584619226367218,0.0,0.001624207033794567,0.0072176476605947965,0.001361846947751369,0.00032289028755969903,0.00014467140548170038,9.46793028305597e-05,0.001593352606888909,0.0
GM0093,Terschelling,3.8329133148452616e-05,6.397874470482693e-07,8.454840088419753e-05,5.482610083565228e-05,5.244500537865154e-06,0.00010352447470582385,0.005146106644989361,0.00018158826814143047,0.0,0.0025409532966086793,0.0,0.0001308791474206938,0.00027234576764942147,0.00011912572025007012,6.620722321559e-05,1.641547912640901e-05,0.0,0.00014205452086368852,0.0
GM0096,Vlieland,1.6109376687337106e-05,1.7218298312608304e-07,2.2044828451401224e-05,1.0362239659025317e-05,1.4026770140927143e-06,1.8580011786688628e-05,0.00013153543519622157,5.480458860315343e-07,0.0,2.9574180916954142e-05,0.0,3.16855456746681e-05,6.874674910207769e-05,3.1060387181766734e-05,9.05713000574764e-08,0.0,0.0,3.650039340423912e-05,0.0
