Emissiecode,Emissieoorzaak,Gascode,Gasnaam,CRF code,Emissiecode_Gascode,ETM categorie,
447108,"Veestapel, vleeseenden, mest in stallen + opslag excl. NH3",523,Methaan,3.B.1.4,447108_523,non_energetic_emissions_other_ghg_agriculture_manure,
447109,"Veestapel, kalkoenen, mest in stallen + opslag excl. NH3",205,Distikstofoxide,3.B.2.4,447109_205,non_energetic_emissions_other_ghg_agriculture_manure,
447109,"Veestapel, kalkoenen, mest in stallen + opslag excl. NH3",523,Methaan,3.B.1.4,447109_523,non_energetic_emissions_other_ghg_agriculture_manure,
447110,"Veestapel, konijnen, mest in stallen + opslag excl. NH3",205,Distikstofoxide,3.B.2.4,447110_205,non_energetic_emissions_other_ghg_agriculture_manure,
447111,"Veestapel, pelsdieren, mest in stallen + opslag excl. NH3",205,Distikstofoxide,3.B.2.4,447111_205,non_energetic_emissions_other_ghg_agriculture_manure,
447111,"Veestapel, pelsdieren, mest in stallen + opslag excl. NH3",523,Methaan,3.B.1.4,447111_523,non_energetic_emissions_other_ghg_agriculture_manure,
500100,Recreatievaart uitlaatgassen,204,Koolstofdioxide,1.A.3.d,500100_204,"NA (energetische emissies, volgt uit energiegebruik)",
500100,Recreatievaart uitlaatgassen,205,Distikstofoxide,1.A.3.d,500100_205,energetic_emissions_other_ghg_transport,
500100,Recreatievaart uitlaatgassen,523,Methaan,1.A.3.d,500100_523,energetic_emissions_other_ghg_transport,
506800,Gebruik zuiveringsslib,205,Distikstofoxide,3.D.1.2.b,506800_205,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,
800200,Gasdistributie,204,Koolstofdioxide,1.B.2.b.5,800200_204,"NA (energetische emissies, volgt uit energiegebruik)",
800200,Gasdistributie,523,Methaan,1.B.2.b.5,800200_523,energetic_emissions_other_ghg_energy,
801000,Branden van kaarsen,204,Koolstofdioxide,2.D.2,801000_204,non_energetic_emissions_co2_other_industry,
801000,Branden van kaarsen,523,Methaan,2.D.2,801000_523,non_energetic_emissions_other_ghg_other_industry,
801400,Vreugdevuren,204,Koolstofdioxide,5.C.2.1.b,801400_204,out_of_scope,
801400,Vreugdevuren,205,Distikstofoxide,5.C.2.1.b,801400_205,non_energetic_emissions_other_ghg_waste_management,
801400,Vreugdevuren,523,Methaan,5.C.2.1.b,801400_523,non_energetic_emissions_other_ghg_waste_management,
