Emissiecode,Emissieoorzaak,Gascode,Gasnaam,CRF code,Emissiecode_Gascode,ETM categorie,
100504,Uitlaatgassen lichte bedrijfsvoertuigen (diesel SCR),204,Koolstofdioxide,2.D.3,100504_204,non_energetic_emissions_co2_other_industry,
100700,Uitlaatgassen zware bedrijfsvoertuigen,204,Koolstofdioxide,1.A.3.b.iii,100700_204,"NA (energetische emissies, volgt uit energiegebruik)",
100700,Uitlaatgassen zware bedrijfsvoertuigen,205,Distikstofoxide,1.A.3.b.iii,100700_205,energetic_emissions_other_ghg_transport,
100700,Uitlaatgassen zware bedrijfsvoertuigen,523,Methaan,1.A.3.b.iii,100700_523,energetic_emissions_other_ghg_transport,
100704,Uitlaatgassen zware bedrijfsvoertuigen (diesel SCR),204,Koolstofdioxide,2.D.3,100704_204,non_energetic_emissions_co2_other_industry,
100800,Uitlaatgassen autobussen,204,Koolstofdioxide,1.A.3.b.iii,100800_204,"NA (energetische emissies, volgt uit energiegebruik)",
100800,Uitlaatgassen autobussen,205,Distikstofoxide,1.A.3.b.iii,100800_205,energetic_emissions_other_ghg_transport,
100800,Uitlaatgassen autobussen,523,Methaan,1.A.3.b.iii,100800_523,energetic_emissions_other_ghg_transport,
100804,Uitlaatgassen autobussen (diesel SCR),204,Koolstofdioxide,2.D.3,100804_204,non_energetic_emissions_co2_other_industry,
100805,Uitlaatgassen motorfietsen en bromfietsen,204,Koolstofdioxide,1.A.3.b.iv,100805_204,"NA (energetische emissies, volgt uit energiegebruik)",
100805,Uitlaatgassen motorfietsen en bromfietsen,205,Distikstofoxide,1.A.3.b.iv,100805_205,energetic_emissions_other_ghg_transport,
100805,Uitlaatgassen motorfietsen en bromfietsen,523,Methaan,1.A.3.b.iv,100805_523,energetic_emissions_other_ghg_transport,
103001,"Uitlaatgassen personenauto's, autosnelweg",204,Koolstofdioxide,1.A.3.b.i,103001_204,"NA (energetische emissies, volgt uit energiegebruik)",
103001,"Uitlaatgassen personenauto's, autosnelweg",205,Distikstofoxide,1.A.3.b.i,103001_205,energetic_emissions_other_ghg_transport,
103002,"Uitlaatgassen personenauto's, bebouwde kom",204,Koolstofdioxide,1.A.3.b.i,103002_204,"NA (energetische emissies, volgt uit energiegebruik)",
103002,"Uitlaatgassen personenauto's, bebouwde kom",205,Distikstofoxide,1.A.3.b.i,103002_205,energetic_emissions_other_ghg_transport,
103003,"Uitlaatgassen personenauto's, buitenweg",204,Koolstofdioxide,1.A.3.b.i,103003_204,"NA (energetische emissies, volgt uit energiegebruik)",
103003,"Uitlaatgassen personenauto's, buitenweg",205,Distikstofoxide,1.A.3.b.i,103003_205,energetic_emissions_other_ghg_transport,
103004,"Uitlaatgassen lichte bedrijfsvoertuigen, autosnelweg",204,Koolstofdioxide,1.A.3.b.ii,103004_204,"NA (energetische emissies, volgt uit energiegebruik)",
103004,"Uitlaatgassen lichte bedrijfsvoertuigen, autosnelweg",205,Distikstofoxide,1.A.3.b.ii,103004_205,energetic_emissions_other_ghg_transport,
103005,"Uitlaatgassen lichte bedrijfsvoertuigen, bebouwde kom",204,Koolstofdioxide,1.A.3.b.ii,103005_204,"NA (energetische emissies, volgt uit energiegebruik)",
103005,"Uitlaatgassen lichte bedrijfsvoertuigen, bebouwde kom",205,Distikstofoxide,1.A.3.b.ii,103005_205,energetic_emissions_other_ghg_transport,
103006,"Uitlaatgassen lichte bedrijfsvoertuigen, buitenweg",204,Koolstofdioxide,1.A.3.b.ii,103006_204,"NA (energetische emissies, volgt uit energiegebruik)",
103006,"Uitlaatgassen lichte bedrijfsvoertuigen, buitenweg",205,Distikstofoxide,1.A.3.b.ii,103006_205,energetic_emissions_other_ghg_transport,
103007,"Uitlaatgassen autobussen ov, autosnelweg",204,Koolstofdioxide,1.A.3.b.iii,103007_204,"NA (energetische emissies, volgt uit energiegebruik)",
103007,"Uitlaatgassen autobussen ov, autosnelweg",205,Distikstofoxide,1.A.3.b.iii,103007_205,energetic_emissions_other_ghg_transport,
103008,"Uitlaatgassen autobussen ov, bebouwde kom",204,Koolstofdioxide,1.A.3.b.iii,103008_204,"NA (energetische emissies, volgt uit energiegebruik)",
103008,"Uitlaatgassen autobussen ov, bebouwde kom",205,Distikstofoxide,1.A.3.b.iii,103008_205,energetic_emissions_other_ghg_transport,
103009,"Uitlaatgassen autobussen ov, buitenweg",204,Koolstofdioxide,1.A.3.b.iii,103009_204,"NA (energetische emissies, volgt uit energiegebruik)",
103009,"Uitlaatgassen autobussen ov, buitenweg",205,Distikstofoxide,1.A.3.b.iii,103009_205,energetic_emissions_other_ghg_transport,
103010,"Uitlaatgassen autobussen touringcars, autosnelweg",204,Koolstofdioxide,1.A.3.b.iii,103010_204,"NA (energetische emissies, volgt uit energiegebruik)",
103010,"Uitlaatgassen autobussen touringcars, autosnelweg",205,Distikstofoxide,1.A.3.b.iii,103010_205,energetic_emissions_other_ghg_transport,
103011,"Uitlaatgassen autobussen touringcars, bebouwde kom",204,Koolstofdioxide,1.A.3.b.iii,103011_204,"NA (energetische emissies, volgt uit energiegebruik)",
103011,"Uitlaatgassen autobussen touringcars, bebouwde kom",205,Distikstofoxide,1.A.3.b.iii,103011_205,energetic_emissions_other_ghg_transport,
103012,"Uitlaatgassen autobussen touringcars, buitenweg",204,Koolstofdioxide,1.A.3.b.iii,103012_204,"NA (energetische emissies, volgt uit energiegebruik)",
103012,"Uitlaatgassen autobussen touringcars, buitenweg",205,Distikstofoxide,1.A.3.b.iii,103012_205,energetic_emissions_other_ghg_transport,
120000,Wegverkeer airco mobiel,687,"HFK-134a (1,1,1,2-tetrafluorethaan)",2.F.1.e,120000_687,non_energetic_emissions_other_ghg_other_industry,
150501,"Koelaggregaten zware bedrijfsvoertuigen excl. autobussen, bebouwde kom",204,Koolstofdioxide,1.A.3.b.iii,150501_204,"NA (energetische emissies, volgt uit energiegebruik)",
150501,"Koelaggregaten zware bedrijfsvoertuigen excl. autobussen, bebouwde kom",523,Methaan,1.A.3.b.iii,150501_523,energetic_emissions_other_ghg_transport,
150502,"Koelaggregaten zware bedrijfsvoertuigen excl. autobussen, buitenweg",204,Koolstofdioxide,1.A.3.b.iii,150502_204,"NA (energetische emissies, volgt uit energiegebruik)",
150502,"Koelaggregaten zware bedrijfsvoertuigen excl. autobussen, buitenweg",523,Methaan,1.A.3.b.iii,150502_523,energetic_emissions_other_ghg_transport,
150503,"Koelaggregaten zware bedrijfsvoertuigen excl. autobussen, autosnelweg",204,Koolstofdioxide,1.A.3.b.iii,150503_204,"NA (energetische emissies, volgt uit energiegebruik)",
150503,"Koelaggregaten zware bedrijfsvoertuigen excl. autobussen, autosnelweg",523,Methaan,1.A.3.b.iii,150503_523,energetic_emissions_other_ghg_transport,
200400,Spoorwegen uitlaatgassen,204,Koolstofdioxide,1.A.3.c,200400_204,"NA (energetische emissies, volgt uit energiegebruik)",
200400,Spoorwegen uitlaatgassen,205,Distikstofoxide,1.A.3.c,200400_205,energetic_emissions_other_ghg_transport,
200400,Spoorwegen uitlaatgassen,523,Methaan,1.A.3.c,200400_523,energetic_emissions_other_ghg_transport,
230006,Binnenvaart passagiersvaart nationaal uitlaatgassen,204,Koolstofdioxide,1.A.3.d,230006_204,"NA (energetische emissies, volgt uit energiegebruik)",
230006,Binnenvaart passagiersvaart nationaal uitlaatgassen,205,Distikstofoxide,1.A.3.d,230006_205,energetic_emissions_other_ghg_transport,
230006,Binnenvaart passagiersvaart nationaal uitlaatgassen,523,Methaan,1.A.3.d,230006_523,energetic_emissions_other_ghg_transport,
230101,Binnenvaart werk op zee uitlaatgassen,204,Koolstofdioxide,1.A.3.d,230101_204,"NA (energetische emissies, volgt uit energiegebruik)",
230101,Binnenvaart werk op zee uitlaatgassen,205,Distikstofoxide,1.A.3.d,230101_205,energetic_emissions_other_ghg_transport,
230101,Binnenvaart werk op zee uitlaatgassen,523,Methaan,1.A.3.d,230101_523,energetic_emissions_other_ghg_transport,
230302,Binnenvaart vrachtvervoer nationaal uitlaatgassen,204,Koolstofdioxide,1.A.3.d,230302_204,"NA (energetische emissies, volgt uit energiegebruik)",
230302,Binnenvaart vrachtvervoer nationaal uitlaatgassen,205,Distikstofoxide,1.A.3.d,230302_205,energetic_emissions_other_ghg_transport,
230302,Binnenvaart vrachtvervoer nationaal uitlaatgassen,523,Methaan,1.A.3.d,230302_523,energetic_emissions_other_ghg_transport,
240100,Defensie: schepen en vliegtuigen,204,Koolstofdioxide,1.A.5.b,240100_204,"NA (energetische emissies, volgt uit energiegebruik)",
240100,Defensie: schepen en vliegtuigen,205,Distikstofoxide,1.A.5.b,240100_205,energetic_emissions_other_ghg_buildings,
240100,Defensie: schepen en vliegtuigen,523,Methaan,1.A.5.b,240100_523,energetic_emissions_other_ghg_buildings,
240105,Visserij uitlaatgassen,204,Koolstofdioxide,1.A.4.c.iii,240105_204,"NA (energetische emissies, volgt uit energiegebruik)",
240105,Visserij uitlaatgassen,205,Distikstofoxide,1.A.4.c.iii,240105_205,energetic_emissions_other_ghg_agriculture,
240105,Visserij uitlaatgassen,523,Methaan,1.A.4.c.iii,240105_523,energetic_emissions_other_ghg_agriculture,
400310,Emissies t.g.v. moerige gronden,205,Distikstofoxide,3.D.1.6,400310_205,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,
400400,Graslandvernieuwing,205,Distikstofoxide,3.D.1.4,400400_205,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,
400500,Aanwending van kunstmest,205,Distikstofoxide,3.D.1.1,400500_205,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,
400510,"Aanwending van ureum, landbouw",204,Koolstofdioxide,3.H,400510_204,non_energetic_emissions_co2_agriculture_manure,
400600,Aanwending van dierlijke mest,205,Distikstofoxide,3.D.1.2.a,400600_205,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,
400610,"Gebruik compost, landbouw",205,Distikstofoxide,3.D.1.2.c,400610_205,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,
401100,Mobiele werktuigen landbouw,204,Koolstofdioxide,1.A.4.c.ii,401100_204,"NA (energetische emissies, volgt uit energiegebruik)",
401100,Mobiele werktuigen landbouw,205,Distikstofoxide,1.A.4.c.ii,401100_205,energetic_emissions_other_ghg_agriculture,
401100,Mobiele werktuigen landbouw,523,Methaan,1.A.4.c.ii,401100_523,energetic_emissions_other_ghg_agriculture,
401102,"Mobiele werktuigen, bouwsector",204,Koolstofdioxide,1.A.2.g.vii,401102_204,"NA (energetische emissies, volgt uit energiegebruik)",
401102,"Mobiele werktuigen, bouwsector",205,Distikstofoxide,1.A.2.g.vii,401102_205,energetic_emissions_other_ghg_industry,
401102,"Mobiele werktuigen, bouwsector",523,Methaan,1.A.2.g.vii,401102_523,energetic_emissions_other_ghg_industry,
401103,Mobiele werktuigen industrie,204,Koolstofdioxide,1.A.2.g.vii,401103_204,"NA (energetische emissies, volgt uit energiegebruik)",
401103,Mobiele werktuigen industrie,205,Distikstofoxide,1.A.2.g.vii,401103_205,energetic_emissions_other_ghg_industry,
401103,Mobiele werktuigen industrie,523,Methaan,1.A.2.g.vii,401103_523,energetic_emissions_other_ghg_industry,
401104,Mobiele werktuigen consumenten,204,Koolstofdioxide,1.A.4.b.ii,401104_204,"NA (energetische emissies, volgt uit energiegebruik)",
401104,Mobiele werktuigen consumenten,205,Distikstofoxide,1.A.4.b.ii,401104_205,energetic_emissions_other_ghg_households,
401104,Mobiele werktuigen consumenten,523,Methaan,1.A.4.b.ii,401104_523,energetic_emissions_other_ghg_households,
401105,Mobiele werktuigen HDO,204,Koolstofdioxide,1.A.4.a.ii,401105_204,"NA (energetische emissies, volgt uit energiegebruik)",
401105,Mobiele werktuigen HDO,205,Distikstofoxide,1.A.4.a.ii,401105_205,energetic_emissions_other_ghg_buildings,
401105,Mobiele werktuigen HDO,523,Methaan,1.A.4.a.ii,401105_523,energetic_emissions_other_ghg_buildings,
401200,"SBI 0: Overig landbouw, jacht en dienstverlening voor de landbouw en jacht",204,Koolstofdioxide,1.A.4.c.i,401200_204,"NA (energetische emissies, volgt uit energiegebruik)",
401200,"SBI 0: Overig landbouw, jacht en dienstverlening voor de landbouw en jacht",205,Distikstofoxide,1.A.4.c.i,401200_205,energetic_emissions_other_ghg_agriculture,
401200,"SBI 0: Overig landbouw, jacht en dienstverlening voor de landbouw en jacht",523,Methaan,1.A.4.c.i,401200_523,energetic_emissions_other_ghg_agriculture,
401201,Vuurhaarden landbouw,204,Koolstofdioxide,1.A.4.c.i,401201_204,"NA (energetische emissies, volgt uit energiegebruik)",
401201,Vuurhaarden landbouw,205,Distikstofoxide,1.A.4.c.i,401201_205,energetic_emissions_other_ghg_agriculture,
401201,Vuurhaarden landbouw,523,Methaan,1.A.4.c.i,401201_523,energetic_emissions_other_ghg_agriculture,
440000,"Veestapel, alle weidedieren, weidemest",205,Distikstofoxide,3.D.1.3,440000_205,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,
441101,"Veestapel, melkkoeien, mest in stallen + opslag excl. NH3",205,Distikstofoxide,3.B.2.1,441101_205,non_energetic_emissions_other_ghg_agriculture_manure,
441101,"Veestapel, melkkoeien, mest in stallen + opslag excl. NH3",523,Methaan,3.B.1.1,441101_523,non_energetic_emissions_other_ghg_agriculture_manure,
441103,"Veestapel, jongvee fokkerij, mest in stallen + opslag excl. NH3",205,Distikstofoxide,3.B.2.1,441103_205,non_energetic_emissions_other_ghg_agriculture_manure,
441103,"Veestapel, jongvee fokkerij, mest in stallen + opslag excl. NH3",523,Methaan,3.B.1.1,441103_523,non_energetic_emissions_other_ghg_agriculture_manure,
441104,"Veestapel, jongvee mesterij, mest in stallen + opslag excl. NH3",205,Distikstofoxide,3.B.2.1,441104_205,non_energetic_emissions_other_ghg_agriculture_manure,
441104,"Veestapel, jongvee mesterij, mest in stallen + opslag excl. NH3",523,Methaan,3.B.1.1,441104_523,non_energetic_emissions_other_ghg_agriculture_manure,
441300,"Veestapel, melkkoeien, weidemest CH4",523,Methaan,3.B.1.1,441300_523,non_energetic_emissions_other_ghg_agriculture_manure,
441302,"Veestapel, rundvee jongvee + stieren, weidemest CH4",523,Methaan,3.B.1.1,441302_523,non_energetic_emissions_other_ghg_agriculture_manure,
441400,"Veestapel, melkkoeien, mest vergisting",523,Methaan,5.B.2.b,441400_523,non_energetic_emissions_other_ghg_waste_management,
441401,"Veestapel, jongvee fokkerij, mest vergisting",523,Methaan,5.B.2.b,441401_523,non_energetic_emissions_other_ghg_waste_management,
441402,"Veestapel, vleesvarkens, mest vergisting",523,Methaan,5.B.2.b,441402_523,non_energetic_emissions_other_ghg_waste_management,
441404,"Veestapel, melkkoeien, mest be(ver)werking",205,Distikstofoxide,3.B.2.1,441404_205,non_energetic_emissions_other_ghg_agriculture_manure,
441404,"Veestapel, melkkoeien, mest be(ver)werking",523,Methaan,3.B.1.1,441404_523,non_energetic_emissions_other_ghg_agriculture_manure,
441405,"Veestapel, jongvee fokkerij, mest be(ver)werking",205,Distikstofoxide,3.B.2.1,441405_205,non_energetic_emissions_other_ghg_agriculture_manure,
441405,"Veestapel, jongvee fokkerij, mest be(ver)werking",523,Methaan,3.B.1.1,441405_523,non_energetic_emissions_other_ghg_agriculture_manure,
441407,"Veestapel, vleeskalveren, mest be(ver)werking",205,Distikstofoxide,3.B.2.1,441407_205,non_energetic_emissions_other_ghg_agriculture_manure,
441407,"Veestapel, vleeskalveren, mest be(ver)werking",523,Methaan,3.B.1.1,441407_523,non_energetic_emissions_other_ghg_agriculture_manure,
441409,"Veestapel, vleesvarkens, mest be(ver)werking",205,Distikstofoxide,3.B.2.3,441409_205,non_energetic_emissions_other_ghg_agriculture_manure,
441409,"Veestapel, vleesvarkens, mest be(ver)werking",523,Methaan,3.B.2.3,441409_523,non_energetic_emissions_other_ghg_agriculture_manure,
441410,"Veestapel, fokvarkens, mest be(ver)werking",205,Distikstofoxide,3.B.2.3,441410_205,non_energetic_emissions_other_ghg_agriculture_manure,
441410,"Veestapel, fokvarkens, mest be(ver)werking",523,Methaan,3.B.2.3,441410_523,non_energetic_emissions_other_ghg_agriculture_manure,
441411,"Veestapel, vleeskuikens, mest be(ver)werking",523,Methaan,3.B.1.4,441411_523,non_energetic_emissions_other_ghg_agriculture_manure,
441412,"Veestapel, leghennen, mest be(ver)werking",523,Methaan,3.B.1.4,441412_523,non_energetic_emissions_other_ghg_agriculture_manure,
441413,"Veestapel, kalkoenen, mest be(ver)werking",523,Methaan,3.B.1.4,441413_523,non_energetic_emissions_other_ghg_agriculture_manure,
441421,"Veestapel, fokvarkens, mest in stallen + opslag CH4",523,Methaan,3.B.2.3,441421_523,non_energetic_emissions_other_ghg_agriculture_manure,
441422,"Veestapel, schapen, mest in stallen + opslag CH4",523,Methaan,3.B.2.2,441422_523,non_energetic_emissions_other_ghg_agriculture_manure,
441423,"Veestapel, geiten, mest in stallen + opslag CH4",523,Methaan,3.B.1.4,441423_523,non_energetic_emissions_other_ghg_agriculture_manure,
441424,"Veestapel, konijnen, mest in stallen + opslag CH4",523,Methaan,3.B.1.4,441424_523,non_energetic_emissions_other_ghg_agriculture_manure,
441425,"Veestapel, fokvarkens, mest vergisting CH4",523,Methaan,5.B.2.b,441425_523,non_energetic_emissions_other_ghg_waste_management,
441501,"Veestapel, rundvee jongvee + stieren, fermentatie",523,Methaan,3.A.1,441501_523,non_energetic_emissions_other_ghg_agriculture_fermentation,
441600,"Veestapel, melkkoeien NW, fermentatie",523,Methaan,3.A.1,441600_523,non_energetic_emissions_other_ghg_agriculture_fermentation,
441700,"Veestapel, melkkoeien ZO, fermentatie",523,Methaan,3.A.1,441700_523,non_energetic_emissions_other_ghg_agriculture_fermentation,
442102,"Veestapel, zoog- en weidekoeien, mest in stallen + opslag excl. NH3",205,Distikstofoxide,3.B.2.1,442102_205,non_energetic_emissions_other_ghg_agriculture_manure,
442102,"Veestapel, zoog- en weidekoeien, mest in stallen + opslag excl. NH3",523,Methaan,3.B.1.1,442102_523,non_energetic_emissions_other_ghg_agriculture_manure,
442500,"Veestapel, zoog- en weidekoeien, fermentatie",523,Methaan,3.A.1,442500_523,non_energetic_emissions_other_ghg_agriculture_fermentation,
443100,"Veestapel, schapen, mest in stallen + opslag excl. NH3",205,Distikstofoxide,3.B.2.2,443100_205,non_energetic_emissions_other_ghg_agriculture_manure,
443301,"Veestapel, zoog- en weidekoeien, weidemest CH4",523,Methaan,3.B.1.1,443301_523,non_energetic_emissions_other_ghg_agriculture_manure,
443500,"Veestapel, schapen, fermentatie",523,Methaan,3.A.2,443500_523,non_energetic_emissions_other_ghg_agriculture_fermentation,
443501,"Veestapel, schapen, weidemest CH4",523,Methaan,3.B.2.2,443501_523,non_energetic_emissions_other_ghg_agriculture_manure,
444100,"Veestapel, geiten, mest in stallen + opslag excl. NH3",205,Distikstofoxide,3.B.2.4,444100_205,non_energetic_emissions_other_ghg_agriculture_manure,
444102,"Veestapel, vleeskalveren, mest in stallen + opslag excl. NH3",205,Distikstofoxide,3.B.2.1,444102_205,non_energetic_emissions_other_ghg_agriculture_manure,
444102,"Veestapel, vleeskalveren, mest in stallen + opslag excl. NH3",523,Methaan,3.B.1.1,444102_523,non_energetic_emissions_other_ghg_agriculture_manure,
444500,Emissies t.g.v. histosols,205,Distikstofoxide,3.D.1.6,444500_205,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,
444501,"Veestapel, geiten, fermentatie",523,Methaan,3.A.4,444501_523,non_energetic_emissions_other_ghg_agriculture_fermentation,
444600,Emissies t.g.v. gewasresten,205,Distikstofoxide,3.D.1.4,444600_205,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,
444701,Emissies indirect t.g.v. atmosferische depositie door mestmanagement,205,Distikstofoxide,3.B.2.5,444701_205,non_energetic_emissions_other_ghg_agriculture_manure,
444702,Emissies indirect t.g.v. atmosferische depositie door landbouwkundig bodemgebruik,205,Distikstofoxide,3.D.2.1,444702_205,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,
444800,Emissies indirect t.g.v. N-uit- en afspoeling,205,Distikstofoxide,3.D.2.2,444800_205,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,
444900,Emissies indirect t.g.v. N-emissies afvalwater N2O,205,Distikstofoxide,5.D.3,444900_205,non_energetic_emissions_other_ghg_waste_management,
445500,"Veestapel, paarden, fermentatie",523,Methaan,3.A.4,445500_523,non_energetic_emissions_other_ghg_agriculture_fermentation,
