Code,Gebieden,inwoners_2023,woningen_2023,el_woningen_tj_incl_zonachtermeter_2023,gaswoningen_2023,warmwontier2_2023,houtskool_2023,houtwontj_2023,zonpvtj_won_2023
GM1680,Aa en Hunze,25724.0,11428.0,145.0,12.4,0.0,0.0,66.0,77.0
GM0358,Aalsmeer,33063.0,13460.0,152.0,11.9,0.0,0.0,37.0,59.0
GM0197,Aalten,27244.0,12164.0,139.0,10.9,0.0,0.0,51.0,64.0
GM0059,Achtkarspelen,28149.0,12289.0,134.0,12.0,0.0,0.0,64.0,60.0
GM0482,Alblasserdam,20356.0,8449.0,83.0,6.0,2000.0,0.0,10.0,25.0
GM0613,Albrandswaard,26357.0,10730.0,121.0,8.5,1000.0,0.0,28.0,49.0
GM0361,Alkmaar,111834.0,53417.0,476.0,39.0,83000.0,2.0,55.0,163.0
GM0141,Almelo,73949.0,34067.0,349.0,29.2,18000.0,1.0,59.0,128.0
GM0034,Almere,222825.0,90690.0,962.0,26.5,1365000.0,3.0,118.0,327.0
GM0484,Alphen aan den Rijn,114182.0,50031.0,519.0,38.2,5000.0,2.0,73.0,210.0
GM1723,Alphen-Chaam,10463.0,4517.0,62.0,4.7,0.0,0.0,24.0,27.0
GM1959,Altena,57726.0,23200.0,285.0,20.7,0.0,1.0,99.0,119.0
GM0060,Ameland,3840.0,1859.0,21.0,2.0,0.0,0.0,10.0,8.0
GM0307,Amersfoort,160759.0,70722.0,688.0,49.3,88000.0,2.0,56.0,258.0
GM0362,Amstelveen,94418.0,42880.0,403.0,32.9,32000.0,1.0,26.0,95.0
GM0363,Amsterdam,918117.0,474866.0,3216.0,268.0,1051000.0,14.0,82.0,356.0
GM0200,Apeldoorn,167191.0,75096.0,781.0,62.9,65000.0,3.0,131.0,298.0
GM0202,Arnhem,165770.0,79817.0,688.0,54.1,182000.0,3.0,64.0,179.0
GM0106,Assen,69414.0,32998.0,316.0,26.6,1000.0,1.0,61.0,150.0
GM0743,Asten,17242.0,7225.0,95.0,6.8,0.0,0.0,25.0,48.0
GM0744,Baarle-Nassau,7071.0,2962.0,37.0,3.1,0.0,0.0,15.0,14.0
GM0308,Baarn,25008.0,11790.0,118.0,11.4,0.0,0.0,18.0,34.0
GM0489,Barendrecht,48812.0,19750.0,222.0,14.3,22000.0,1.0,22.0,88.0
GM0203,Barneveld,61655.0,23576.0,285.0,21.2,0.0,1.0,67.0,120.0
GM0888,Beek,16132.0,7547.0,90.0,7.1,0.0,0.0,24.0,44.0
GM1954,Beekdaelen,35966.0,16765.0,216.0,16.7,0.0,1.0,72.0,104.0
GM0889,Beesel,13449.0,6095.0,76.0,5.2,2000.0,0.0,26.0,38.0
GM1945,Berg en Dal,35420.0,16082.0,180.0,14.6,1000.0,1.0,59.0,73.0
GM1724,Bergeijk,19092.0,8225.0,112.0,8.2,0.0,0.0,40.0,56.0
GM0893,Bergen (L.),13119.0,5836.0,76.0,5.7,0.0,0.0,32.0,37.0
GM0373,Bergen (NH.),30138.0,15473.0,166.0,15.9,1000.0,0.0,49.0,72.0
GM0748,Bergen op Zoom,68864.0,31501.0,327.0,24.1,14000.0,1.0,47.0,119.0
GM1859,Berkelland,44022.0,19840.0,237.0,19.0,0.0,1.0,84.0,109.0
GM1721,Bernheze,32263.0,13107.0,178.0,12.6,0.0,0.0,60.0,90.0
GM0753,Best,30897.0,13337.0,164.0,11.2,0.0,0.0,25.0,83.0
GM0209,Beuningen,26573.0,11391.0,137.0,9.8,0.0,0.0,34.0,60.0
GM0375,Beverwijk,42711.0,19906.0,179.0,15.3,2000.0,1.0,12.0,54.0
GM1728,Bladel,21009.0,9121.0,115.0,8.3,0.0,0.0,37.0,55.0
GM0376,Blaricum,12490.0,5372.0,75.0,5.6,28000.0,0.0,20.0,19.0
GM0377,Bloemendaal,23922.0,10262.0,122.0,12.9,1000.0,0.0,27.0,30.0
GM1901,Bodegraven-Reeuwijk,36308.0,15074.0,173.0,12.3,3000.0,1.0,36.0,77.0
GM0755,Boekel,11163.0,4518.0,64.0,4.2,1000.0,0.0,24.0,34.0
GM1681,Borger-Odoorn,25919.0,11432.0,145.0,12.4,0.0,0.0,68.0,74.0
GM0147,Borne,24524.0,10307.0,123.0,9.1,0.0,0.0,30.0,61.0
GM0654,Borsele,23159.0,10015.0,121.0,8.8,0.0,0.0,51.0,67.0
GM0757,Boxtel,33748.0,14709.0,168.0,12.6,3000.0,1.0,35.0,76.0
GM0758,Breda,186438.0,86727.0,842.0,56.1,398000.0,3.0,105.0,236.0
GM1876,Bronckhorst,36277.0,16373.0,208.0,16.9,1000.0,1.0,79.0,95.0
GM0213,Brummen,21105.0,9647.0,111.0,8.9,0.0,0.0,37.0,55.0
GM0899,Brunssum,27682.0,14512.0,150.0,11.7,3000.0,0.0,21.0,51.0
