gemeente_id,vbo_opp_m2,Functionele vraag ruimteverwarming (kWh),Gemiddelde netto warmtevraag (kWh/m2),Aantal gebouwen (weq)
GM0014,5455756.0,1342172844.0,246.01042348668085,41967.0
GM0034,2520116.0,407539825.0,161.7147087673742,19386.0
GM0037,391694.0,99803113.0,254.79867702849674,3013.0
GM0047,330811.0,88525875.0,267.6025736749987,2545.0
GM0050,357397.0,71003616.0,198.66875211599427,2749.0
GM0059,288553.0,77343879.0,268.040460504656,2220.0
GM0060,285043.0,82708603.0,290.16184575660515,2193.0
GM0072,202193.0,53429880.0,264.25187815601925,1555.0
GM0074,855038.0,205011497.0,239.76887226064807,6577.0
GM0080,2671005.0,639970955.0,239.59930999754775,20546.0
GM0085,342860.0,85917910.0,250.59181590153415,2637.0
GM0086,281896.0,79847192.0,283.25053211113317,2168.0
GM0088,77024.0,23948033.0,310.91650654341504,592.0
GM0090,946010.0,217881418.0,230.31618904662741,7277.0
GM0093,194686.0,54105758.0,277.9129367288865,1498.0
GM0096,78299.0,18646742.0,238.14789460912655,602.0
GM0098,273017.0,66624353.0,244.03005307361812,2100.0
GM0106,1335442.0,302338444.0,226.39578806118124,10273.0
GM0109,467790.0,128916906.0,275.58713525299817,3598.0
GM0114,1212540.0,276011214.0,227.6306051759117,9327.0
GM0118,761341.0,180290964.0,236.80711271296306,5856.0
GM0119,540207.0,134031501.0,248.11137397331024,4155.0
GM0141,1084008.0,269838833.0,248.92697563117616,8339.0
GM0147,213890.0,56370373.0,263.5484267614194,1645.0
GM0148,294889.0,72319843.0,245.2442885289041,2268.0
GM0150,1479303.0,366501168.0,247.75260240802595,11379.0
GM0153,2452474.0,566740225.0,231.0891878976087,18865.0
GM0158,249736.0,72745998.0,291.2915959252971,1921.0
GM0160,793791.0,215803977.0,271.864983352041,6106.0
GM0163,486315.0,102176430.0,210.10338977823017,3741.0
GM0164,1447414.0,338421908.0,233.8114098661475,11134.0
GM0166,562475.0,147394363.0,262.0460696030935,4327.0
GM0168,199788.0,53537188.0,267.96998818747875,1537.0
GM0171,528269.0,142083427.0,268.9603724617572,4064.0
GM0173,484955.0,127914653.0,263.76602571372604,3730.0
GM0175,332589.0,89566353.0,269.3004068084032,2558.0
GM0177,427136.0,104738152.0,245.210312406353,3286.0
GM0180,173494.0,42258325.0,243.57225610107554,1335.0
GM0183,167483.0,44058524.0,263.06266307625253,1288.0
GM0184,183704.0,41741768.0,227.22296738231069,1413.0
GM0189,265796.0,73632240.0,277.02538789146564,2045.0
GM0193,2895463.0,644057159.0,222.43667385837776,22273.0
GM0197,248733.0,66504911.0,267.3746989744023,1913.0
GM0200,3606959.0,854891331.0,237.01165746547161,27746.0
GM0202,3303277.0,862095118.0,260.9817820303898,25410.0
GM0203,995969.0,225370891.0,226.28303792587923,7661.0
GM0209,309856.0,74574312.0,240.67409377259114,2384.0
GM0213,204669.0,60555433.0,295.8700780284264,1574.0
GM0214,220295.0,61410935.0,278.76681268299325,1695.0
GM0216,401065.0,90269725.0,225.0750501788987,3085.0
GM0221,109864.0,31584934.0,287.4912073108571,845.0
GM0222,1108918.0,270396779.0,243.83838931282565,8530.0
GM0225,223094.0,60295407.0,270.2690659542614,1716.0
GM0226,349873.0,73940701.0,211.33583042989886,2691.0
GM0228,1672646.0,381284984.0,227.9531855515154,12867.0
GM0230,322979.0,82697614.0,256.0464116862087,2484.0
GM0232,375756.0,105916855.0,281.8766832731879,2890.0
GM0233,514353.0,130021455.0,252.78642294299829,3957.0
GM0243,604708.0,148614332.0,245.7621397434795,4652.0
GM0244,118051.0,32332668.0,273.887286003507,908.0
GM0246,167653.0,43841849.0,261.5035161911806,1290.0
GM0252,124681.0,25566744.0,205.0572581227292,959.0
GM0262,417991.0,98895405.0,236.5969721836116,3215.0
GM0263,189845.0,43608547.0,229.70606020701098,1460.0
GM0267,614581.0,144916966.0,235.79799245339507,4728.0
GM0268,3218504.0,804998200.0,250.11564378978557,24758.0
GM0269,208647.0,57088221.0,273.6115113085738,1605.0
GM0273,348768.0,88788837.0,254.57850777594274,2683.0
GM0274,279537.0,84028632.0,300.5993195891778,2150.0
GM0275,519242.0,153686246.0,295.981923650244,3994.0
GM0277,24099.0,8784585.0,364.5207270011204,185.0
GM0279,105589.0,22903891.0,216.9155025618199,812.0
GM0281,678016.0,177282403.0,261.4723000637153,5216.0
GM0285,362355.0,85098241.0,234.8477073588056,2787.0
GM0289,612894.0,154263393.0,251.69669306601142,4715.0
GM0293,80579.0,23179890.0,287.66663770957695,620.0
GM0294,555302.0,138545034.0,249.49493068636525,4272.0
GM0296,387072.0,87132467.0,225.10661323991403,2977.0
GM0297,807891.0,177765482.0,220.03646779082823,6215.0
GM0299,500932.0,116426409.0,232.41958788817644,3853.0
GM0301,1052372.0,273514467.0,259.90283568928095,8095.0
GM0302,405367.0,101451156.0,250.2698937012633,3118.0
GM0303,443160.0,102565406.0,231.44102807112554,3409.0
GM0307,3000084.0,681839835.0,227.27358133972248,23078.0
GM0308,411120.0,112150935.0,272.79367338003505,3162.0
GM0310,675215.0,192622469.0,285.27575512984754,5194.0
GM0312,206821.0,47020835.0,227.35038995073035,1591.0
GM0313,199146.0,46720081.0,234.6021562070039,1532.0
GM0317,72576.0,13060067.0,179.95021770282187,558.0
