Woningtype ETM,Bouwjaarklasse ETM,Woningkenmerken/oppervlakte,Functionele vraag/ruimteverwarming,Functionele vraag ruimteverwarming (% van totaal),Gemiddelde netto warmtevraag (kWh/m2),Aantal woningen (#),Gemiddelde oppervlakte (m2)
Appartement,1945 - 1964,27890053,13875609.0,4.7452077929440035,224.8398116222476,389344.0,71.63344754253308
Appartement,1965 - 1984,56562618,27895908.900000002,9.53989726170116,192.57421831315193,764435.0,73.99271095645804
Appartement,1985 - 2004,49783756,22525728.2,7.703392405794838,153.62506477483515,619871.0,80.31309094956853
Appartement,< 1945,44415041,18276874.8,6.2503612440810254,308.05355490364065,540696.0,82.14420117774128
Appartement,>= 2005,40708229,17911659.7,6.125464272811453,115.55084556449934,488170.0,83.38945244484503
Hoekhuis,1945 - 1964,34068824,11215016.6,3.8353332216493246,242.45447287324873,298746.0,114.03943149029611
Hoekhuis,1965 - 1984,71096397,21281977.6,7.2780521530103455,201.89871243826343,565691.0,125.6806224599649
Hoekhuis,1985 - 2004,51077222,14212817.4,4.860526978395696,160.0986733350977,379711.0,134.5160450974557
Hoekhuis,< 1945,42319993,11319527.6,3.871074096997453,295.3604329576875,303285.0,139.53869462716585
Hoekhuis,>= 2005,26334786,6666726.8,2.2799002166167006,116.23540136330476,178719.0,147.35302905678748
Rijtjeshuis,1945 - 1964,31376276,11531862.6,3.9436888338868226,215.903887067004,309324.0,101.43498726254671
Rijtjeshuis,1965 - 1984,102417945,32813377.4,11.221582717651719,186.57522341854724,875091.0,117.0369081615512
Rijtjeshuis,1985 - 2004,72145976,22257734.6,7.6117434324647935,153.63974069835305,600576.0,120.12797048167093
Rijtjeshuis,< 1945,42194032,12437026.3,4.253238479104558,268.0476302852158,342695.0,123.12415413122456
Rijtjeshuis,>= 2005,32555680,9209553.1,3.1495009076467637,113.99897773075786,250132.0,130.15399868869238
Vrijstaand huis,1945 - 1964,25685673,5431405.4,1.8574425980667328,279.9934122714002,143157.0,179.42310190909282
Vrijstaand huis,1965 - 1984,44537434,8708731.5,2.978228961370771,217.62140537507668,231186.0,192.6476257212807
Vrijstaand huis,1985 - 2004,49426212,9562809.8,3.270308321991582,150.6478770858137,252567.0,195.69544714867737
Vrijstaand huis,< 1945,59345040,10828610.8,3.7031894135181815,304.2320207503797,285229.0,208.06103166227837
Vrijstaand huis,>= 2005,26274959,4450137.5,1.521866690296069,116.17874460370042,118329.0,222.05003845211232
