km-variable,internal variable (ivar),ivar unit,km-variable unit,Onderwerp
inwoners,no_inhabitants,#,aantal,Aantal inwoners
woningen,no_residences,#,aantal,Aantal woningen per 1 januari
pautos,no_cars,#,,
energie_totaal_combi,total_energy_tj,TJ,TJ,"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer/vervoer, overige warmte)"
verk_totaal,tp_total_energy_tj,TJ,TJ,"Totaal bekend energieverbruik Verkeer en vervoer (incl. auto(snel)wegen, excl. elektr. verkeer)"
elektra_totaal_combi,total_electricity_tj,TJ,TJ,"Totaal bekend elektriciteitsverbruik, incl. zonnestroom 'achter de meter'"
warm_totaal_combi,total_gas_heat_tj_temp_corrected,TJ,TJ,Totaal bekend warmteverbruik (aardgas en (hern.) warmte)
zonpvachtermeter_kwh,solar_pv_own_use_total_tj,TJ,GWh,Zonnestroom: verbruik achter de meter (schatting)
hern_warm_tot,total_renewable_heat_tj,TJ,TJ,Totaal bekende hernieuwbare warmte
gas_woningen_tj,hh_gas_tj_temp_corrected,TJ,TJ,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd)
warmwontjcor,hh_heat_tj_temp_corrected,TJ,TJ,Verbruik stadswarmte woningen (temperatuurgecorrigeerd)
kwbelektotaal,hh_electricity_tj,TJ,GWh,Elektriciteitsverbruik woningen
kwbgastotaal,hh_gas_tj,TJ,miljoen m3,Aardgasverbruik woningen
warmwontier2,hh_heat_tj,TJ,GJ,Verbruik stadswarmte woningen
houtskool,hh_biomass_cooking_tj,TJ,TJ,Houtskool hern. warmte
houtwontj,hh_biomass_heat_tj,TJ,TJ,Houtkachels woningen hern. warmte
gascomdv,bd_commercial_gas_tj,TJ,m3,Aardgasverbruik Commerciële Dienstverlening
gaspubldv,bd_public_gas_tj,TJ,m3,Aardgasverbruik Publieke Dienstverlening
elcomdv,bd_commercial_electricity_tj,TJ,kWh,Elektriciteitsverbruik Commerciële Dienstverlening
