geo_id,Woningtype ETM,Bouwjaarklasse ETM,Woningkenmerken/oppervlakte,Functionele vraag/ruimteverwarming,Functionele vraag ruimteverwarming (% van totaal),Gemiddelde netto warmtevraag (kWh/m2),Aantal woningen (#)
GM0014,Appartement,1945 - 1964,982205,450203.6,0.11374395465315923,218.0172695771183,13050.0
GM0014,Appartement,1965 - 1984,1299040,573995.1000000001,0.14501988128379162,190.6004876286054,16824.0
GM0014,Appartement,1985 - 2004,692134,256755.40000000002,0.06486926042917864,155.42721104368158,7854.0
GM0014,Appartement,< 1945,1779584,756600.5,0.19115514172378364,223.51090009613384,22095.0
GM0014,Appartement,>= 2005,750513,341544.5,0.08629122939051563,119.66809445238076,10910.0
GM0014,Hoekhuis,1945 - 1964,177835,46735.600000000006,0.011807750908895864,253.26086576743174,1538.0
GM0014,Hoekhuis,1965 - 1984,613020,162225.2,0.04098620222583669,195.6034684702777,4848.0
GM0014,Hoekhuis,1985 - 2004,538476,124207.9,0.03138113010461075,148.2532439162965,3849.0
GM0014,Hoekhuis,< 1945,407191,84472.4,0.021341954695705514,276.32789585602706,2789.0
GM0014,Hoekhuis,>= 2005,313830,61730.200000000004,0.015596137102258736,116.12221935822782,2087.0
GM0014,Rijtjeshuis,1945 - 1964,195665,56617.1,0.014304312215613962,223.97648353416372,1690.0
GM0014,Rijtjeshuis,1965 - 1984,1238585,346527.1,0.08755008344777956,182.50477212293026,10088.0
GM0014,Rijtjeshuis,1985 - 2004,734916,194638.09999999998,0.04917532249892509,151.3559976007602,5844.0
GM0014,Rijtjeshuis,< 1945,791999,220428.7,0.05569131845470548,250.5970143305618,6261.0
GM0014,Rijtjeshuis,>= 2005,382376,89513.29999999999,0.02261553824992656,113.04194489877636,2890.0
GM0014,Vrijstaand huis,1945 - 1964,123474,20332.4,0.0051369815425507375,264.28519849925834,680.0
GM0014,Vrijstaand huis,1965 - 1984,171326,24375.1,0.006158369833262598,209.23112998482878,817.0
GM0014,Vrijstaand huis,1985 - 2004,320015,52791.4,0.013337748982186705,141.7910184966767,1656.0
GM0014,Vrijstaand huis,< 1945,510016,71180.6,0.01798378097950498,296.22954803409283,2271.0
GM0014,Vrijstaand huis,>= 2005,170482,23170.0,0.005853901277807862,116.02032989206296,802.0
GM0034,Appartement,1965 - 1984,298209,136812.7,0.04469061562958187,152.70113566011796,3881.0
GM0034,Appartement,1985 - 2004,1016896,465575.0,0.15208261639264906,139.62842860681312,13048.0
GM0034,Appartement,>= 2005,566240,243345.4,0.07949010389113621,118.5900886190588,7387.0
GM0034,Hoekhuis,1965 - 1984,289897,91473.1,0.029880187676628745,172.24176795406177,2598.0
GM0034,Hoekhuis,1985 - 2004,1240154,338268.19999999995,0.110497154912596,149.45204540120343,9518.0
GM0034,Hoekhuis,>= 2005,379377,85816.1,0.02803229773208014,115.3324475719907,2567.0
