GemeenteCode,final_demand_road_gasoline_tj_share_NL
GM1680,0.002748156278325553
GM0358,0.001293752214192442
GM0197,0.0010249272467818711
GM0059,0.0012803930407060302
GM0482,0.0010046973569285249
GM0613,0.0006687247538897098
GM0361,0.005340770906395056
GM0141,0.003890170259249854
GM0034,0.009254568667494032
GM0484,0.004666938988611278
GM1723,0.0005831353211637991
GM1959,0.004166366947354019
GM0060,9.136730324275036e-05
GM0307,0.008963956198101418
GM0362,0.003529806208453126
GM0363,0.024854076392124686
GM0200,0.014347078441212862
GM0202,0.012285696748582728
GM0106,0.0027529114366964874
GM0743,0.0024546894577489025
GM0744,0.00023364297989948325
GM0308,0.002088897308501636
GM0489,0.004013660974532819
GM0203,0.006831280700996811
GM0888,0.0017495531604582914
GM1954,0.002195857477786865
GM0889,0.0009263380075888068
GM1945,0.0010728644998466276
GM1724,0.0008055115265515912
GM0893,0.0007239937481939228
GM0373,0.0012351353729985128
GM0748,0.003764683649089744
GM1859,0.002252170224322218
GM1721,0.003320675653746481
GM0753,0.002490787181185781
GM0209,0.0029963254664954054
GM0375,0.0016508469687255705
GM1728,0.0013923507140639493
GM0376,0.000876488918561939
GM0377,0.0006016444108483962
GM1901,0.004843596579262748
GM0755,0.00031736403647873355
GM1681,0.0019057234159578617
GM0147,0.0018107098089349602
GM0654,0.0019901501178459136
GM0757,0.00333681826605826
GM0758,0.01258848742420066
GM1876,0.002411605841684008
GM0213,0.0012183808718949681
GM0899,0.0009015009774431479
GM0312,0.002392728663294485
GM0313,0.0005482176411981494
GM0214,0.0016911532249505867
GM0502,0.0022601052484874386
GM0383,0.0016622007832137562
GM0109,0.0035464119954792253
GM1706,0.0015913514021046091
GM0216,0.001553242257574663
GM0148,0.0018699644376687654
GM1891,0.0008509369759852809
GM0310,0.0033044898607157
GM1940,0.004456236454035328
GM0736,0.004240705589144923
GM1690,0.0030201549311534405
GM0503,0.003668493565317288
GM0518,0.012285209565117963
GM0400,0.0012997468157598794
GM0762,0.0024600030656390685
GM0150,0.0058064694145315695
GM0384,0.002332899126191347
GM1980,0.003422990650981108
GM1774,0.0014675441971659696
GM0221,0.0003447201198877357
GM0222,0.0028999926520801517
GM0766,0.0007784745391063802
GM0505,0.005946799020718516
GM0498,0.0009211432154518118
GM1719,0.001907191092680618
GM0303,0.0035741288786612737
GM0225,0.0009370429811304699
GM0226,0.0020264763647199727
GM1711,0.0037109991657775306
GM0385,0.0011242252498118947
GM0228,0.010031830374496058
GM0317,0.002164289821074055
GM1979,0.0020541840541359025
GM0770,0.0019619704978813945
GM1903,0.0012544170565482885
GM0772,0.014804917253342653
GM0230,0.0018239434467527049
GM0114,0.0049340401970936745
GM0388,0.0003383564511449765
GM0153,0.005287541094110021
GM0232,0.0029324330058134694
GM0233,0.0018898370096072478
GM0777,0.00253977902974192
GM0779,0.0021827925489015555
GM1771,0.0024956858314261698
GM1652,0.0013883531029439758
GM0907,0.0009714761685246115
GM0784,0.0023282098745253965
GM1924,0.003622523939031662
GM0664,0.0029058946652544015
GM0785,0.0006529868925791733
GM1942,0.006481705885551188
GM0512,0.0029640669965076533
GM0513,0.001326448124473773
GM0014,0.010019381459214107
GM1729,0.0007317218563256054
GM0158,0.0013626371942596493
GM0392,0.002827703481302106
GM0394,0.022033851121623253
GM1655,0.0017490504942829417
GM0160,0.0039061452550782135
GM0243,0.0027720051033897283
GM0523,0.0022802613590423007
GM0072,0.0005114067613755469
GM0244,0.002045037929732207
GM0396,0.0012109652791451979
GM0397,0.0007289647239783569
GM0246,0.0017517150855546181
GM0074,0.0036658676600282458
GM0917,0.004305473503603306
GM1658,0.0018737769239976837
GM0399,0.0011864567953322773
GM0163,0.001464357474539052
GM0794,0.0031067857821385006
GM0531,0.0014095795851655276
GM0164,0.003968835855185172
GM1966,0.002261144254206547
GM0252,0.001555647341849502
GM0797,0.0029802245821154904
GM0534,0.0005137128731541711
GM0798,0.0011439194331953444
GM0402,0.0029034066134337976
GM1963,0.005870142185543026
GM1735,0.002288707261898736
GM1911,0.004276197188519519
GM0118,0.003995798691905841
GM0405,0.0016759669260172831
GM1507,0.0030843981322144108
GM0321,0.002219218096887656
GM0406,0.0011472347124742743
GM0677,0.0010742337163410329
GM0353,0.0008474146881765227
GM1884,0.003951449808971788
GM0166,0.002753770479086442
GM0678,0.001355513144869916
GM0537,0.0012210442340204765
GM0928,0.0013748694141733399
GM1598,0.002459850631745412
GM0542,0.0005703843643197093
GM1931,0.0025738700987702878
GM1659,0.0015244149782898835
GM1982,0.007377916378210507
GM0882,0.0009351682405540149
GM0415,0.0002035964614819768
GM1621,0.0031144461705970893
GM0417,0.0015783696526438672
GM0080,0.005662162601510397
GM0546,0.0047713604142531
GM0547,0.0016677686986541669
GM1916,0.004066134129213472
GM0995,0.007558421202752266
GM1640,0.0034183423831545302
GM0327,0.001857346582943684
GM1705,0.0015570307395701838
GM0553,0.000547392395638002
GM0262,0.0020767909298492373
GM0809,0.0012206627982963333
GM0331,0.0010709921209980798
GM0168,0.0014491487136114533
GM0263,0.002717396728811827
GM1641,0.0018140999651919015
GM1991,0.00434193151128965
GM0556,0.0004097461685099595
