GemeentecodeGM,Gemeentenaam,train_share_in_nl,has_tram_metro,buildings_total,arable_land_km2,number_of_vans_data,number_of_trucks_data,number_of_busses_data,greenhouse_scaled,arable_land_scaled,wet_biomass_potential,dry_biomass_potential,oily_biomass_potential,number_of_cars_data,total_land_area_km2,coast_line_km,households_roof_pv_potential,buildings_roof_pv_potential,Unnamed: 19,Unnamed: 20,Unnamed: 21
GM1680,Aa en Hunze,0,0,3169.492385,187.4884265,1826,101,3,0,0.008405869,395.3722894,206.6089306,15.42359021,15568,276.0603232,0,1.62186,1.151709,,,
GM0358,Aalsmeer,0,0,3228.845692,7.632990341,1963,181,17,0.011068605,0.000342218,192.8700707,83.72282082,19.27675373,17396,20.09898193,0,1.678781,2.585545,,,
GM0197,Aalten,0.000606244,0,2507.548923,80.46467765,1763,91,2,0,0.003607559,246.520725,117.7927622,16.41087982,14912,96.53035212,0,1.14036,1.670153,,,
GM0059,Achtkarspelen,0,0,2582.520923,85.16322254,2554,152,40,8.09E-05,0.003818214,206.593892,150.5342623,16.92184017,15604,102.2059571,0,1.289278,1.40414,,,
GM0482,Alblasserdam,0,0,721.3655385,2.9173258,1210,83,28,0,0.000130796,41.20192914,51.74269925,12.1931786,9531,8.77263863,0,0.455858,0.633341,,,
GM0613,Albrandswaard,0,0,1756.400615,10.91289856,908,49,4,0.000300939,0.00048927,68.67487597,74.12804756,15.35372048,12936,21.6650857,0,0.726905,0.631015,,,
GM0361,Alkmaar,0.007443618,0,7617.277462,77.92901551,6290,479,20,0.000336227,0.003493875,405.4586573,317.0422071,65.95580657,58882,110.3126522,0,2.968289,2.729409,,,
GM0141,Almelo,0.002663356,0,6098.748385,35.39650102,3787,201,5,0,0.001586969,218.5921509,224.2683902,44.26034519,36279,67.18069867,0,2.415293,3.387203,,,
GM0034,Almere,0.019053728,0,7798.133615,32.41344006,31940,658,21,0.008903587,0.001453226,588.5701107,610.690855,126.3147443,258677,129.1794566,0,5.056762,4.066546,,,
GM0484,Alphen aan den Rijn,0.004930733,0,6147.308154,93.38531518,6214,557,33,0.004711181,0.004186844,406.0484683,318.2834389,67.43096914,55413,125.9255187,0,2.945701,4.13769,,,
GM1723,Alphen-Chaam,0,0,1764.123,65.50847044,966,56,0,0.001165676,0.002937011,204.4704687,107.0250497,6.166155243,6532,92.98024005,0,0.58342,1.24945,,,
GM1959,Altena,0,0,4052.545692,154.7411416,4893,424,19,0.002324989,0.006937675,643.2952035,232.172565,33.65047535,31112,199.7398076,0,2.105131,2.755114,,,
GM0060,Ameland,0,0,2037.894769,19.24565036,412,35,0,0,0.000862861,95.49163055,17.04655818,2.231578304,2007,56.59198168,211.1466093,0.207338,0.367899,,,
GM0307,Amersfoort,0.020565577,0,8849.396077,19.36891231,17202,343,613,0,0.000868387,301.8007594,412.1533541,94.95356571,124805,62.49184907,0,3.795124,3.052996,,,
GM0362,Amstelveen,0,1,5357.144308,15.80299847,2105,139,18,0.007902791,0.000708513,199.8398837,244.1778702,55.18979308,39013,41.11371518,0,1.906968,2.305208,,,
GM0363,Amsterdam,0.156696504,1,51828.12308,44.15268849,21249,978,301,0.001803388,0.001979545,1726.492962,2194.338857,524.3054645,249771,188.1222888,0,12.090522,13.429495,,,
GM0200,Apeldoorn,0.005660127,0,11557.44462,82.73647372,8563,961,55,0.000334386,0.003709413,533.2245978,609.8531982,98.69554523,84942,339.8610131,0,5.109693,5.378241,,,
GM0202,Arnhem,0.020056744,0,11445.25885,15.72113804,4725,607,4,8.98E-05,0.000704843,336.2199495,460.6565964,96.7634954,69313,97.73996426,0,3.751564,3.019719,,,
GM0106,Assen,0.002988851,0,4709.594769,39.64712256,2659,180,48,0,0.001777542,176.288465,203.3857569,41.29179316,34450,81.8774776,0,2.267864,1.742116,,,
GM0743,Asten,0,0,2627.249462,45.8798234,1488,103,2,0.009790721,0.002056979,241.7647653,152.381229,10.15237502,9591,70.21132066,0,0.78238,2.687544,,,
GM0744,Baarle-Nassau,0,0,1836.384846,62.80550473,694,41,4,0.000294091,0.002815826,209.5670043,67.34590431,4.159982752,4372,76.12456631,0,0.381167,1.120089,,,
GM0308,Baarn,0.001617575,0,1914.763462,7.636063052,935,24,8,0,0.000342356,72.50232798,81.63535698,15.04750881,12562,32.54004941,0,0.769361,0.49923,,,
GM0489,Barendrecht,0.002074139,1,1619.091308,3.472410553,2326,276,8,0.00123209,0.000155682,92.84525807,131.0955933,29.57190602,24077,19.57733227,0,1.256377,1.265111,,,
GM0203,Barneveld,0.001842095,0,5377.359462,93.89116633,5966,396,46,0,0.004209523,330.4085012,463.3994966,35.22102528,30757,175.8365662,0,2.010101,4.418026,,,
GM0888,Beek,0.000874322,0,964.4234615,13.09485451,811,61,1,0,0.000587096,46.39481162,45.22913638,9.677868447,9695,21.0690028,0,0.672705,0.609464,,,
GM1954,Beekdaelen,0.000295005,0,2659.375,56.03787954,2074,154,1,0,0.002512406,128.3346685,123.7664291,21.70639752,22365,78.3013197,0,1.80541,0.94878,,,
GM0889,Beesel,0.001093299,0,987.3658462,18.157155,548,41,0,0.000771363,0.000814059,64.24533367,43.7963268,8.213642008,7338,27.87794397,0,0.566964,0.650536,,,
GM1945,Berg en Dal,0,0,2512.615385,49.71807691,1763,69,10,0.000141599,0.002229064,216.6879809,128.1998172,21.12678257,19031,86.38869894,0,1.327979,1.120208,,,
GM1724,Bergeijk,0,0,2422.413077,61.66419384,1837,69,19,0,0.002764657,239.2727266,147.7413359,11.23444444,11303,101.0183518,0,0.991389,1.443895,,,
GM0893,Bergen (L.),0,0,1912.560769,55.17481351,915,55,1,0.002917326,0.002473711,198.5800255,78.75026063,7.983375692,8123,103.2558619,0,0.667967,1.169862,,,
GM0373,Bergen (NH.),0,0,3911.744769,41.80012027,1395,66,2,0,0.001874069,117.3383601,102.2506917,18.21108851,16520,98.99971178,20.29673402,1.295289,0.885486,,,
GM0748,Bergen op Zoom,0.002103046,0,4369.417846,33.29388886,2726,241,42,0.002655109,0.0014927,393.5322346,197.3235755,40.59188077,33852,79.96980286,0,2.080057,2.877556,,,
GM1859,Berkelland,0,0,5397.973923,211.591153,3014,195,7,0,0.009486492,650.1768839,235.9405053,26.67443884,25664,258.091756,0,2.2659,3.26428,,,
GM1721,Bernheze,0,0,2267.381462,65.64880262,2975,202,3,0.000101837,0.002943303,324.2356588,240.9559031,18.71658079,17768,89.72636838,0,1.435826,2.021417,,,
GM0753,Best,0.002015534,0,1559.406,14.80078737,1436,102,2,0,0.000663579,109.6547689,126.497781,18.11813139,16148,33.8885951,0,1.026967,1.311613,,,
GM0209,Beuningen,0,0,1742.630846,30.43871509,1253,88,0,0.000108758,0.001364691,99.40434183,83.25258104,15.72494137,14289,43.60427121,0,0.938264,0.8417,,,
GM0375,Beverwijk,0.0016742,0,2305.528,3.896434837,2195,270,1,0,0.000174693,76.21906977,107.8293792,25.01700742,20145,18.35245327,1.200353602,0.971164,1.459417,,,
GM0310,De Bilt,0.002171946,0,3042.517846,33.91529913,1807,107,0,0.000245145,0.001520561,147.4932794,138.087969,26.01827098,21742,66.18774776,0,1.466315,1.035096,,,
GM1728,Bladel,0,0,2166.017769,42.14405113,1926,141,2,0.00063624,0.001889489,209.8511364,123.0166394,12.25758026,12452,75.33398508,0,1.007337,1.757966,,,
GM0376,Blaricum,0,0,489.1080769,3.323177236,388,27,0,0,0.000148992,23.00379056,32.13731412,6.805918912,7177,11.07316325,0,0.470748,0.13851,,,
GM0377,Bloemendaal,0.001174078,0,1382.425692,4.218327032,478,6,0,0,0.000189125,58.49952633,70.61170787,14.22304604,12488,39.76713523,4.685847877,0.896033,0.316567,,,
GM1901,Bodegraven-Reeuwijk,0.001189918,0,2185.065154,62.89034983,2587,223,13,0.000582308,0.00281963,316.1810569,109.4515351,20.93783053,17882,75.4036042,0,1.214437,1.286456,,,
GM0755,Boekel,0,0,1368.881077,28.91791519,1165,56,1,0.001444352,0.001296508,145.1644995,63.33283486,6.432875329,6209,34.49920484,0,0.60129,1.153525,,,
GM1681,Borger-Odoorn,0,0,3067.803231,213.1143855,2265,127,3,0,0.009554785,386.8982895,266.3122028,15.41508433,15982,274.6857022,0,1.449955,1.444594,,,
GM0147,Borne,0.00011325,0,1553.869154,16.08234831,1225,77,7,0,0.000721037,68.19156827,66.74800957,14.10153347,12586,25.98992917,0,0.870596,0.575288,,,
GM0654,Borsele,0,0,2050.568231,116.6388588,2322,139,36,0,0.005229394,412.0777524,125.9842318,13.85243271,13512,141.4713853,51.74009659,0.973272,1.872173,,,
GM0757,Boxtel,0.002067804,0,2254.969385,39.67144999,2116,142,5,0.000610117,0.001778632,175.5667353,103.611268,18.68073458,16841,69.01286061,0,1.273519,1.395412,,,
GM0758,Breda,0.014866644,0,12424.08915,56.11720965,15376,423,31,0.007212788,0.002515963,442.1368145,494.6441976,111.7144017,148119,125.6917739,0,5.356542,6.372717,,,
GM1876,Bronckhorst,0,0,5140.898231,226.6650035,3402,153,1,0.000175066,0.010162314,613.5321995,230.5539872,22.00106549,22460,283.5326899,0,1.95283,2.736593,,,
