GEMEENTECODE,GEMEENTENAAM,chemical_other_co2_scaled,food_co2_scaled,paper_co2_scaled,metal_other_co2_scaled,industry_other_co2_scaled,index,aluminium_co2_scaled,index_dup,fertilizers_co2_scaled,index_dup,refineries_co2_scaled,index_dup,steel_co2_scaled,agriculture_gas_chp_relative,agriculture_gas_final_demand_relative
14,Groningen,0.0002800514970266847,0.04208025208859309,0.009532664339059934,0.0,0.0038421174649496464,0.0,0.0,0.0,0.0,110,6.550055177590707e-06,0.0,0.0,0.054,0.946
34,Almere,0.0001534377370319431,0.0021015615955808087,0.00028296789723425517,0.0,0.002355447505071805,0.0,0.0,0.0,0.0,10,6.139523859851293e-06,0.0,0.0,0.992,0.008000000000000007
37,Stadskanaal,4.15496358417523e-05,0.00040736235454835604,0.0,0.0,0.0012953586291961736,0.0,0.0,0.0,0.0,262,8.574372525029859e-07,0.0,0.0,0.005,0.995
47,Veendam,0.0008131246850674207,0.0002855343606647373,0.0,0.0,0.0015040917368048623,0.0,0.0,0.0,0.0,289,7.631889287595679e-07,0.0,0.0,0.0,1.0
50,Zeewolde,9.109996213105908e-05,0.0008527959571853477,0.0,0.0,0.0003571892227099836,0.0,0.0,0.0,0.0,333,6.464987599485685e-07,0.0,0.0,0.0,1.0
59,Achtkarspelen,1.973539995504989e-05,0.003266344191292138,0.0,0.0,0.002660444562349968,0.0,0.0,0.0,0.0,5,7.753161203578241e-07,0.0,0.0,0.02,0.98
60,Ameland,9.58615012771265e-07,9.517812022157899e-05,0.0,0.0,1.604036706107238e-06,0.0,0.0,0.0,0.0,14,1.048990656963205e-07,0.0,0.0,0.0,1.0
72,Harlingen,4.061023794484166e-06,0.0011842110242128343,0.0,0.0,0.001454677665471468,0.0,0.0,0.0,0.0,119,4.4438861913960267e-07,0.0,0.0,0.5,0.5
74,Heerenveen,0.00032212989001912154,0.0008422923288567622,0.0002741251504456842,0.0,0.002302320252918064,22.0,0.0005394287574372735,0.0,0.0,124,1.3844944369094707e-06,0.0,0.0,0.0,1.0
80,Leeuwarden,8.176829792886754e-05,0.0164799532572326,0.0003625526183313894,0.0,0.002774828223694106,0.0,0.0,0.0,0.0,162,3.487636529076978e-06,0.0,0.0,0.052,0.948
85,Ooststellingwerf,6.3976859611786265e-06,0.0020471325574155847,0.0,0.0,0.0010921839760163836,0.0,0.0,0.0,0.0,217,7.000842580234424e-07,0.0,0.0,0.003,0.997
86,Opsterland,6.825637310873787e-05,0.0007081252144485461,3.537098715428184e-05,0.0,0.0011832022908031716,0.0,0.0,0.0,0.0,220,8.284988171798239e-07,0.0,0.0,0.004,0.996
88,Schiermonnikoog,2.4815658017863253e-07,1.5228499235452639e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251,2.7155211487746633e-08,0.0,0.0,0.0,1.0
90,Smallingerland,3.3336622600607206e-05,0.0005482259724762943,3.537098715428184e-05,0.0,0.0035509906194161733,49.0,0.010249146391308195,0.0,0.0,258,1.5411630228572772e-06,0.0,0.0,0.084,0.916
93,Terschelling,1.2319651543893533e-06,7.233537136839993e-05,0.0,0.0,6.821661694481642e-06,0.0,0.0,0.0,0.0,271,1.3481115144678264e-07,0.0,0.0,0.0,1.0
96,Vlieland,3.2121790835305265e-07,2.6649873662042147e-05,0.0,0.0,7.06566999697733e-06,0.0,0.0,0.0,0.0,298,3.515014684962131e-08,0.0,0.0,0.0,1.0
98,Weststellingwerf,0.0002507094515501731,0.0003045699847090505,0.0,0.0,0.00043316608705926373,0.0,0.0,0.0,0.0,320,7.244317462784445e-07,0.0,0.0,0.002,0.998
106,Assen,2.0103538040723286e-05,0.0002969557350913268,3.537098715428184e-05,0.0,0.0013611645918561281,0.0,0.0,0.0,0.0,20,1.904744942204358e-06,0.0,0.0,0.075,0.925
109,Coevorden,2.788716217356342e-05,0.0018684011772919587,0.013568373191195799,0.0,0.002142783105640952,0.0,0.0,0.0,0.0,58,9.75203005127155e-07,0.0,0.0,0.009,0.991
114,Emmen,0.004890378051756327,0.001225894188453937,0.0,0.0,0.0056256132676387955,16.0,0.005394287574372735,0.0,0.0,93,2.991216959367577e-06,0.0,0.0,0.845,0.15500000000000003
118,Hoogeveen,4.382066211781973e-05,0.014603349557886131,0.002705880517302556,0.0,0.0014783970635059384,0.0,0.0,0.0,0.0,141,1.5486599191116773e-06,0.0,0.0,0.003,0.997
119,Meppel,1.2523022850844896e-05,0.00528889804667608,1.768549357714092e-05,0.0,0.0015280425901613092,0.0,0.0,0.0,0.0,183,9.377772513785816e-07,0.0,0.0,0.009,0.991
141,Almelo,0.0029010530166399657,0.0016637135414732025,0.000990387640319893,0.0,0.009234744831452783,0.0,0.0,0.0,0.0,9,2.0389052380344084e-06,0.0,0.0,0.036,0.964
147,Borne,6.018609065952022e-06,0.0001142137442658948,0.0,0.0,0.0009879384410711061,0.0,0.0,0.0,0.0,46,6.586027335255351e-07,0.0,0.0,0.002,0.998
148,Dalfsen,1.2938854714570235e-05,0.0035006124779791026,0.0008842746788570472,0.0,0.000586223126138131,0.0,0.0,0.0,0.0,61,8.102452991810042e-07,0.0,0.0,0.024,0.976
150,Deventer,0.0007717102756844468,0.003734789437494752,0.0022902714182397475,0.0,0.0019505513359455776,0.0,0.0,0.0,0.0,70,2.8216387489103514e-06,0.0,0.0,0.048,0.952
153,Enschede,0.00015577021942537076,0.0071487377366775545,0.001989618027428355,0.0,0.006400824124919171,0.0,0.0,0.0,0.0,95,4.440112444998495e-06,0.0,0.0,0.087,0.913
158,Haaksbergen,0.00012098845335317316,4.9492622515221134e-05,0.00026528240365711325,0.0,0.0023836279311949143,0.0,0.0,0.0,0.0,112,6.705928308205011e-07,0.0,0.0,0.0,1.0
160,Hardenberg,1.5639618389332563e-05,0.0006129361646191006,3.537098715428184e-05,0.0,0.005528339664693163,0.0,0.0,0.0,0.0,116,1.71140795317321e-06,0.0,0.0,0.001,0.999
163,Hellendoorn,5.537343675892226e-05,0.000666246841551053,1.768549357714092e-05,0.0,0.006992552592155626,0.0,0.0,0.0,0.0,128,9.95653277773191e-07,0.0,0.0,0.001,0.999
164,Hengelo (O),0.01640159291800133,0.0005063475995787984,5.305648073142276e-05,0.0,0.00538990848192204,24.0,0.0013485718935931838,0.0,0.0,131,2.2730316936091863e-06,0.0,0.0,0.237,0.763
166,Kampen,0.00029149214388595726,0.004274703472447331,0.00013264120182855663,0.0,0.0023337258155279542,0.0,0.0,0.0,0.0,149,1.524876668475108e-06,0.0,0.0,0.743,0.257
168,Losser,8.593713637225818e-06,0.0008870600804651173,0.0,0.0,0.0007772586065486737,0.0,0.0,0.0,0.0,174,6.452509741668641e-07,0.0,0.0,0.087,0.913
171,Noordoostpolder,3.4215744801889295e-05,0.000719546588875136,0.0,0.0,0.0015832902453493667,0.0,0.0,0.0,0.0,203,1.3725858326994248e-06,0.0,0.0,0.859,0.14100000000000001
173,Oldenzaal,8.144520636550309e-05,0.0013705649311907386,0.0,0.0,0.002120978933608296,0.0,0.0,0.0,0.0,212,8.720940040970741e-07,0.0,0.0,0.93,0.06999999999999995
175,Ommen,3.4369159505915944e-05,0.0008749269098973735,0.0005570930476799394,0.0,0.0003634134317451546,0.0,0.0,0.0,0.0,214,5.144034342806709e-07,0.0,0.0,0.004,0.996
177,Raalte,1.6321483496217196e-05,0.0011269089434234947,0.0,0.0,0.0013434500637272378,0.0,0.0,0.0,0.0,232,1.048173880788323e-06,0.0,0.0,0.065,0.935
180,Staphorst,4.694125596478687e-06,0.0009028154094562664,0.0,0.0,0.0019028008408461601,0.0,0.0,0.0,0.0,263,5.1366751278836e-07,0.0,0.0,0.003,0.997
183,Tubbergen,5.3114083750856165e-06,0.0002474631125761057,0.0,0.0,0.0009515760992312513,0.0,0.0,0.0,0.0,277,5.812153666020637e-07,0.0,0.0,0.019,0.981
184,Urk,5.494717777322269e-06,0.003631997067655455,0.0,0.0,0.00020633373399543884,0.0,0.0,0.0,0.0,283,6.012744985495036e-07,0.0,0.0,0.036,0.964
189,Wierden,6.25254605597616e-06,5.71068721329474e-05,0.0004775083265828052,0.0,0.0009841547089978959,58.0,0.007282288225403195,0.0,0.0,321,6.842019275277225e-07,0.0,0.0,0.007,0.993
