geo_id,Woningtype ETM,Bouwjaarklasse ETM,Woningkenmerken/eigendom,Woningkenmerken/oppervlakte,Functionele vraag/ruimteverwarming,Functionele vraag ruimteverwarming (% van totaal),Gemiddelde netto warmtevraag (kWh/m2),Aantal woningen (#)
GM0014,Appartement,1945 - 1964,Koop,127943,49898.1,2.9302299196440464,247.8162213826473,1498.0
GM0014,Appartement,1945 - 1964,Particuliere huur,337355,147329.3,16.376143337118847,249.85713638490662,4347.0
GM0014,Appartement,1945 - 1964,Sociale huur,516907,252976.2,18.662765953758168,197.23864023279793,7205.0
GM0014,Appartement,1965 - 1984,Koop,112869,45230.2,2.6561108601626944,191.54281662727652,1404.0
GM0014,Appartement,1965 - 1984,Particuliere huur,376201,161821.0,17.986944151339273,210.25934886406137,4878.0
GM0014,Appartement,1965 - 1984,Sociale huur,809970,366943.9,27.070483799895968,182.99549912672418,10542.0
GM0014,Appartement,1985 - 2004,Koop,105803,29872.0,1.7542116465277626,155.43587874067097,958.0
GM0014,Appartement,1985 - 2004,Particuliere huur,187118,58775.3,6.533070729869492,152.53659906673687,1844.0
GM0014,Appartement,1985 - 2004,Sociale huur,399213,168108.1,12.401807463433215,156.68726400948714,5052.0
GM0014,Appartement,< 1945,Koop,545394,208866.9,12.26555799926853,247.70471897707392,6082.0
GM0014,Appartement,< 1945,Particuliere huur,804630,353821.6,39.32845155287326,240.1722260928026,10464.0
GM0014,Appartement,< 1945,Sociale huur,429560,193912.0,14.305433758690162,180.9479837064352,5549.0
GM0014,Appartement,>= 2005,Koop,299226,167566.4,9.840215936218856,118.3940860210846,5292.0
GM0014,Appartement,>= 2005,Particuliere huur,173950,68984.1,7.667812916929222,117.35281854093893,2207.0
GM0014,Appartement,>= 2005,Sociale huur,277337,104994.0,7.745702752072666,122.22201456214283,3411.0
GM0014,Hoekhuis,1945 - 1964,Koop,140458,34738.8,2.040010964997277,263.068316434305,1159.0
GM0014,Hoekhuis,1945 - 1964,Particuliere huur,8745,2267.9,0.25208465304764116,272.65664698162726,89.0
GM0014,Hoekhuis,1945 - 1964,Sociale huur,28632,9728.9,0.7177283226150043,229.0220775420629,290.0
GM0014,Hoekhuis,1965 - 1984,Koop,441000,109304.0,6.418798534148051,205.46987344732463,3333.0
GM0014,Hoekhuis,1965 - 1984,Particuliere huur,37439,10277.2,1.1423450753124995,238.5662953274695,302.0
GM0014,Hoekhuis,1965 - 1984,Sociale huur,134581,42644.0,3.14596784729972,171.18592633670687,1213.0
GM0014,Hoekhuis,1985 - 2004,Koop,498321,112125.0,6.584459723718712,148.4392584843867,3479.0
GM0014,Hoekhuis,1985 - 2004,Particuliere huur,9936,2100.0,0.23342200776050373,157.07516220262852,65.0
GM0014,Hoekhuis,1985 - 2004,Sociale huur,30219,9982.9,0.7364666171749454,144.71640630116053,305.0
GM0014,Hoekhuis,< 1945,Koop,341968,65549.7,3.8493588365827827,291.70354143002334,2233.0
GM0014,Hoekhuis,< 1945,Particuliere huur,35836,7957.2,0.8844693334056573,269.4912414587964,236.0
GM0014,Hoekhuis,< 1945,Sociale huur,29387,10965.5,0.8089557834528909,202.1696781220657,320.0
GM0014,Hoekhuis,>= 2005,Koop,284518,54555.3,3.2037206293457436,116.33602546068718,1854.0
GM0014,Hoekhuis,>= 2005,Particuliere huur,4051,779.3,0.08662179554655264,114.65458033573141,28.0
GM0014,Hoekhuis,>= 2005,Sociale huur,25261,6395.6,0.47182140428172986,114.48752516668847,205.0
GM0014,Rijtjeshuis,1945 - 1964,Koop,135907,37622.6,2.2093600392560058,250.18315976599115,1122.0
GM0014,Rijtjeshuis,1945 - 1964,Particuliere huur,9644,2203.6,0.24493749347668858,296.04727118382465,88.0
GM0014,Rijtjeshuis,1945 - 1964,Sociale huur,50114,16790.9,1.23871192963195,181.98349364645327,480.0
GM0014,Rijtjeshuis,1965 - 1984,Koop,830509,223280.3,13.111974514602732,199.843115744174,6531.0
GM0014,Rijtjeshuis,1965 - 1984,Particuliere huur,93599,25739.5,2.8610313184530884,220.15855444485047,756.0
GM0014,Rijtjeshuis,1965 - 1984,Sociale huur,314477,97507.3,7.19338783127774,152.97468450669325,2801.0
GM0014,Rijtjeshuis,1985 - 2004,Koop,644357,167916.3,9.860763561256352,154.57175975345143,5014.0
GM0014,Rijtjeshuis,1985 - 2004,Particuliere huur,26922,6182.9,0.6872499675154373,155.7612704010127,197.0
GM0014,Rijtjeshuis,1985 - 2004,Sociale huur,63637,20538.9,1.5152124336109234,131.86996661949857,633.0
GM0014,Rijtjeshuis,< 1945,Koop,548678,144108.1,8.462644194529576,273.5730679676757,4112.0
GM0014,Rijtjeshuis,< 1945,Particuliere huur,156667,40197.6,4.468097380549345,253.40185165887453,1123.0
GM0014,Rijtjeshuis,< 1945,Sociale huur,86654,36123.0,2.664895332239184,174.78267901284596,1026.0
