key,value
present_number_of_residences,4.02578000000000E+07
present_number_of_apartments_before_1945,1.36331000000000E+05
present_number_of_apartments_1945_1964,1.22714800000000E+06
present_number_of_apartments_1965_1984,3.25705200000000E+06
present_number_of_apartments_1985_2004,1.15986100000000E+06
present_number_of_apartments_2005_present,3.23797000000000E+05
present_number_of_detached_houses_before_1945,5.00537500000000E+06
present_number_of_detached_houses_1945_1964,3.25414900000000E+06
present_number_of_detached_houses_1965_1984,8.14395000000000E+06
present_number_of_detached_houses_1985_2004,5.00311600000000E+06
present_number_of_detached_houses_2005_present,2.02900800000000E+06
present_number_of_semi_detached_houses_before_1945,0.00000000000000E+00
present_number_of_semi_detached_houses_1945_1964,0.00000000000000E+00
present_number_of_semi_detached_houses_1965_1984,0.00000000000000E+00
present_number_of_semi_detached_houses_1985_2004,0.00000000000000E+00
present_number_of_semi_detached_houses_2005_present,0.00000000000000E+00
present_number_of_terraced_houses_before_1945,1.15056000000000E+06
present_number_of_terraced_houses_1945_1964,3.05695600000000E+06
present_number_of_terraced_houses_1965_1984,4.04902700000000E+06
present_number_of_terraced_houses_1985_2004,1.73002800000000E+06
present_number_of_terraced_houses_2005_present,7.31442000000000E+05
present_share_of_apartments_before_1945_in_useful_demand_for_space_heating,2.83796312193112E-02
present_share_of_apartments_1945_1964_in_useful_demand_for_space_heating,5.42183154208014E-02
present_share_of_apartments_1965_1984_in_useful_demand_for_space_heating,8.26048140644851E-02
present_share_of_apartments_1985_2004_in_useful_demand_for_space_heating,5.74460048758713E-02
present_share_of_apartments_2005_present_in_useful_demand_for_space_heating,2.76825876455036E-02
present_share_of_detached_houses_before_1945_in_useful_demand_for_space_heating,9.57868351474779E-02
present_share_of_detached_houses_1945_1964_in_useful_demand_for_space_heating,4.24956220169626E-02
present_share_of_detached_houses_1965_1984_in_useful_demand_for_space_heating,1.49545033135323E-01
present_share_of_detached_houses_1985_2004_in_useful_demand_for_space_heating,8.87202554681867E-02
present_share_of_detached_houses_2005_present_in_useful_demand_for_space_heating,4.35600727946984E-02
present_share_of_semi_detached_houses_before_1945_in_useful_demand_for_space_heating,0.00000000000000E+00
present_share_of_semi_detached_houses_1945_1964_in_useful_demand_for_space_heating,0.00000000000000E+00
present_share_of_semi_detached_houses_1965_1984_in_useful_demand_for_space_heating,0.00000000000000E+00
present_share_of_semi_detached_houses_1985_2004_in_useful_demand_for_space_heating,0.00000000000000E+00
present_share_of_semi_detached_houses_2005_present_in_useful_demand_for_space_heating,0.00000000000000E+00
present_share_of_terraced_houses_before_1945_in_useful_demand_for_space_heating,3.82618548913230E-02
present_share_of_terraced_houses_1945_1964_in_useful_demand_for_space_heating,7.45802286852316E-02
present_share_of_terraced_houses_1965_1984_in_useful_demand_for_space_heating,1.13381176389795E-01
present_share_of_terraced_houses_1985_2004_in_useful_demand_for_space_heating,6.99172475363115E-02
present_share_of_terraced_houses_2005_present_in_useful_demand_for_space_heating,3.34203207087182E-02
