party,category,classification,measure,gas,unit,year,numberValue,stringValue
NLD,1.  Energy,Total for category,Emission factor information,CH4,no unit,1990,,"CS,D,OTH,PS"
NLD,1.  Energy,Total for category,Emission factor information,CH4,no unit,2015,,"CS,D,OTH,PS"
NLD,1.  Energy,Total for category,Emission factor information,CO2,no unit,1990,,"CS,D,PS"
NLD,1.  Energy,Total for category,Emission factor information,CO2,no unit,2015,,"CS,D,PS"
NLD,1.  Energy,Total for category,Emission factor information,N2O,no unit,1990,,"CS,D"
NLD,1.  Energy,Total for category,Emission factor information,N2O,no unit,2015,,"CS,D"
NLD,1.  Energy,Total for category,Indirect emissions,CO2,kt,1990,67.84884909,
NLD,1.  Energy,Total for category,Indirect emissions,CO2,kt,2015,25.247557852,
NLD,1.  Energy,Total for category,Indirect emissions,N2O,kt,1990,,NE
NLD,1.  Energy,Total for category,Indirect emissions,N2O,kt,2015,,NE
NLD,1.  Energy,Total for category,Method,CH4,no unit,1990,,"OTH,T1,T1b,T2,T3"
NLD,1.  Energy,Total for category,Method,CH4,no unit,2015,,"OTH,T1,T1b,T2,T3"
NLD,1.  Energy,Total for category,Method,CO2,no unit,1990,,"CS,T1,T2,T3"
NLD,1.  Energy,Total for category,Method,CO2,no unit,2015,,"CS,T1,T2,T3"
NLD,1.  Energy,Total for category,Method,N2O,no unit,1990,,"D,T1,T2"
NLD,1.  Energy,Total for category,Method,N2O,no unit,2015,,"D,T1,T2"
NLD,1.  Energy,Total for category,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,1990,159724.62692150837,
NLD,1.  Energy,Total for category,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,2015,161055.1840876479,
NLD,1.  Energy,Total for category,Net emissions/removals,CH4,kt,1990,113.8347993514897,
NLD,1.  Energy,Total for category,Net emissions/removals,CH4,kt,2015,89.71337580221379,
NLD,1.  Energy,Total for category,Net emissions/removals,CO,kt,1990,1186.0225272303967,
NLD,1.  Energy,Total for category,Net emissions/removals,CO,kt,2015,560.6791966218149,
NLD,1.  Energy,Total for category,Net emissions/removals,CO2,kt,1990,156225.77533262552,
NLD,1.  Energy,Total for category,Net emissions/removals,CO2,kt,2015,157958.69202644244,
NLD,1.  Energy,Total for category,Net emissions/removals,NH3,kt,1990,1.38608539643133,
NLD,1.  Energy,Total for category,Net emissions/removals,NH3,kt,2015,4.16648004296004,
NLD,1.  Energy,Total for category,Net emissions/removals,NMVOC,kt,1990,279.94604828215233,
NLD,1.  Energy,Total for category,Net emissions/removals,NMVOC,kt,2015,72.26032933512431,
NLD,1.  Energy,Total for category,Net emissions/removals,NOx,kt,1990,549.7067108446392,
NLD,1.  Energy,Total for category,Net emissions/removals,NOx,kt,2015,217.19849968780343,
NLD,1.  Energy,Total for category,Net emissions/removals,N2O,kt,1990,1.17538568694767,
NLD,1.  Energy,Total for category,Net emissions/removals,N2O,kt,2015,2.20572656129611,
NLD,1.  Energy,Total for category,Net emissions/removals,SO2,kt,1990,187.0141042740781,
NLD,1.  Energy,Total for category,Net emissions/removals,SO2,kt,2015,29.50516834568504,
NLD,1.  Energy,Total for category,unknown measure nr. 19496,CH4,kt,1990,113.8347993514897,
NLD,1.  Energy,Total for category,unknown measure nr. 19496,CH4,kt,2015,89.71337580221379,
NLD,1.  Energy,Total for category,unknown measure nr. 19496,N2O,kt,1990,1.17538568694767,
NLD,1.  Energy,Total for category,unknown measure nr. 19496,N2O,kt,2015,2.20572656129611,
NLD,1.  Energy,Total for category,unknown measure nr. 19497,CO2,kt,1990,67.84884909,
NLD,1.  Energy,Total for category,unknown measure nr. 19497,CO2,kt,2015,25.247557852,
NLD,1.A.1  Energy Industries,Biomass,Amount captured,CO2,kt,1990,,NO
NLD,1.A.1  Energy Industries,Biomass,Amount captured,CO2,kt,2015,,NO
NLD,1.A.1  Energy Industries,Biomass,Fuel Consumption,No gas,TJ,1990,14084.791393663292,
NLD,1.A.1  Energy Industries,Biomass,Fuel Consumption,No gas,TJ,2015,57364.67211216911,
NLD,1.A.1  Energy Industries,Biomass,Implied emission factor,CH4,kg/TJ,1990,1.08493649499097,
NLD,1.A.1  Energy Industries,Biomass,Implied emission factor,CH4,kg/TJ,2015,7.56091534059637,
NLD,1.A.1  Energy Industries,Biomass,Implied emission factor,CO2,t/TJ,1990,147.64680633098453,
NLD,1.A.1  Energy Industries,Biomass,Implied emission factor,CO2,t/TJ,2015,118.56422778450046,
NLD,1.A.1  Energy Industries,Biomass,Implied emission factor,N2O,kg/TJ,1990,2.99501772401745,
NLD,1.A.1  Energy Industries,Biomass,Implied emission factor,N2O,kg/TJ,2015,5.4295621371666,
NLD,1.A.1  Energy Industries,Biomass,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,1990,2091.1811509940508,
NLD,1.A.1  Energy Industries,Biomass,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,2015,6896.080713816544,
NLD,1.A.1  Energy Industries,Biomass,Net emissions/removals,CH4,kt,1990,0.01528110420732,
NLD,1.A.1  Energy Industries,Biomass,Net emissions/removals,CH4,kt,2015,0.43372942938118,
NLD,1.A.1  Energy Industries,Biomass,Net emissions/removals,CO2,kt,1990,2079.5744671125217,
NLD,1.A.1  Energy Industries,Biomass,Net emissions/removals,CO2,kt,2015,6801.398051090399,
NLD,1.A.1  Energy Industries,Biomass,Net emissions/removals,N2O,kt,1990,0.04218419986311,
NLD,1.A.1  Energy Industries,Biomass,Net emissions/removals,N2O,kt,2015,0.31146505171121,
NLD,1.A.1  Energy Industries,Gaseous Fuels,Amount captured,CO2,kt,1990,,NO
NLD,1.A.1  Energy Industries,Gaseous Fuels,Amount captured,CO2,kt,2015,,NO
NLD,1.A.1  Energy Industries,Gaseous Fuels,Fuel Consumption,No gas,TJ,1990,278160.9037200874,
NLD,1.A.1  Energy Industries,Gaseous Fuels,Fuel Consumption,No gas,TJ,2015,344965.3799720813,
NLD,1.A.1  Energy Industries,Gaseous Fuels,Implied emission factor,CH4,kg/TJ,1990,7.92540212588003,
NLD,1.A.1  Energy Industries,Gaseous Fuels,Implied emission factor,CH4,kg/TJ,2015,12.06453783211998,
NLD,1.A.1  Energy Industries,Gaseous Fuels,Implied emission factor,CO2,t/TJ,1990,55.92295135243366,
NLD,1.A.1  Energy Industries,Gaseous Fuels,Implied emission factor,CO2,t/TJ,2015,57.17278970173439,
NLD,1.A.1  Energy Industries,Gaseous Fuels,Implied emission factor,N2O,kg/TJ,1990,0.10213405035252,
NLD,1.A.1  Energy Industries,Gaseous Fuels,Implied emission factor,N2O,kg/TJ,2015,0.17979351435854,
NLD,1.A.1  Energy Industries,Gaseous Fuels,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,1990,15624.834293815327,
NLD,1.A.1  Energy Industries,Gaseous Fuels,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,2015,19855.60083666042,
NLD,1.A.1  Energy Industries,Gaseous Fuels,Net emissions/removals,CH4,kt,1990,2.20453701767989,
NLD,1.A.1  Energy Industries,Gaseous Fuels,Net emissions/removals,CH4,kt,2015,4.16184787744482,
NLD,1.A.1  Energy Industries,Gaseous Fuels,Net emissions/removals,CO2,kt,1990,15555.57868688743,
NLD,1.A.1  Energy Industries,Gaseous Fuels,Net emissions/removals,CO2,kt,2015,19722.6331235227,
NLD,1.A.1  Energy Industries,Gaseous Fuels,Net emissions/removals,N2O,kt,1990,0.02840969974665,
