utc_timestamp,cet_cest_timestamp,NL_wind_offshore_generation_actual,NL_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,147,1321
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,145,1306
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,145,1302
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,148,1331
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,134,1206
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,140,1262
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,174,1568
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,170,1528
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,152,1369
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,151,1358
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,163,1465
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,169,1522
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,170,1529
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,173,1557
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,180,1617
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,196,1767
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,199,1791
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,215,1935
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,232,2089
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,244,2198
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,250,2252
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,252,2271
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,255,2292
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,254,2288
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,250,2252
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,249,2239
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,251,2262
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,251,2260
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,252,2268
