Year,Coal,Lignite,Natural gas,Crude oil,Uranium oxide,Woody biomass
2.01000000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.65500800000000E+06,7.04860000000000E+04,0.00000000000000E+00,8.49822456981142E+04
2.01100000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.41683200000000E+06,7.12250000000000E+04,0.00000000000000E+00,8.99238374259899E+04
2.01200000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.40556900000000E+06,7.47850000000000E+04,0.00000000000000E+00,9.48654291538656E+04
2.01300000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.58533774000000E+06,8.10528800000000E+04,0.00000000000000E+00,9.98070208817412E+04
2.01400000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.10892771000000E+06,8.35310550000000E+04,0.00000000000000E+00,1.04748612609617E+05
2.01500000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.63251768000000E+06,8.60092300000000E+04,0.00000000000000E+00,1.09690204337493E+05
2.01600000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.41644794400000E+06,6.39000000000000E+04,0.00000000000000E+00,1.23861114052375E+05
2.01700000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.20037820800000E+06,6.03500000000000E+04,0.00000000000000E+00,1.38032023767258E+05
2.01800000000000E+03,0.00000000000000E+00,0.00000000000000E+00,9.84308472000000E+05,3.90500000000000E+04,0.00000000000000E+00,1.52202933482140E+05
2.01900000000000E+03,0.00000000000000E+00,0.00000000000000E+00,7.68238736000000E+05,3.55000000000000E+04,0.00000000000000E+00,1.66373843197023E+05
2.02000000000000E+03,0.00000000000000E+00,0.00000000000000E+00,5.52169000000000E+05,2.84000000000000E+04,0.00000000000000E+00,1.80544752911906E+05
2.02100000000000E+03,0.00000000000000E+00,0.00000000000000E+00,4.29074000000000E+05,2.84000000000000E+04,0.00000000000000E+00,1.82232752001462E+05
2.02200000000000E+03,0.00000000000000E+00,0.00000000000000E+00,3.02462000000000E+05,2.48500000000000E+04,0.00000000000000E+00,1.83920751091018E+05
2.02300000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.33646000000000E+05,2.48500000000000E+04,0.00000000000000E+00,1.85608750180574E+05
2.02400000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.16061000000000E+05,2.13000000000000E+04,0.00000000000000E+00,1.87296749270130E+05
2.02500000000000E+03,0.00000000000000E+00,0.00000000000000E+00,9.14420000000000E+04,1.77500000000000E+04,0.00000000000000E+00,1.88984748359686E+05
2.02600000000000E+03,0.00000000000000E+00,0.00000000000000E+00,5.27550000000000E+04,1.77500000000000E+04,0.00000000000000E+00,1.93405598350500E+05
2.02700000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.81360000000000E+04,1.77500000000000E+04,0.00000000000000E+00,1.97826448341315E+05
2.02800000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.46190000000000E+04,1.42000000000000E+04,0.00000000000000E+00,2.02247298332129E+05
2.02900000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.46190000000000E+04,1.42000000000000E+04,0.00000000000000E+00,2.06668148322944E+05
2.03000000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.42000000000000E+04,0.00000000000000E+00,2.11088998313758E+05
2.03100000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.42000000000000E+04,0.00000000000000E+00,2.12844399002054E+05
2.03200000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.42000000000000E+04,0.00000000000000E+00,2.14599799690351E+05
2.03300000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.06500000000000E+04,0.00000000000000E+00,2.16355200378647E+05
2.03400000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.06500000000000E+04,0.00000000000000E+00,2.18110601066944E+05
