PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. bio,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. bio,Other Kerosene,Gas/diesel oil excl. bio,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main activity producer CHP plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autoproducer CHP plants,x,x,0,0,-1783.03,0,0,0,0,0,0,0,0,-801.69,0,0,0,-150840.19,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-1235.4,-15840,0,0,0,0,0,0,0,0,0,0,-19150.34,-845.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116585.38,0,-73911.09,-19996.16
Main activity producer heat plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autoproducer heat plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heat pumps,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric boilers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemical heat for electricity production,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blast furnaces,x,x,0,0,-14933.98,0,0,0,-27732.82,0,0,0,0,0,17063.72,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25603.08,0
Gas works,x,x,0,0,0,0,0,0,0,0,0,0,63.89,0,0,0,0,0,x,0,0,0,0,0,0,0,-736,0,0,0,0,0,0,0,-1408.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2080.13,0
Coke ovens,x,x,0,-69649.34,0,0,0,0,46623.28,0,2580.79,0,0,12925.7,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7519.58,0
Patent fuel plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKB/peat briquette plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil refineries,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-2527175.93,0,-112752.49,-150.6,0,101920.49,0,78291.99,318164.02,0,0,7009,359953.01,1128473.98,261439.99,13991.99,7804.4,6929.99,73242,1360,98752,125359.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57386.16,0
Petrochemical plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,3527.5,0,0,0,0,0,0,0,0,0,0,0,0,-3652.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-124.52,0
Coal liquefaction plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas-to-liquids (GTL) plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For blended natural gas,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charcoal production plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5576.94,0,0,0,0,0,1108.79,0,0,0,0,0,0,0,0,0,0,0,0,-4468.15,-4468.15
Non-specified (transformation),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy industry own use,x,x,0,0,0,0,0,0,-13317.12,0,-385.19,0,0,-6382.78,-1417.73,0,0,-79845.04,x,0,0,0,0,0,-173893.5,0,0,0,0,0,0,0,0,-9040.01,0,0,0,0,0,-4735.98,-10600.01,0,0,0,-4563.11,-916.83,0,0,0,0,0,0,0,0,0,0,0,-4.02,0,0,0,-63544.24,0,-368645.56,-5483.95
Coal mines,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43.21,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-514.89,0,-558.1,0
Oil and gas extraction,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-197.03,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.23,0,-348.26,0
Blast furnaces,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas works,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-388.87,0,-388.87,0
Gasification plants for biogases,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coke ovens,x,x,0,0,0,0,0,0,-13317.12,0,-385.19,0,0,-6382.78,-1417.73,0,0,-39.61,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39.61,0,-21582.03,0
Patent fuel plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKB/peat briquette plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil refineries,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54538.85,x,0,0,0,0,0,-173893.5,0,0,0,0,0,0,0,0,-9040.01,0,0,0,0,0,-4735.98,-9880.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11324.04,0,-263412.4,0
Coal liquefaction plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquefaction (LNG) / regasification plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas-to-liquids (GTL) plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Own use in electricity, CHP and heat plants",x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2652.46,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4563.11,0,0,0,0,0,0,0,0,0,0,0,0,-3.01,0,0,0,-39560.32,0,-46778.91,-4566.12
Pumped storage plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5062.51,0,-5062.51,0
Nuclear industry,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-558.1,0,-558.1,0
Charcoal production plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-specified (energy),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22373.92,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-720,0,0,0,0,-916.83,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-5944.67,0,-29956.43,-917.83
Losses,x,x,0,0,0,0,0,0,0,0,0,0,0,-1062.61,-1294.77,0,0,-6603.21,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92446.64,0,-101407.23,0
Total final consumption,x,x,7234.5,0,9664.68,0,0,0,6886.32,0,2195.6,0,63.89,4341.25,7109.65,0,0,627362.21,x,511.96,0,0,0,0,0,0,72955.99,202620.02,220.02,0,76238.99,0,1056778.21,30440,62172.01,2921.21,15120,72617.99,1159.99,87743.98,69560,0,0,0,160141.21,2313.54,8348.81,80722.89,0,0,1108.79,0,0,0,0,736.88,0,9224.23,0,0,0,865048.48,0,3543563.33,262596.35
Industry,x,x,2928,0,6844.41,0,0,0,6350.41,0,2195.6,0,0,4341.25,7109.65,0,0,353453.38,x,511.96,0,0,0,0,0,0,12741.98,220.02,0,0,0,0,37317.62,19119.99,0,0,0,0,0,75712,0,0,0,0,51683.07,1449.72,0,0,0,0,0,0,0,0,0,3.01,0,78,0,0,0,260924.56,0,842984.63,53213.81
Iron and steel,x,x,2928,0,1132.7,0,0,0,3858.47,0,0,0,0,4341.25,7109.65,0,0,18648.97,x,0,0,0,0,0,0,0,1334,0,0,0,0,0,1576.2,1120.01,0,0,0,0,0,6016.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47722.99,0,95789.25,1
Chemical and petrochemical,x,x,0,0,5085.12,0,0,0,401.93,0,2195.6,0,0,0,0,0,0,116685.03,x,511.96,0,0,0,0,0,0,7176.01,44,0,0,0,0,4302.61,3760,0,0,0,0,0,2431.99,0,0,0,0,204.94,0,0,0,0,0,0,0,0,0,0,0,0,5.99,0,0,0,30281.45,0,173086.62,210.93
Non-ferrous metals,x,x,0,0,0,0,0,0,1554.1,0,0,0,0,0,0,0,0,4821.73,x,0,0,0,0,0,0,0,368.02,0,0,0,0,0,2002.21,639.99,0,0,0,0,0,0,0,0,0,0,1,29.01,0,0,0,0,0,0,0,0,0,0,0,10.01,0,0,0,38109.26,0,47535.34,40.03
Non-metallic minerals,x,x,0,0,385.6,0,0,0,0,0,0,0,0,0,0,0,0,54379.58,x,0,0,0,0,0,0,0,689.98,0,0,0,0,0,3706.2,2720,0,0,0,0,0,64416.01,0,..,0,0,7918.49,130.96,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,23227.78,0,157576.62,8051.47
Transport equipment,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5438.07,x,0,0,0,0,0,0,0,322.01,0,0,0,0,0,2598.58,720,0,0,0,0,0,0,0,0,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9566.92,0,18658.56,12.98
Machinery,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10530.6,x,0,0,0,0,0,0,0,736,0,0,0,0,0,1789.19,520,0,0,0,0,0,2847.99,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,13488.03,0,29933.78,21.98
Mining and quarrying,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5945.51,x,0,0,0,0,0,0,0,138,0,0,0,0,0,2172.61,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4810.47,0,13586.58,0
Food and tobacco,x,x,0,0,240.99,0,0,0,535.91,0,0,0,0,0,0,0,0,31206.69,x,0,0,0,0,0,0,0,827.98,0,0,0,0,0,6134.42,3039.99,0,0,0,0,0,0,0,0,0,0,9874.11,571.88,0,0,0,0,0,0,0,0,0,2.01,0,32.99,0,0,0,34105.34,0,86572.31,10480.98
"Paper, pulp and print",x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35889.88,x,0,0,0,0,0,0,0,782.01,0,0,0,0,0,1576.2,2920,0,0,0,0,0,0,0,0,0,0,17255.69,621.87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18651.36,0,77698.01,17878.56
Wood and wood products,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1481.88,x,0,0,0,0,0,0,0,138,0,0,0,0,0,298.18,320,0,0,0,0,0,0,0,0,0,0,13415.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4994.1,0,20647.58,13415.43
Construction,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33985.09,x,0,0,0,0,0,0,0,138,0,0,0,0,0,4302.61,720,0,0,0,0,0,0,0,0,0,0,565.89,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8926.01,0,48639.6,567.9
Textile and leather,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6279.32,x,0,0,0,0,0,0,0,91.98,0,0,0,0,0,2044.79,800.01,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,3.01,0,0,0,7176.09,0,16447.22,55.01
Non-specified (industry),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28161.09,x,0,0,0,0,0,0,0,0,176.01,0,0,0,0,4813.82,1320.01,0,0,0,0,0,0,0,0,0,0,2376.55,95.96,0,0,0,0,0,0,0,0,0,0,0,4.98,0,0,0,19864.78,0,56813.2,2477.5
Transport,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5164.54,x,0,0,0,0,0,0,0,1196,196019.99,220.02,0,76238.99,0,848932.82,4319.98,0,0,0,0,0,0,0,0,0,0,0,0,8295.31,80722.89,0,0,0,0,0,0,0,0,0,1,0,0,0,16040.89,0,1237152.42,89019.2
Domestic aviation,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,220.02,0,76238.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76459.01,0
Road,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391.14,x,0,0,0,0,0,0,0,1196,195668,0,0,0,0,765777.61,0,0,0,0,0,0,0,0,0,0,0,0,0,8268.51,78055.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052357.16,86324.41
Rail,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,23941.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8573.14,0,32514.35,0
Pipeline transport,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domestic navigation,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,31438.81,4319.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35758.79,0
Non-specified (transport),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773.4,x,0,0,0,0,0,0,0,0,351.98,0,0,0,0,27775.19,0,0,0,0,0,0,0,0,0,0,0,0,0,26.75,2666.99,0,0,0,0,0,0,0,0,0,1,0,0,0,7467.74,0,40063.07,2694.75
Other,x,x,4306.5,0,2820.31,0,0,0,535.91,0,0,0,63.89,0,0,0,0,253902.16,x,0,0,0,0,0,0,0,59018.01,6380.01,0,0,0,0,170527.82,6999.99,0,0,0,0,0,31.99,0,0,0,0,108458.17,863.82,53.51,0,0,0,1108.79,0,0,0,0,733.86,0,9145.23,0,0,0,588083.04,0,1213033.02,120363.38
Residential,x,x,3914.99,0,671.52,0,0,0,0,0,0,0,5.4,0,0,0,0,146889.4,x,0,0,0,0,0,0,0,50186,0,0,0,0,0,60278.99,4240.01,0,0,0,0,0,0,0,0,0,0,102923.23,0,0,0,0,0,1108.79,0,0,0,0,427.93,0,7466.57,0,0,0,270365.46,0,648478.3,111926.52
Commercial and public services,x,x,0,0,0,0,0,0,0,0,0,0,58.49,0,0,0,0,67650.82,x,0,0,0,0,0,0,0,7360.02,5411.98,0,0,0,0,43878,2239.98,0,0,0,0,0,31.99,0,0,0,0,2878.47,125.98,26.75,0,0,0,0,0,0,0,0,122.97,0,1623.68,0,0,0,288815.18,0,420224.3,4777.85
Agriculture/forestry,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26444.37,x,0,0,0,0,0,0,0,1472,528,0,0,0,0,65092.81,520,0,0,0,0,0,0,0,0,0,0,2633.5,149.97,26.75,0,0,0,0,0,0,0,0,182.96,0,49.99,0,0,0,14416.99,0,111517.34,3043.18
Fishing,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,439.99,0,0,0,0,1192.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.98,0,0,0,0,0,1637.79,4.98
Non-specified (other),x,x,391.51,0,2148.79,0,0,0,535.91,0,0,0,0,0,0,0,0,12917.62,x,0,0,0,0,0,0,0,0,0,0,0,0,0,85.2,0,0,0,0,0,0,0,0,0,0,0,22.99,587.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14485.41,0,31175.29,610.85
