key,demand,full_load_hours
agriculture_chp_engine_network_gas,0.00000000000000E+00,3.60000000000000E+03
agriculture_chp_engine_biogas,0.00000000000000E+00,8.00000000000000E+03
agriculture_chp_supercritical_wood_pellets,0.00000000000000E+00,6.00000000000000E+03
households_collective_chp_network_gas,0.00000000000000E+00,4.00000000000000E+03
households_collective_chp_biogas,0.00000000000000E+00,8.00000000000000E+03
households_collective_chp_wood_pellets,0.00000000000000E+00,6.00000000000000E+03
buildings_collective_chp_network_gas,2.99979244609157E+02,4.00000000000000E+03
buildings_chp_engine_biogas,5.69389500000000E+03,8.00000000000000E+03
buildings_collective_chp_wood_pellets,0.00000000000000E+00,6.00000000000000E+03
industry_chp_turbine_gas_power_fuelmix,1.62471657285825E+05,6.00000000000000E+03
industry_chp_engine_gas_power_fuelmix,2.93996332231493E+04,6.00000000000000E+03
industry_chp_combined_cycle_gas_power_fuelmix,1.95997554820995E+04,6.00000000000000E+03
industry_chp_ultra_supercritical_coal,3.54900000000000E+04,7.00000000000000E+03
energy_chp_combined_cycle_network_gas,1.41248571428571E+05,4.50000000000000E+03
energy_chp_ultra_supercritical_cofiring_coal,1.10724324324324E+04,4.50000000000000E+03
energy_chp_ultra_supercritical_coal,5.68395000000000E+04,4.50000000000000E+03
energy_chp_ultra_supercritical_lignite,1.94091428571429E+04,7.00000000000000E+03
energy_chp_supercritical_waste_mix,2.78800000000000E+04,6.00000000000000E+03
