Key,Value,Source
country,nl,
base_year,2023,
services_final_demand_space_heating,127290.3374,RVO; 7_services_source_analysis_2023
services_final_demand_space_cooling,17646.16826,RVO; 7_services_source_analysis_2023
services_final_demand_lighting,30533.81924,RVO; 7_services_source_analysis_2023
ict_split,yes,
industry_final_demand_ict_electricity,20036.862,Eurostat; 7_services_source_analysis_2023
services_space_heating_share_gas_fired_heaters,0.721,CBS; 7_services_source_analysis_2023
services_space_heating_share_electric_heat_pump_with_storage,0.036,CBS; 7_services_source_analysis_2023
services_space_heating_share_gas_fired_heat_pumps,0,CBS; 7_services_source_analysis_2023
services_space_heating_share_electric_heaters,0.181,CBS; 7_services_source_analysis_2023
services_space_heating_share_coal_fired_heater,0,Assumed to be 0%
services_space_heating_share_oil_fired_heater,0,Assumed to be 0%
services_space_heating_share_air_heatpump,0.062,CBS; 7_services_source_analysis_2023
services_space_cooling_share_gas_fired_heat_pump,0,See 7_services_source_analysis_2023
services_space_cooling_share_electric_heat_pump,0.045,Allocate the same share as for heating; see 7_services_source_analysis_2023
services_space_cooling_share_airco,0.878,Allocate the rest to airconditioning; see 7_services_source_analysis_2023
services_space_cooling_share_air_heatpump,0.077,Allocate the same share as for heating; see 7_services_source_analysis_2023
buildings_lighting_standard_fluorescent_electricity,0.158335,European Commission; see 7_services_source_analysis_2023
buildings_lighting_efficient_fluorescent_electricity,0.158335,European Commission; see 7_services_source_analysis_2023
buildings_lighting_led_electricity,0.68333,European Commission; see 7_services_source_analysis_2023
services_biomass_used_in space_heating,1,
services_biomass_used_in appliances,0,
services_savings_lighting_motion_detection,0.039,
services_savings_lighting_daylight_control,0.053,
