Year,Coal,Lignite,Natural gas,Crude oil,Uranium oxide,Woody biomass
2.01000000000000E+03,3.54666290000000E+05,1.53462176000000E+06,4.05737470000000E+05,1.38800460000000E+05,1.53361416000000E+06,7.73521618413668E+05
2.01100000000000E+03,3.52869280000000E+05,1.59522506000000E+06,4.55935950000000E+05,1.44628230000000E+05,1.17896528000000E+06,7.90077386795111E+05
2.01200000000000E+03,3.16825830000000E+05,1.67593442000000E+06,4.00513560000000E+05,1.41223070000000E+05,1.08521349000000E+06,8.06633155176555E+05
2.01300000000000E+03,2.75403886666667E+05,1.65326525666667E+06,3.55421736666667E+05,1.43550720000000E+05,1.05724293333333E+06,8.23188923557999E+05
2.01400000000000E+03,2.33981943333333E+05,1.63059609333333E+06,3.10329913333333E+05,1.45878370000000E+05,1.02927237666667E+06,8.39744691939443E+05
2.01500000000000E+03,1.92560000000000E+05,1.60792693000000E+06,2.65238090000000E+05,1.48206020000000E+05,1.00130182000000E+06,8.56300460320886E+05
2.01600000000000E+03,1.87408275019626E+05,1.56475954019183E+06,2.95046415249913E+05,1.50460925034619E+05,8.71995847672109E+05,8.83992796584107E+05
2.01700000000000E+03,1.82256550039251E+05,1.52159215038366E+06,3.24854740499825E+05,1.52715830069238E+05,7.42689875344218E+05,9.11685132847327E+05
2.01800000000000E+03,1.77104825058877E+05,1.47842476057548E+06,3.54663065749738E+05,1.54970735103856E+05,6.13383903016326E+05,9.39377469110547E+05
2.01900000000000E+03,1.71953100078502E+05,1.43525737076731E+06,3.84471390999651E+05,1.57225640138475E+05,4.84077930688435E+05,9.67069805373767E+05
2.02000000000000E+03,1.66801375098128E+05,1.39208998095914E+06,4.14279716249563E+05,1.59480545173094E+05,3.54771958360544E+05,9.94762141636988E+05
2.02100000000000E+03,1.65331483135111E+05,1.37982256485658E+06,4.00661504033562E+05,1.52167025711000E+05,2.83817566688435E+05,9.84346513022494E+05
2.02200000000000E+03,1.63861591172093E+05,1.36755514875401E+06,3.87043291817561E+05,1.44853506248905E+05,2.12863175016327E+05,9.73930884408001E+05
2.02300000000000E+03,1.62391699209076E+05,1.35528773265145E+06,3.73425079601560E+05,1.37539986786811E+05,1.41908783344218E+05,9.63515255793507E+05
2.02400000000000E+03,1.60921807246059E+05,1.34302031654889E+06,3.59806867385558E+05,1.30226467324716E+05,7.09543916721088E+04,9.53099627179014E+05
2.02500000000000E+03,1.59451915283042E+05,1.33075290044632E+06,3.46188655169557E+05,1.22912947862622E+05,0.00000000000000E+00,9.42683998564521E+05
2.02600000000000E+03,1.53246979106059E+05,1.27896777889449E+06,3.28950070644944E+05,1.17233305318767E+05,0.00000000000000E+00,9.34834371505758E+05
2.02700000000000E+03,1.47042042929075E+05,1.22718265734266E+06,3.11711486120332E+05,1.11553662774912E+05,0.00000000000000E+00,9.26984744446996E+05
2.02800000000000E+03,1.40837106752092E+05,1.17539753579082E+06,2.94472901595719E+05,1.05874020231057E+05,0.00000000000000E+00,9.19135117388234E+05
2.02900000000000E+03,1.34632170575109E+05,1.12361241423899E+06,2.77234317071106E+05,1.00194377687202E+05,0.00000000000000E+00,9.11285490329471E+05
2.03000000000000E+03,1.28427234398125E+05,1.07182729268716E+06,2.59995732546493E+05,9.45147351433473E+04,0.00000000000000E+00,9.03435863270709E+05
2.03100000000000E+03,1.25148994426653E+05,1.04446777591590E+06,2.44830243978499E+05,9.01808075992786E+04,0.00000000000000E+00,9.02913670948440E+05
2.03200000000000E+03,1.21870754455180E+05,1.01710825914463E+06,2.29664755410504E+05,8.58468800552098E+04,0.00000000000000E+00,9.02391478626170E+05
2.03300000000000E+03,1.18592514483707E+05,9.89748742373371E+05,2.14499266842509E+05,8.15129525111411E+04,0.00000000000000E+00,9.01869286303900E+05
2.03400000000000E+03,1.15314274512235E+05,9.62389225602109E+05,1.99333778274515E+05,7.71790249670724E+04,0.00000000000000E+00,9.01347093981631E+05
2.03500000000000E+03,1.12036034540762E+05,9.35029708830846E+05,1.84168289706520E+05,7.28450974230036E+04,0.00000000000000E+00,9.00824901659361E+05
2.03600000000000E+03,1.11953843356004E+05,9.34343758101973E+05,1.70430028408787E+05,6.95104155879721E+04,0.00000000000000E+00,9.15092916557903E+05
2.03700000000000E+03,1.11871652171245E+05,9.33657807373100E+05,1.56691767111054E+05,6.61757337529406E+04,0.00000000000000E+00,9.29360931456445E+05
2.03800000000000E+03,1.11789460986486E+05,9.32971856644227E+05,1.42953505813322E+05,6.28410519179091E+04,0.00000000000000E+00,9.43628946354987E+05
2.03900000000000E+03,1.11707269801728E+05,9.32285905915354E+05,1.29215244515589E+05,5.95063700828776E+04,0.00000000000000E+00,9.57896961253529E+05
2.04000000000000E+03,1.11625078616969E+05,9.31599955186482E+05,1.15476983217856E+05,5.61716882478461E+04,0.00000000000000E+00,9.72164976152071E+05
2.04100000000000E+03,1.06330943553243E+05,8.87416192458373E+05,1.13789399156320E+05,5.36140429104226E+04,0.00000000000000E+00,9.77839077960177E+05
2.04200000000000E+03,1.01036808489517E+05,8.43232429730264E+05,1.12101815094784E+05,5.10563975729990E+04,0.00000000000000E+00,9.83513179768283E+05
2.04300000000000E+03,9.57426734257902E+04,7.99048667002156E+05,1.10414231033248E+05,4.84987522355754E+04,0.00000000000000E+00,9.89187281576389E+05
2.04400000000000E+03,9.04485383620638E+04,7.54864904274047E+05,1.08726646971712E+05,4.59411068981519E+04,0.00000000000000E+00,9.94861383384496E+05
2.04500000000000E+03,8.51544032983375E+04,7.10681141545938E+05,1.07039062910176E+05,4.33834615607283E+04,0.00000000000000E+00,1.00053548519260E+06
2.04600000000000E+03,9.32832396026452E+04,7.78522737992170E+05,1.05392047585209E+05,3.47067692485826E+04,0.00000000000000E+00,1.00316489467865E+06
2.04700000000000E+03,1.01412075906953E+05,8.46364334438402E+05,1.03745032260242E+05,2.60300769364370E+04,0.00000000000000E+00,1.00579430416470E+06
2.04800000000000E+03,1.09540912211261E+05,9.14205930884634E+05,1.02098016935276E+05,1.73533846242913E+04,0.00000000000000E+00,1.00842371365075E+06
2.04900000000000E+03,1.17669748515568E+05,9.82047527330866E+05,1.00451001610309E+05,8.67669231214566E+03,0.00000000000000E+00,1.01105312313680E+06
2.05000000000000E+03,1.25798584819876E+05,1.04988912377710E+06,9.88039862853422E+04,0.00000000000000E+00,0.00000000000000E+00,1.01368253262285E+06
