Code,Gebieden,inwoners_2019,woningen_2019,zonpvtj_won_2019,houtwontj_2019,houtskool_2019,warmwontier2_2019,gaswoningen_2019,el_woningen_tj_incl_zonachtermeter_2019
1680,Aa en Hunze,25386.0,11257.0,30.0,61.0,0.0,0.0,18.5,129.0
358,Aalsmeer,31728.0,13091.0,16.0,11.0,0.0,0.0,16.2,145.0
197,Aalten,27011.0,11971.0,23.0,55.0,0.0,1000.0,15.6,129.0
59,Achtkarspelen,27852.0,12118.0,21.0,21.0,0.0,0.0,17.1,121.0
482,Alblasserdam,20069.0,8324.0,6.0,15.0,0.0,4000.0,8.4,81.0
613,Albrandswaard,25271.0,10347.0,9.0,29.0,0.0,4000.0,11.5,110.0
361,Alkmaar,108558.0,51127.0,53.0,76.0,2.0,76000.0,52.6,459.0
141,Almelo,72849.0,33472.0,33.0,79.0,1.0,31000.0,37.4,319.0
34,Almere,207904.0,84161.0,107.0,137.0,3.0,1571000.0,33.1,892.0
484,Alphen aan den Rijn,110986.0,47753.0,59.0,82.0,2.0,3000.0,52.0,484.0
1723,Alphen-Chaam,10149.0,4342.0,7.0,17.0,0.0,0.0,6.8,57.0
1959,Altena,55386.0,22221.0,30.0,94.0,1.0,0.0,29.5,260.0
60,Ameland,3673.0,1731.0,2.0,2.0,0.0,0.0,2.6,18.0
307,Amersfoort,156286.0,67181.0,85.0,76.0,2.0,123000.0,66.6,644.0
362,Amstelveen,90838.0,42035.0,29.0,35.0,1.0,116000.0,45.2,405.0
363,Amsterdam,862965.0,441490.0,112.0,101.0,13.0,1778000.0,332.6,3152.0
200,Apeldoorn,162445.0,72445.0,91.0,147.0,3.0,89000.0,87.9,731.0
202,Arnhem,159265.0,75632.0,56.0,84.0,2.0,260000.0,71.9,651.0
106,Assen,67963.0,31570.0,59.0,80.0,1.0,1000.0,36.6,293.0
743,Asten,16710.0,6853.0,13.0,24.0,0.0,0.0,9.6,86.0
744,Baarle-Nassau,6847.0,2852.0,3.0,14.0,0.0,0.0,4.4,35.0
308,Baarn,24767.0,11647.0,11.0,17.0,0.0,0.0,15.9,115.0
489,Barendrecht,48673.0,19256.0,18.0,34.0,1.0,27000.0,19.1,213.0
203,Barneveld,57971.0,22249.0,36.0,69.0,1.0,0.0,29.6,256.0
888,Beek,15929.0,7485.0,18.0,26.0,0.0,0.0,10.4,83.0
1954,Beekdaelen,35727.0,16635.0,44.0,45.0,1.0,0.0,24.9,200.0
889,Beesel,13519.0,5959.0,13.0,27.0,0.0,7000.0,7.7,70.0
1945,Berg en Dal,34798.0,15619.0,23.0,61.0,1.0,1000.0,20.8,170.0
1724,Bergeijk,18491.0,7870.0,16.0,40.0,0.0,0.0,11.8,101.0
893,Bergen (L.),13140.0,5723.0,11.0,28.0,0.0,0.0,8.2,72.0
373,Bergen (NH.),29974.0,15209.0,25.0,48.0,0.0,3000.0,22.0,158.0
748,Bergen op Zoom,66811.0,30380.0,36.0,60.0,1.0,41000.0,32.5,309.0
1859,Berkelland,43904.0,19541.0,40.0,79.0,1.0,0.0,27.3,217.0
1721,Bernheze,30806.0,12451.0,22.0,61.0,0.0,0.0,17.7,160.0
753,Best,29821.0,12535.0,26.0,31.0,0.0,0.0,16.0,148.0
209,Beuningen,25882.0,11090.0,17.0,35.0,0.0,0.0,13.9,127.0
375,Beverwijk,41176.0,19280.0,18.0,18.0,1.0,0.0,20.2,178.0
1728,Bladel,20175.0,8618.0,15.0,34.0,0.0,0.0,11.5,103.0
376,Blaricum,11202.0,4941.0,4.0,20.0,0.0,18000.0,10.1,67.0
377,Bloemendaal,23410.0,9992.0,7.0,29.0,0.0,0.0,18.4,122.0
1901,Bodegraven-Reeuwijk,34462.0,14360.0,21.0,36.0,1.0,3000.0,17.8,155.0
