,,Metervraag aardgas,Metervraag aardgas,Metervraag aardgas,Metervraag elektriciteit,Metervraag elektriciteit,Metervraag elektriciteit,Metervraag elektriciteit,Metervraag warmtenet,Metervraag warmtenet,Metervraag waterstof,Metervraag waterstof,Metervraag biomassa,Metervraag biomassa,Metervraag olie,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal
,,koken,warm tapwater,ruimteverwarming,koken,warm tapwater,ruimteverwarming,hulpvraag,warm tapwater,ruimteverwarming,warm tapwater,ruimteverwarming,warm tapwater,ruimteverwarming,ruimteverwarming,aardgas,elektriciteit,warmtenet,waterstof,biomassa,olie,totaal
geo_id,bag_vbo_id,,,,,,,,,,,,,,,,,,,,,
GM0277,'0277010000000027',4.538737797495144,1.9451733417836337,18.31337894960484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2782023312552054,0.0,0.0,0.0,0.0,68.62318074779047,1.04759657
GM0277,'0277010000000028',4.721047570528536,2.0233061016550877,14.88783757763987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2366390959420304,0.0,0.0,0.0,0.0,57.63401414993761,1.04759657
GM0277,'0277010000000029',5.966167952593979,2.5569291225402773,21.643923932477037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186129437140546,0.0,0.0,0.0,0.0,82.1159453919,1.04759657
GM0277,'0277010000000030',5.12470209339296,2.196300897168412,11.40887487464549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1944276818123652,0.0,0.0,0.0,0.0,46.58238179222164,1.04759657
GM0277,'0277010000000031',6.129726851797874,2.627025793627661,16.84576576363249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2603952912654075,0.0,0.0,0.0,0.0,66.44789244499971,1.04759657
GM0277,'0277010000000032',5.12470209339296,2.196300897168412,11.40887487464549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1944276818123652,0.0,0.0,0.0,0.0,46.58238179222164,1.04759657
GM0277,'0277010000000033',6.423429386379966,2.752898308448557,13.43189045340106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2189736041679328,0.0,0.0,0.0,0.0,55.499096566208095,1.04759657
GM0277,'0277010000000034',5.12470209339296,2.196300897168412,11.40887487464549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1944276818123652,0.0,0.0,0.0,0.0,46.58238179222164,1.04759657
GM0277,'0277010000000035',4.765567521520804,2.0423860806517737,13.429734890768891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2189474500079958,0.0,0.0,0.0,0.0,52.79441954214437,1.04759657
GM0277,'0277010000000036',4.721047570528536,2.0233061016550877,15.04242511643332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2385147580793909,0.0,0.0,0.0,0.0,58.15118160805314,1.04759657
GM0277,'0277010000000037',6.129726851797874,2.627025793627661,17.256259764940804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2653759518146151,0.0,0.0,0.0,0.0,67.8211864432433,1.04759657
GM0277,'0277010000000038',4.721047570528536,2.0233061016550877,15.062191691135766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2387545925191139,0.0,0.0,0.0,0.0,58.21731002483435,1.04759657
GM0277,'0277010000000039',5.966167952593979,2.5569291225402773,23.267463603687077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3383118917247364,0.0,0.0,0.0,0.0,87.54889619551626,1.04759395
GM0277,'0277010000000040',5.966167952593979,2.5569291225402773,19.90427122840822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.297505157571353,0.0,0.0,0.0,0.0,76.29744821043337,1.0475868
GM0277,'0277010000000041',5.966167952593979,2.5569291225402773,22.95911379346224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3345705806940085,0.0,0.0,0.0,0.0,86.5173221837361,1.04759395
GM0277,'0277010000000042',5.966167952593979,2.5569291225402773,19.90427122840822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.297505157571353,0.0,0.0,0.0,0.0,76.29744821043337,1.0475868
GM0277,'0277010000000043',4.538737797495144,1.9451733417836337,21.589160177807667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3179484768240663,0.0,0.0,0.0,0.0,79.58361025550404,1.04759693
GM0277,'0277010000000044',5.966167952593979,2.5569291225402773,19.904327848755347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2975058445648982,0.0,0.0,0.0,0.0,76.29763763191734,1.04758978
GM0277,'0277010000000045',5.966167952593979,2.5569291225402773,26.528591619832127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3778802449872964,0.0,0.0,0.0,0.0,98.45889126926232,1.04759693
GM0277,'0277010000000046',5.966167952593979,2.5569291225402773,21.41727948944889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3158629911386466,0.0,0.0,0.0,0.0,81.35916691413624,1.04758978
GM0277,'0277010000000047',4.538737797495144,1.9451733417836337,22.46082454992963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3285246712058128,0.0,0.0,0.0,0.0,82.499734356959,1.04759693
GM0277,'0277010000000048',4.538737797495144,1.9451733417836337,20.717354405791557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3073705667902708,0.0,0.0,0.0,0.0,76.66701310541654,1.04758978
GM0277,'0277010000000049',6.272356690482831,2.688152867349786,40.57377624350028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54829515175447,0.0,0.0,0.0,0.0,146.21649915654018,1.04759502
GM0277,'0277010000000050',5.966167952593979,2.5569291225402773,20.343508764616544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3028345730106807,0.0,0.0,0.0,0.0,77.76690274656711,1.04758978
GM0277,'0277010000000051',4.538737797495144,1.9451733417836337,20.316083033595827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302501807474296,0.0,0.0,0.0,0.0,75.32457310544814,1.04759228
