utc_timestamp,cet_cest_timestamp,DE_wind_capacity,DE_wind_generation_actual,DE_wind_profile,DE_wind_offshore_capacity,DE_wind_offshore_generation_actual,DE_wind_offshore_profile,DE_wind_onshore_capacity,DE_wind_onshore_generation_actual,DE_wind_onshore_profile
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,38194,8644,0.2263,997,,,37197,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,38194,8814,0.2308,997,,,37197,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,38194,9054,0.2371,997,,,37197,,
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,38194,9070,0.2375,997,,,37197,,
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,38194,9164,0.2399,997,,,37197,,
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,38194,9232,0.2417,997,,,37197,,
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,38194,9688,0.2536,997,,,37197,,
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,38194,10331,0.2705,997,,,37197,,
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,38194,10208,0.2673,997,,,37197,,
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,38194,10029,0.2626,997,,,37197,,
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,38194,10550,0.2762,997,,,37197,,
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,38194,11390,0.2982,997,,,37197,,
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,38194,12103,0.3169,997,,,37197,,
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,38194,12505,0.3274,997,,,37197,,
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,38194,11921,0.3121,997,,,37197,,
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,38194,11851,0.3103,997,,,37197,,
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,38194,13582,0.3556,997,,,37197,,
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,38194,15436,0.4041,997,,,37197,,
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,38194,16868,0.4416,997,,,37197,,
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,38194,18008,0.4715,997,,,37197,,
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,38194,19181,0.5022,997,,,37197,,
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,38194,20352,0.5328,997,,,37197,,
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,38194,21236,0.556,997,,,37197,,
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,38194,22083,0.5782,997,,,37197,,
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,38204,22472,0.5882,997,,,37207,,
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,38204,23434,0.6134,997,,,37207,,
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,38204,24248,0.6347,997,,,37207,,
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,38204,25034,0.6553,997,,,37207,,
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,38204,25721,0.6732,997,,,37207,,
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,38204,26172,0.685,997,,,37207,,
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,38204,26355,0.6899,997,,,37207,,
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,38204,26193,0.6856,997,,,37207,,
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,38204,26590,0.696,997,,,37207,,
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,38204,25934,0.6789,997,,,37207,,
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,38204,25642,0.6712,997,,,37207,,
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,38204,25811,0.6756,997,,,37207,,
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,38204,25642,0.6712,997,,,37207,,
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,38204,25795,0.6752,997,,,37207,,
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,38204,25297,0.6622,997,,,37207,,
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,38204,24982,0.6539,997,,,37207,,
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,38204,24720,0.647,997,,,37207,,
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,38204,24301,0.6361,997,,,37207,,
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,38204,25010,0.6546,997,,,37207,,
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,38204,24783,0.6487,997,,,37207,,
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,38204,24279,0.6355,997,,,37207,,
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,38204,24367,0.6378,997,,,37207,,
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,38204,24546,0.6425,997,,,37207,,
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,38204,24626,0.6446,997,,,37207,,
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,38204,24076,0.6302,997,,,37207,,
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,38204,23277,0.6093,997,,,37207,,
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,38204,22117,0.5789,997,,,37207,,
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,38204,20918,0.5476,997,,,37207,,
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,38204,20291,0.5311,997,,,37207,,
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,38204,20508,0.5368,997,,,37207,,
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,38204,21327,0.5582,997,,,37207,,
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,38204,21946,0.5744,997,,,37207,,
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,38204,22980,0.6015,997,,,37207,,
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,38204,23419,0.613,997,,,37207,,
