Key,Value,Source
country,eu,
base_year,2011,
metal_steel_production,177.431,WorldSteel_crude steel production 2011
metal_steel_share_blast_furnace_current,0.95,best fit
metal_steel_share_blast_furnace_bat,0,assumption; no source
metal_steel_share_cyclone,0,assumption; no source
metal_steel_share_electric,0.05,best fit
metal_steel_burner_share_coal_gas,0.4085,matching checks
metal_steel_burner_share_network_gas,0.5915,matching checks
metal_aluminium_production,4,needs improvement
metal_aluminium_share_electrolysis_current,0.8,NL dataset
metal_aluminium_share_electrolysis_bat,0,NL dataset
metal_aluminium_share_melting_oven,0.2,needs improvement
metal_aluminium_share_carbothermal_reduction,0,NL dataset
