
[
lv_net_total_costs_present, AREA(lv_net_total_costs_present),
lv_net_costs_per_capacity_step, AREA(lv_net_costs_per_capacity_step),
mv_net_total_costs_present, AREA(mv_net_total_costs_present),
mv_net_costs_per_capacity_step, AREA(mv_net_costs_per_capacity_step),
hv_net_total_costs_present, AREA(hv_net_total_costs_present),
hv_net_costs_per_capacity_step, AREA(hv_net_costs_per_capacity_step),
lv_mv_trafo_total_costs_present, AREA(lv_mv_trafo_total_costs_present),
lv_mv_trafo_costs_per_capacity_step, AREA(lv_mv_trafo_costs_per_capacity_step),
mv_hv_trafo_total_costs_present, AREA(mv_hv_trafo_total_costs_present),
mv_hv_trafo_costs_per_capacity_step, AREA(mv_hv_trafo_costs_per_capacity_step),
offshore_suitable_for_wind, AREA(offshore_suitable_for_wind),
annual_infrastructure_cost_gas, AREA(annual_infrastructure_cost_gas),
input_transport_road_human_powered_bicycle_demand, SUM(Q(transport_bicycle_using_electricity_pkm),Q(transport_bicycle_using_human_energy_pkm)),
solar_PV_FLH, V(households_solar_pv_solar_radiation, full_load_hours),
back_up_heater_heat_efficiency, V(energy_heat_backup_burner_ht_network_gas, heat_output_conversion),
chemical_other_elec_gas_sum, SUM(V(industry_final_demand_for_chemical_other_electricity, industry_final_demand_for_chemical_other_network_gas, "demand/1000000")),
food_elec_gas_sum, SUM(V(industry_final_demand_for_other_food_electricity, industry_final_demand_for_other_food_network_gas, "demand/1000000")),
metal_other_elec_gas_sum,SUM(V(industry_other_metals_process_electricity, "demand/1000000"), V(industry_other_metals_burner_network_gas, "input_of_network_gas/1000000")),
paper_elec_gas_sum, SUM(V(industry_final_demand_for_other_paper_electricity, industry_final_demand_for_other_paper_network_gas, "demand/1000000")),
other_metals_coal,V(industry_other_metals_burner_network_gas, "input_of_coal/1000000"),
green_gas_share_in_network, V(energy_national_gas_network_natural_gas, greengas_input_conversion),
grid_losses_share, V(energy_power_hv_network_electricity, loss_output_conversion),
coal_cofiring_wood_share, V(energy_chp_ultra_supercritical_cofiring_ht_coal, wood_pellets_input_conversion),
biogas_chp_heat_efficiency, V(energy_chp_local_engine_ht_biogas, heat_output_conversion),
biogas_chp_e_efficiency, V(energy_chp_local_engine_ht_biogas, electricity_output_conversion),
network_gas_chp_e_efficiency, V(energy_chp_local_engine_ht_network_gas, electricity_output_conversion),
network_gas_chp_heat_efficiency, V(energy_chp_local_engine_ht_network_gas, heat_output_conversion),
industry_chp_turbine_hydrogen_e_efficiency, V(industry_chp_turbine_hydrogen, electricity_output_conversion),
