,input_industry_metal_steel_production,input_industry_steel_blastfurnace_bof_share,industry_final_demand_for_metal_steel_electricity_industry_steel_blastfurnace_bof_parent_share,industry_final_demand_for_metal_steel_network_gas_industry_steel_blastfurnace_bof_parent_share,industry_final_demand_for_metal_steel_coal_industry_steel_blastfurnace_bof_parent_share,industry_final_demand_for_metal_steel_crude_oil_industry_steel_blastfurnace_bof_parent_share,industry_final_demand_for_metal_steel_cokes_industry_steel_blastfurnace_bof_parent_share,industry_final_demand_for_metal_steel_steam_hot_water_industry_steel_blastfurnace_bof_parent_share,industry_final_demand_for_metal_steel_wood_pellets_industry_steel_blastfurnace_bof_parent_share
AT,7.424,0.904,0.7553889679512572,0.5833208430702448,0.9839209804918464,1.0,1.0,1.0,1.0
BE,7.76,0.675,0.4051552357909185,0.2359212472636697,0.9310182333169608,1.0,1.0,1.0,1.0
BG,0.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CY,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CZ,4.437,0.947,0.8542199198151581,0.7265019865540647,0.9914611744521652,1.0,1.0,1.0,1.0
DE,39.627,0.7,0.4334915170251447,0.2575460211796176,0.9381296443327636,1.0,1.0,1.0,1.0
DK,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EE,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ES,13.588,0.312,0.1294643297598732,0.0631597248453153,0.7466384384741045,1.0,1.0,1.0,1.0
FI,3.473,0.6679999999999999,0.3975307150573888,0.2302487585948367,0.9289520643536222,1.0,1.0,1.0,1.0
FR,14.45,0.696,0.4288374925548385,0.2539342492691077,0.9370190370322242,1.0,1.0,1.0,1.0
UK,7.218,0.7879999999999999,0.5493374611689258,0.3559127675004458,0.9602453095485056,1.0,1.0,1.0,1.0
EL,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,1.769,0.8009999999999999,0.5689671599083886,0.3743724196080944,0.963176670553874,1.0,1.0,1.0,1.0
IE,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IT,23.19,0.181,0.0675778913298491,0.0318100083175073,0.5895153156435112,1.0,1.0,1.0,1.0
LT,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LU,2.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LV,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NL,6.657,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PL,8.956,0.5489999999999999,0.2853071428831355,0.1532377633923456,0.8877717807632384,1.0,1.0,1.0,1.0
PT,2.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,3.448,0.6759999999999999,0.4062551846736491,0.2367446042136223,0.9313106477630848,1.0,1.0,1.0,1.0
SE,4.721,0.662,0.3910982714954333,0.2255099273818807,0.9271537797992924,1.0,1.0,1.0,1.0
SI,0.623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,3.6,0.9309999999999999,0.8156629112487876,0.6673208498527585,0.9887235903561581,1.0,1.0,1.0,1.0
