utc_timestamp,cet_cest_timestamp,UK_wind_offshore_generation_actual,UK_wind_onshore_generation_actual
2015-12-31T23:00:00Z,2016-01-01T00:00:00+0100,3186,4315
2016-01-01T00:00:00Z,2016-01-01T01:00:00+0100,3034,3678
2016-01-01T01:00:00Z,2016-01-01T02:00:00+0100,2328,3565
2016-01-01T02:00:00Z,2016-01-01T03:00:00+0100,1406,3167
2016-01-01T03:00:00Z,2016-01-01T04:00:00+0100,874,2941
2016-01-01T04:00:00Z,2016-01-01T05:00:00+0100,563,2780
2016-01-01T05:00:00Z,2016-01-01T06:00:00+0100,506,2616
2016-01-01T06:00:00Z,2016-01-01T07:00:00+0100,762,2486
2016-01-01T07:00:00Z,2016-01-01T08:00:00+0100,928,2761
2016-01-01T08:00:00Z,2016-01-01T09:00:00+0100,1072,3021
2016-01-01T09:00:00Z,2016-01-01T10:00:00+0100,1192,3310
2016-01-01T10:00:00Z,2016-01-01T11:00:00+0100,1588,3681
2016-01-01T11:00:00Z,2016-01-01T12:00:00+0100,2143,4012
2016-01-01T12:00:00Z,2016-01-01T13:00:00+0100,2481,3732
2016-01-01T13:00:00Z,2016-01-01T14:00:00+0100,2912,4461
2016-01-01T14:00:00Z,2016-01-01T15:00:00+0100,3242,4949
2016-01-01T15:00:00Z,2016-01-01T16:00:00+0100,3445,5312
2016-01-01T16:00:00Z,2016-01-01T17:00:00+0100,3646,5713
2016-01-01T17:00:00Z,2016-01-01T18:00:00+0100,3714,5930
2016-01-01T18:00:00Z,2016-01-01T19:00:00+0100,3692,5487
2016-01-01T19:00:00Z,2016-01-01T20:00:00+0100,3788,5508
2016-01-01T20:00:00Z,2016-01-01T21:00:00+0100,3788,5371
2016-01-01T21:00:00Z,2016-01-01T22:00:00+0100,3798,5134
2016-01-01T22:00:00Z,2016-01-01T23:00:00+0100,3837,5006
2016-01-01T23:00:00Z,2016-01-02T00:00:00+0100,3857,4889
2016-01-02T00:00:00Z,2016-01-02T01:00:00+0100,3825,4466
2016-01-02T01:00:00Z,2016-01-02T02:00:00+0100,3796,4935
2016-01-02T02:00:00Z,2016-01-02T03:00:00+0100,3765,4762
2016-01-02T03:00:00Z,2016-01-02T04:00:00+0100,3772,4990
2016-01-02T04:00:00Z,2016-01-02T05:00:00+0100,3734,5207
2016-01-02T05:00:00Z,2016-01-02T06:00:00+0100,3663,5058
2016-01-02T06:00:00Z,2016-01-02T07:00:00+0100,3635,4856
2016-01-02T07:00:00Z,2016-01-02T08:00:00+0100,3644,4689
2016-01-02T08:00:00Z,2016-01-02T09:00:00+0100,3378,4482
2016-01-02T09:00:00Z,2016-01-02T10:00:00+0100,3528,4206
2016-01-02T10:00:00Z,2016-01-02T11:00:00+0100,3620,4130
2016-01-02T11:00:00Z,2016-01-02T12:00:00+0100,3618,3945
2016-01-02T12:00:00Z,2016-01-02T13:00:00+0100,3472,3522
2016-01-02T13:00:00Z,2016-01-02T14:00:00+0100,3221,3346
2016-01-02T14:00:00Z,2016-01-02T15:00:00+0100,3117,3192
2016-01-02T15:00:00Z,2016-01-02T16:00:00+0100,3060,3045
2016-01-02T16:00:00Z,2016-01-02T17:00:00+0100,3058,3134
2016-01-02T17:00:00Z,2016-01-02T18:00:00+0100,3079,3175
2016-01-02T18:00:00Z,2016-01-02T19:00:00+0100,2754,3233
2016-01-02T19:00:00Z,2016-01-02T20:00:00+0100,2476,3297
2016-01-02T20:00:00Z,2016-01-02T21:00:00+0100,2451,3411
2016-01-02T21:00:00Z,2016-01-02T22:00:00+0100,2692,3477
2016-01-02T22:00:00Z,2016-01-02T23:00:00+0100,2945,3474
2016-01-02T23:00:00Z,2016-01-03T00:00:00+0100,2886,3519
2016-01-03T00:00:00Z,2016-01-03T01:00:00+0100,2746,3480
2016-01-03T01:00:00Z,2016-01-03T02:00:00+0100,2428,3421
2016-01-03T02:00:00Z,2016-01-03T03:00:00+0100,2341,3599
2016-01-03T03:00:00Z,2016-01-03T04:00:00+0100,2504,3727
2016-01-03T04:00:00Z,2016-01-03T05:00:00+0100,2372,3817
2016-01-03T05:00:00Z,2016-01-03T06:00:00+0100,2237,3964
2016-01-03T06:00:00Z,2016-01-03T07:00:00+0100,1910,3852
2016-01-03T07:00:00Z,2016-01-03T08:00:00+0100,2166,4309
2016-01-03T08:00:00Z,2016-01-03T09:00:00+0100,2666,4067
2016-01-03T09:00:00Z,2016-01-03T10:00:00+0100,3203,4141
2016-01-03T10:00:00Z,2016-01-03T11:00:00+0100,3186,4390
2016-01-03T11:00:00Z,2016-01-03T12:00:00+0100,3486,4725
2016-01-03T12:00:00Z,2016-01-03T13:00:00+0100,3636,4512
2016-01-03T13:00:00Z,2016-01-03T14:00:00+0100,3640,4796
2016-01-03T14:00:00Z,2016-01-03T15:00:00+0100,3418,4599
2016-01-03T15:00:00Z,2016-01-03T16:00:00+0100,3267,4521
2016-01-03T16:00:00Z,2016-01-03T17:00:00+0100,3112,4407
2016-01-03T17:00:00Z,2016-01-03T18:00:00+0100,3004,4521
2016-01-03T18:00:00Z,2016-01-03T19:00:00+0100,2714,4424
2016-01-03T19:00:00Z,2016-01-03T20:00:00+0100,1964,4352
2016-01-03T20:00:00Z,2016-01-03T21:00:00+0100,1532,4182
2016-01-03T21:00:00Z,2016-01-03T22:00:00+0100,1210,3933
2016-01-03T22:00:00Z,2016-01-03T23:00:00+0100,998,3704
