Year,Coal,Lignite,Natural gas,Crude oil,Uranium oxide,Bio-residues
2.01000000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.29200000000000E+06,7.21144268100000E+04,0.00000000000000E+00,2.70581395300000E+04
2.01100000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.15448000000000E+06,6.86804064900000E+04,0.00000000000000E+00,3.40872093000000E+04
2.01200000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.01696000000000E+06,6.52463861600000E+04,0.00000000000000E+00,4.11162790700000E+04
2.01300000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.85652000000000E+06,6.18123658400000E+04,0.00000000000000E+00,4.81453488400000E+04
2.01400000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.65024000000000E+06,5.93398712100000E+04,0.00000000000000E+00,5.51744186000000E+04
2.01500000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.58148000000000E+06,5.68673765700000E+04,0.00000000000000E+00,6.22034883700000E+04
2.01600000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.51272000000000E+06,5.43948819400000E+04,0.00000000000000E+00,6.92325581400000E+04
2.01700000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.48980000000000E+06,5.19223873100000E+04,0.00000000000000E+00,7.62616279100000E+04
2.01800000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.44396000000000E+06,4.94498926700000E+04,0.00000000000000E+00,8.32906976700000E+04
2.01900000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.44396000000000E+06,4.69773980400000E+04,0.00000000000000E+00,9.03197674400000E+04
2.02000000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.44396000000000E+06,4.45049034000000E+04,0.00000000000000E+00,9.73488372100000E+04
2.02100000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.37520000000000E+06,4.20324087700000E+04,0.00000000000000E+00,9.73488372100000E+04
2.02200000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.32936000000000E+06,3.95599141400000E+04,0.00000000000000E+00,9.73488372100000E+04
2.02300000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.14600000000000E+06,3.70874195000000E+04,0.00000000000000E+00,9.73488372100000E+04
2.02400000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.03140000000000E+06,3.58754123300000E+04,0.00000000000000E+00,9.73488372100000E+04
2.02500000000000E+03,0.00000000000000E+00,0.00000000000000E+00,8.93880000000000E+05,3.46634051600000E+04,0.00000000000000E+00,9.73488372100000E+04
2.02600000000000E+03,0.00000000000000E+00,0.00000000000000E+00,8.02200000000000E+05,3.34513979800000E+04,0.00000000000000E+00,9.73488372100000E+04
2.02700000000000E+03,0.00000000000000E+00,0.00000000000000E+00,7.10520000000000E+05,3.22393908100000E+04,0.00000000000000E+00,9.73488372100000E+04
2.02800000000000E+03,0.00000000000000E+00,0.00000000000000E+00,6.64680000000000E+05,3.10273836400000E+04,0.00000000000000E+00,9.73488372100000E+04
2.02900000000000E+03,0.00000000000000E+00,0.00000000000000E+00,5.95920000000000E+05,2.98153764600000E+04,0.00000000000000E+00,9.73488372100000E+04
2.03000000000000E+03,0.00000000000000E+00,0.00000000000000E+00,5.50080000000000E+05,2.86033692900000E+04,0.00000000000000E+00,9.73488372100000E+04
2.03100000000000E+03,0.00000000000000E+00,0.00000000000000E+00,4.62984000000000E+05,2.73913621200000E+04,0.00000000000000E+00,9.73488372100000E+04
2.03200000000000E+03,0.00000000000000E+00,0.00000000000000E+00,3.75888000000000E+05,2.61793549400000E+04,0.00000000000000E+00,9.73488372100000E+04
2.03300000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.88792000000000E+05,2.49673477700000E+04,0.00000000000000E+00,9.73488372100000E+04
2.03400000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.01696000000000E+05,2.37553406000000E+04,0.00000000000000E+00,9.73488372100000E+04
2.03500000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.14600000000000E+05,2.25433334200000E+04,0.00000000000000E+00,9.73488372100000E+04
2.03600000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.75040000000000E+04,2.13313262500000E+04,0.00000000000000E+00,9.73488372100000E+04
2.03700000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.01193190800000E+04,0.00000000000000E+00,9.73488372100000E+04
2.03800000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.89073119000000E+04,0.00000000000000E+00,9.73488372100000E+04
2.03900000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.76953047300000E+04,0.00000000000000E+00,9.73488372100000E+04
2.04000000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.64832975600000E+04,0.00000000000000E+00,9.73488372100000E+04
2.04100000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.52712903800000E+04,0.00000000000000E+00,9.73488372100000E+04
2.04200000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.40592832100000E+04,0.00000000000000E+00,9.73488372100000E+04
2.04300000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.28472760400000E+04,0.00000000000000E+00,9.73488372100000E+04
2.04400000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.16352688600000E+04,0.00000000000000E+00,9.73488372100000E+04
2.04500000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.04232616900000E+04,0.00000000000000E+00,9.73488372100000E+04
2.04600000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,9.21125451700000E+03,0.00000000000000E+00,9.73488372100000E+04
2.04700000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,7.99924734400000E+03,0.00000000000000E+00,9.73488372100000E+04
2.04800000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,6.78724017100000E+03,0.00000000000000E+00,9.73488372100000E+04
2.04900000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.57523299700000E+03,0.00000000000000E+00,9.73488372100000E+04
2.05000000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,4.36322582400000E+03,0.00000000000000E+00,9.73488372100000E+04
