party,category,classification,measure,gas,unit,year,numberValue,stringValue
DNK,1.  Energy,Total for category,Emission factor information,CH4,no unit,1990,,"CR,CS,D,OTH,PS"
DNK,1.  Energy,Total for category,Emission factor information,CH4,no unit,2019,,"CR,CS,D,OTH,PS"
DNK,1.  Energy,Total for category,Emission factor information,CO2,no unit,1990,,"CS,D,PS"
DNK,1.  Energy,Total for category,Emission factor information,CO2,no unit,2019,,"CS,D,PS"
DNK,1.  Energy,Total for category,Emission factor information,N2O,no unit,1990,,"CR,CS,D,OTH"
DNK,1.  Energy,Total for category,Emission factor information,N2O,no unit,2019,,"CR,CS,D,OTH"
DNK,1.  Energy,Total for category,Indirect emissions,CO2,kt,1990,1101.12910643031,
DNK,1.  Energy,Total for category,Indirect emissions,CO2,kt,2019,271.809038809449,
DNK,1.  Energy,Total for category,Indirect emissions,N2O,kt,1990,1.62289960861585,
DNK,1.  Energy,Total for category,Indirect emissions,N2O,kt,2019,0.72311693503363,
DNK,1.  Energy,Total for category,Method,CH4,no unit,1990,,"CR,CS,M,T1,T2,T3"
DNK,1.  Energy,Total for category,Method,CH4,no unit,2019,,"CR,CS,M,T1,T2,T3"
DNK,1.  Energy,Total for category,Method,CO2,no unit,1990,,"CR,CS,M,T1,T2,T3"
DNK,1.  Energy,Total for category,Method,CO2,no unit,2019,,"CR,CS,M,T1,T2,T3"
DNK,1.  Energy,Total for category,Method,N2O,no unit,1990,,"CR,CS,M,T1,T2,T3"
DNK,1.  Energy,Total for category,Method,N2O,no unit,2019,,"CR,CS,M,T1,T2,T3"
DNK,1.  Energy,Total for category,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,1990,53699.694256270166,
DNK,1.  Energy,Total for category,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,2019,31698.46954166118,
DNK,1.  Energy,Total for category,Net emissions/removals,CH4,kt,1990,16.51711652026391,
DNK,1.  Energy,Total for category,Net emissions/removals,CH4,kt,2019,14.61946452390549,
DNK,1.  Energy,Total for category,Net emissions/removals,CO,kt,1990,703.2318634518036,
DNK,1.  Energy,Total for category,Net emissions/removals,CO,kt,2019,204.16464547389063,
DNK,1.  Energy,Total for category,Net emissions/removals,CO2,kt,1990,52961.890525757524,
DNK,1.  Energy,Total for category,Net emissions/removals,CO2,kt,2019,30971.049749304006,
DNK,1.  Energy,Total for category,Net emissions/removals,NH3,kt,1990,1.48532988063789,
DNK,1.  Energy,Total for category,Net emissions/removals,NH3,kt,2019,2.43957657527125,
DNK,1.  Energy,Total for category,Net emissions/removals,NMVOC,kt,1990,105.6985783194629,
DNK,1.  Energy,Total for category,Net emissions/removals,NMVOC,kt,2019,29.93457278891972,
DNK,1.  Energy,Total for category,Net emissions/removals,NOx,kt,1990,271.2387199529763,
DNK,1.  Energy,Total for category,Net emissions/removals,NOx,kt,2019,80.98601972872716,
DNK,1.  Energy,Total for category,Net emissions/removals,N2O,kt,1990,1.03896025639719,
DNK,1.  Energy,Total for category,Net emissions/removals,N2O,kt,2019,1.20028221014272,
DNK,1.  Energy,Total for category,Net emissions/removals,SO2,kt,1990,174.17951789678017,
DNK,1.  Energy,Total for category,Net emissions/removals,SO2,kt,2019,8.27184452434554,
DNK,1.  Energy,Total for category,unknown measure nr. 19496,CH4,kt,1990,16.51711652026391,
DNK,1.  Energy,Total for category,unknown measure nr. 19496,CH4,kt,2019,14.61946452390549,
DNK,1.  Energy,Total for category,unknown measure nr. 19496,N2O,kt,1990,1.03896025639719,
DNK,1.  Energy,Total for category,unknown measure nr. 19496,N2O,kt,2019,1.20028221014272,
DNK,1.  Energy,Total for category,unknown measure nr. 19497,CO2,kt,1990,1101.12910643031,
DNK,1.  Energy,Total for category,unknown measure nr. 19497,CO2,kt,2019,271.809038809449,
DNK,1.A.1  Energy Industries,Biomass,Amount captured,CO2,kt,1990,,NO
DNK,1.A.1  Energy Industries,Biomass,Amount captured,CO2,kt,2019,,NO
DNK,1.A.1  Energy Industries,Biomass,Fuel Consumption,No gas,TJ,1990,16385.6059484193,
DNK,1.A.1  Energy Industries,Biomass,Fuel Consumption,No gas,TJ,2019,108553.53376948132,
DNK,1.A.1  Energy Industries,Biomass,Implied emission factor,CH4,kg/TJ,1990,9.80993445412414,
DNK,1.A.1  Energy Industries,Biomass,Implied emission factor,CH4,kg/TJ,2019,19.51105386754173,
DNK,1.A.1  Energy Industries,Biomass,Implied emission factor,CO2,t/TJ,1990,102.13271502356073,
DNK,1.A.1  Energy Industries,Biomass,Implied emission factor,CO2,t/TJ,2019,100.5008342609568,
DNK,1.A.1  Energy Industries,Biomass,Implied emission factor,N2O,kg/TJ,1990,2.3168237782883,
DNK,1.A.1  Energy Industries,Biomass,Implied emission factor,N2O,kg/TJ,2019,1.55359043374822,
DNK,1.A.1  Energy Industries,Biomass,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,1990,1688.0672697809173,
DNK,1.A.1  Energy Industries,Biomass,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,2019,11013.716182342358,
DNK,1.A.1  Energy Industries,Biomass,Net emissions/removals,CH4,kt,1990,0.1607417203451,
DNK,1.A.1  Energy Industries,Biomass,Net emissions/removals,CH4,kt,2019,2.11799384488836,
DNK,1.A.1  Energy Industries,Biomass,Net emissions/removals,CO2,kt,1990,1673.50642281827,
DNK,1.A.1  Energy Industries,Biomass,Net emissions/removals,CO2,kt,2019,10909.720705807818,
DNK,1.A.1  Energy Industries,Biomass,Net emissions/removals,N2O,kt,1990,0.03796256148296,
DNK,1.A.1  Energy Industries,Biomass,Net emissions/removals,N2O,kt,2019,0.16864773161383,
