,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,-1.49339800000000E+04,-2.77328200000000E+04,1.70637200000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Coke ovens,-3.98942336277285E+04,2.77328200000000E+04,7.68856484301405E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Energy industry own use,,,,,,,,,
Coke ovens,0.00000000000000E+00,-,4.63995968834025E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.35611265487971E+01,0.00000000000000E+00
Blast furnaces,-,-,-,-,-,-,-,-,-
Total final consumption,,,,,,,,,
Industry - Steel,0.00000000000000E+00,-,1.12448381993261E+04,1.22998519719920E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.93967007961118E+04,0.00000000000000E+00
Industry - Aluminium,0.00000000000000E+00,-,0.00000000000000E+00,2.84666666666667E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,3.29224000000000E+03,0.00000000000000E+00
Industry - Other metals,9.46569500955685E+03,-,-,1.04057908837875E+04,1.30564400000000E+04,0.00000000000000E+00,0.00000000000000E+00,6.31433092038882E+04,1.00100000000000E+01
