key,value,comment
households_final_demand_for_space_heating_electricity_households_space_heater_heatpump_air_water_electricity_parent_share,0.233094943,Derived from EU dataset from annual POTEnCIA report on country energy consumption (2019) https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/POTEnCIA/Central_2018/
households_final_demand_for_space_heating_electricity_households_space_heater_heatpump_ground_water_electricity_parent_share,0.016909362,Derived from EU dataset from annual POTEnCIA report on country energy consumption (2019) https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/POTEnCIA/Central_2018/
households_final_demand_for_space_heating_electricity_households_space_heater_hybrid_heatpump_air_water_electricity_parent_share,0,Derived from EU dataset from annual POTEnCIA report on country energy consumption (2019) https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/POTEnCIA/Central_2018/
households_final_demand_for_space_heating_network_gas_households_space_heater_combined_network_gas_parent_share,0.96,Derived from EU dataset from annual POTEnCIA report on country energy consumption (2019) https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/POTEnCIA/Central_2018/
households_final_demand_for_space_heating_network_gas_households_space_heater_hybrid_heatpump_air_water_electricity_parent_share,0,Derived from EU dataset from annual POTEnCIA report on country energy consumption (2019) https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/POTEnCIA/Central_2018/
households_final_demand_for_space_heating_network_gas_households_space_heater_network_gas_parent_share,0.04,Derived from EU dataset from annual POTEnCIA report on country energy consumption (2019) https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/POTEnCIA/Central_2018/
households_final_demand_network_gas_households_final_demand_for_cooking_network_gas_parent_share,0.058675769,Calculated from final energy consumption in households per application per carrier of EU27 dataset: https://doi.org/10.2908/NRG_D_HHQ
households_final_demand_network_gas_households_final_demand_for_cooling_network_gas_parent_share,0,Calculated from final energy consumption in households per application per carrier of EU27 dataset: https://doi.org/10.2908/NRG_D_HHQ
households_final_demand_network_gas_households_final_demand_for_hot_water_network_gas_parent_share,0.189629302,Calculated from final energy consumption in households per application per carrier of EU27 dataset: https://doi.org/10.2908/NRG_D_HHQ
households_final_demand_network_gas_households_final_demand_for_space_heating_network_gas_parent_share,0.751694929,Calculated from final energy consumption in households per application per carrier of EU27 dataset: https://doi.org/10.2908/NRG_D_HHQ
households_final_demand_wood_pellets_households_final_demand_for_cooking_wood_pellets_parent_share,0.012549397,Calculated from final energy consumption in households per application per carrier of EU27 dataset: https://doi.org/10.2908/NRG_D_HHQ
households_final_demand_wood_pellets_households_final_demand_for_hot_water_wood_pellets_parent_share,0.060235528,Calculated from final energy consumption in households per application per carrier of EU27 dataset: https://doi.org/10.2908/NRG_D_HHQ
households_final_demand_wood_pellets_households_final_demand_for_space_heating_wood_pellets_parent_share,0.927215076,Calculated from final energy consumption in households per application per carrier of EU27 dataset: https://doi.org/10.2908/NRG_D_HHQ
input_households_final_demand_steam_hot_water_households_final_demand_for_hot_water_steam_hot_water_parent_share,0.225876298,Calculated from final energy consumption in households per application per carrier of EU27 dataset: https://doi.org/10.2908/NRG_D_HHQ
input_households_final_demand_steam_hot_water_households_final_demand_for_space_heating_steam_hot_water_parent_share,0.774123702,Calculated from final energy consumption in households per application per carrier of EU27 dataset: https://doi.org/10.2908/NRG_D_HHQ
households_final_demand_coal_demand,,
households_final_demand_electricity_demand,,
households_final_demand_network_gas_demand,,
households_final_demand_wood_pellets_demand,,
input_households_final_demand_crude_oil_demand,,
input_households_final_demand_steam_hot_water_demand,,
input_percentage_of_bio_kerosene_households_final_demand_crude_oil,,
input_percentage_of_bio_oil_households_final_demand_crude_oil,,
input_percentage_of_biodiesel_households_final_demand_crude_oil,,
input_percentage_of_crude_oil_households_final_demand_crude_oil,,
input_percentage_of_diesel_households_final_demand_crude_oil,,
input_percentage_of_ht_steam_hot_water_households_final_demand_steam_hot_water,1,All heat to HT
input_percentage_of_kerosene_households_final_demand_crude_oil,,
input_percentage_of_lpg_households_final_demand_crude_oil,,
input_percentage_of_lt_steam_hot_water_households_final_demand_steam_hot_water,0,All heat to HT
