,,BIODIESEL,BIOMASS,BIOMASS GASIFICATION,COAL,COMPRESSED AIR,HYDROGEN,NATURAL GAS,OIL,OTHER,OTHER GAS,SOLAR,STEAM,URANIUM,WASTE,WASTE GAS,WATER,WIND
Power,Other,,56.2,,0,,0,0,0,,0,,0,0,72,,3.5,1062.6
,Combined Cycle,,,,0,,,25497.25,118.3,,7.9,,,,,,,
,Fuel Cell Electroche,,,,,,,,,,,,,,,,,
,Gas Combustion Turbi,,,,,,,394.8,521.6,,20.76,,,,,,,
,Geothermal Steam Tur,,,,,,,,,,,,,,,,,
,Hydro,,,,,,,,,,,,,,,,1484.87,
,Internal Combustion,,,0.2,,,,92.5,217.6,,180.07,,,,,,,
,Nuclear,,,,,,,,,,,,,10797,,,,
,Pumped Storage,,,,,,,,,,,,,,,,2793.5,
,Solar,,,,,,,,,,,766,,,,,,
,Steam Turbine,,936,,27012,,,23,4028,,,,,,34,,,
,Wind Turbine,,,,,,,,,,,,,,,,,5056.8
,,,,,,,,,,,,,,,,,,
CHP,Other,20,8,,,,,0,0,,0,,,,100,0,,
,Combined Cycle,,,,,,,6041.9,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Gas Combustion Turbi,,,,,,,857.25,,,,,,,,,,
,Geothermal Steam Tur,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Internal Combustion,,,,,,,152.38,,2,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Steam Turbine,,62.7,,133,,,1357,10,,,,,,127.97,,,
,,,,,,,,,,,,,,,,,,
