utc_timestamp,cet_cest_timestamp,DK_solar_generation_actual
2016-12-31T23:00:00Z,2017-01-01T00:00:00+0100,0
2017-01-01T00:00:00Z,2017-01-01T01:00:00+0100,0
2017-01-01T01:00:00Z,2017-01-01T02:00:00+0100,0
2017-01-01T02:00:00Z,2017-01-01T03:00:00+0100,0
2017-01-01T03:00:00Z,2017-01-01T04:00:00+0100,0
2017-01-01T04:00:00Z,2017-01-01T05:00:00+0100,0
2017-01-01T05:00:00Z,2017-01-01T06:00:00+0100,0
2017-01-01T06:00:00Z,2017-01-01T07:00:00+0100,0
2017-01-01T07:00:00Z,2017-01-01T08:00:00+0100,0.04
2017-01-01T08:00:00Z,2017-01-01T09:00:00+0100,2.39
2017-01-01T09:00:00Z,2017-01-01T10:00:00+0100,11.56
2017-01-01T10:00:00Z,2017-01-01T11:00:00+0100,24.45
2017-01-01T11:00:00Z,2017-01-01T12:00:00+0100,32.15
2017-01-01T12:00:00Z,2017-01-01T13:00:00+0100,34.4
2017-01-01T13:00:00Z,2017-01-01T14:00:00+0100,19.65
2017-01-01T14:00:00Z,2017-01-01T15:00:00+0100,3.95
2017-01-01T15:00:00Z,2017-01-01T16:00:00+0100,0.02
2017-01-01T16:00:00Z,2017-01-01T17:00:00+0100,0
2017-01-01T17:00:00Z,2017-01-01T18:00:00+0100,0
2017-01-01T18:00:00Z,2017-01-01T19:00:00+0100,0
2017-01-01T19:00:00Z,2017-01-01T20:00:00+0100,0
2017-01-01T20:00:00Z,2017-01-01T21:00:00+0100,0
2017-01-01T21:00:00Z,2017-01-01T22:00:00+0100,0
2017-01-01T22:00:00Z,2017-01-01T23:00:00+0100,0
2017-01-01T23:00:00Z,2017-01-02T00:00:00+0100,0
2017-01-02T00:00:00Z,2017-01-02T01:00:00+0100,0
2017-01-02T01:00:00Z,2017-01-02T02:00:00+0100,0
2017-01-02T02:00:00Z,2017-01-02T03:00:00+0100,0
2017-01-02T03:00:00Z,2017-01-02T04:00:00+0100,0
2017-01-02T04:00:00Z,2017-01-02T05:00:00+0100,0.01
2017-01-02T05:00:00Z,2017-01-02T06:00:00+0100,0
2017-01-02T06:00:00Z,2017-01-02T07:00:00+0100,0
2017-01-02T07:00:00Z,2017-01-02T08:00:00+0100,0.63
2017-01-02T08:00:00Z,2017-01-02T09:00:00+0100,22.28
2017-01-02T09:00:00Z,2017-01-02T10:00:00+0100,86.19
2017-01-02T10:00:00Z,2017-01-02T11:00:00+0100,156.52
2017-01-02T11:00:00Z,2017-01-02T12:00:00+0100,183.82
2017-01-02T12:00:00Z,2017-01-02T13:00:00+0100,155.23
2017-01-02T13:00:00Z,2017-01-02T14:00:00+0100,81.85
2017-01-02T14:00:00Z,2017-01-02T15:00:00+0100,13.65
2017-01-02T15:00:00Z,2017-01-02T16:00:00+0100,0.08
2017-01-02T16:00:00Z,2017-01-02T17:00:00+0100,0
2017-01-02T17:00:00Z,2017-01-02T18:00:00+0100,0
2017-01-02T18:00:00Z,2017-01-02T19:00:00+0100,0
2017-01-02T19:00:00Z,2017-01-02T20:00:00+0100,0
2017-01-02T20:00:00Z,2017-01-02T21:00:00+0100,0
2017-01-02T21:00:00Z,2017-01-02T22:00:00+0100,0
2017-01-02T22:00:00Z,2017-01-02T23:00:00+0100,0
2017-01-02T23:00:00Z,2017-01-03T00:00:00+0100,0
2017-01-03T00:00:00Z,2017-01-03T01:00:00+0100,0
2017-01-03T01:00:00Z,2017-01-03T02:00:00+0100,0
2017-01-03T02:00:00Z,2017-01-03T03:00:00+0100,0
2017-01-03T03:00:00Z,2017-01-03T04:00:00+0100,0
2017-01-03T04:00:00Z,2017-01-03T05:00:00+0100,0
2017-01-03T05:00:00Z,2017-01-03T06:00:00+0100,0
2017-01-03T06:00:00Z,2017-01-03T07:00:00+0100,0
2017-01-03T07:00:00Z,2017-01-03T08:00:00+0100,0.06
2017-01-03T08:00:00Z,2017-01-03T09:00:00+0100,2.87
2017-01-03T09:00:00Z,2017-01-03T10:00:00+0100,13.26
2017-01-03T10:00:00Z,2017-01-03T11:00:00+0100,18.75
2017-01-03T11:00:00Z,2017-01-03T12:00:00+0100,21.91
2017-01-03T12:00:00Z,2017-01-03T13:00:00+0100,21.89
2017-01-03T13:00:00Z,2017-01-03T14:00:00+0100,11.27
2017-01-03T14:00:00Z,2017-01-03T15:00:00+0100,2.3
2017-01-03T15:00:00Z,2017-01-03T16:00:00+0100,0.02
2017-01-03T16:00:00Z,2017-01-03T17:00:00+0100,0.24
2017-01-03T17:00:00Z,2017-01-03T18:00:00+0100,0
2017-01-03T18:00:00Z,2017-01-03T19:00:00+0100,0
2017-01-03T19:00:00Z,2017-01-03T20:00:00+0100,0
2017-01-03T20:00:00Z,2017-01-03T21:00:00+0100,0
2017-01-03T21:00:00Z,2017-01-03T22:00:00+0100,0
2017-01-03T22:00:00Z,2017-01-03T23:00:00+0100,0
2017-01-03T23:00:00Z,2017-01-04T00:00:00+0100,0
2017-01-04T00:00:00Z,2017-01-04T01:00:00+0100,0
2017-01-04T01:00:00Z,2017-01-04T02:00:00+0100,0
2017-01-04T02:00:00Z,2017-01-04T03:00:00+0100,0
2017-01-04T03:00:00Z,2017-01-04T04:00:00+0100,0
2017-01-04T04:00:00Z,2017-01-04T05:00:00+0100,0
2017-01-04T05:00:00Z,2017-01-04T06:00:00+0100,0
2017-01-04T06:00:00Z,2017-01-04T07:00:00+0100,0
2017-01-04T07:00:00Z,2017-01-04T08:00:00+0100,0.29
2017-01-04T08:00:00Z,2017-01-04T09:00:00+0100,17.55
2017-01-04T09:00:00Z,2017-01-04T10:00:00+0100,61.26
2017-01-04T10:00:00Z,2017-01-04T11:00:00+0100,98.89
2017-01-04T11:00:00Z,2017-01-04T12:00:00+0100,102.25
2017-01-04T12:00:00Z,2017-01-04T13:00:00+0100,74.64
2017-01-04T13:00:00Z,2017-01-04T14:00:00+0100,52.61
2017-01-04T14:00:00Z,2017-01-04T15:00:00+0100,13.94
2017-01-04T15:00:00Z,2017-01-04T16:00:00+0100,0.13
2017-01-04T16:00:00Z,2017-01-04T17:00:00+0100,0.01
2017-01-04T17:00:00Z,2017-01-04T18:00:00+0100,0
2017-01-04T18:00:00Z,2017-01-04T19:00:00+0100,0
2017-01-04T19:00:00Z,2017-01-04T20:00:00+0100,0
2017-01-04T20:00:00Z,2017-01-04T21:00:00+0100,0
2017-01-04T21:00:00Z,2017-01-04T22:00:00+0100,0
2017-01-04T22:00:00Z,2017-01-04T23:00:00+0100,0
2017-01-04T23:00:00Z,2017-01-05T00:00:00+0100,0
2017-01-05T00:00:00Z,2017-01-05T01:00:00+0100,0
2017-01-05T01:00:00Z,2017-01-05T02:00:00+0100,0
2017-01-05T02:00:00Z,2017-01-05T03:00:00+0100,0
2017-01-05T03:00:00Z,2017-01-05T04:00:00+0100,0
2017-01-05T04:00:00Z,2017-01-05T05:00:00+0100,0
2017-01-05T05:00:00Z,2017-01-05T06:00:00+0100,0
2017-01-05T06:00:00Z,2017-01-05T07:00:00+0100,0
2017-01-05T07:00:00Z,2017-01-05T08:00:00+0100,0.38
2017-01-05T08:00:00Z,2017-01-05T09:00:00+0100,16.68
2017-01-05T09:00:00Z,2017-01-05T10:00:00+0100,65.78
2017-01-05T10:00:00Z,2017-01-05T11:00:00+0100,116.8
2017-01-05T11:00:00Z,2017-01-05T12:00:00+0100,129.91
2017-01-05T12:00:00Z,2017-01-05T13:00:00+0100,109.91
2017-01-05T13:00:00Z,2017-01-05T14:00:00+0100,74.93
2017-01-05T14:00:00Z,2017-01-05T15:00:00+0100,19.54
2017-01-05T15:00:00Z,2017-01-05T16:00:00+0100,0.26
2017-01-05T16:00:00Z,2017-01-05T17:00:00+0100,0
2017-01-05T17:00:00Z,2017-01-05T18:00:00+0100,0.01
2017-01-05T18:00:00Z,2017-01-05T19:00:00+0100,0
2017-01-05T19:00:00Z,2017-01-05T20:00:00+0100,0
2017-01-05T20:00:00Z,2017-01-05T21:00:00+0100,0
2017-01-05T21:00:00Z,2017-01-05T22:00:00+0100,0
2017-01-05T22:00:00Z,2017-01-05T23:00:00+0100,0
2017-01-05T23:00:00Z,2017-01-06T00:00:00+0100,0
2017-01-06T00:00:00Z,2017-01-06T01:00:00+0100,0
2017-01-06T01:00:00Z,2017-01-06T02:00:00+0100,0
2017-01-06T02:00:00Z,2017-01-06T03:00:00+0100,0
2017-01-06T03:00:00Z,2017-01-06T04:00:00+0100,0
2017-01-06T04:00:00Z,2017-01-06T05:00:00+0100,0.01
2017-01-06T05:00:00Z,2017-01-06T06:00:00+0100,0
2017-01-06T06:00:00Z,2017-01-06T07:00:00+0100,0.01
2017-01-06T07:00:00Z,2017-01-06T08:00:00+0100,0.81
2017-01-06T08:00:00Z,2017-01-06T09:00:00+0100,28.82
2017-01-06T09:00:00Z,2017-01-06T10:00:00+0100,90.72
2017-01-06T10:00:00Z,2017-01-06T11:00:00+0100,143.23
2017-01-06T11:00:00Z,2017-01-06T12:00:00+0100,151.48
2017-01-06T12:00:00Z,2017-01-06T13:00:00+0100,120.05
2017-01-06T13:00:00Z,2017-01-06T14:00:00+0100,63.26
2017-01-06T14:00:00Z,2017-01-06T15:00:00+0100,13.76
2017-01-06T15:00:00Z,2017-01-06T16:00:00+0100,0.09
2017-01-06T16:00:00Z,2017-01-06T17:00:00+0100,0
2017-01-06T17:00:00Z,2017-01-06T18:00:00+0100,0
2017-01-06T18:00:00Z,2017-01-06T19:00:00+0100,0
2017-01-06T19:00:00Z,2017-01-06T20:00:00+0100,0
2017-01-06T20:00:00Z,2017-01-06T21:00:00+0100,0
2017-01-06T21:00:00Z,2017-01-06T22:00:00+0100,0
2017-01-06T22:00:00Z,2017-01-06T23:00:00+0100,0
2017-01-06T23:00:00Z,2017-01-07T00:00:00+0100,0
2017-01-07T00:00:00Z,2017-01-07T01:00:00+0100,0
2017-01-07T01:00:00Z,2017-01-07T02:00:00+0100,0
2017-01-07T02:00:00Z,2017-01-07T03:00:00+0100,0
2017-01-07T03:00:00Z,2017-01-07T04:00:00+0100,0
2017-01-07T04:00:00Z,2017-01-07T05:00:00+0100,0
2017-01-07T05:00:00Z,2017-01-07T06:00:00+0100,0
2017-01-07T06:00:00Z,2017-01-07T07:00:00+0100,0
2017-01-07T07:00:00Z,2017-01-07T08:00:00+0100,0
2017-01-07T08:00:00Z,2017-01-07T09:00:00+0100,2.26
2017-01-07T09:00:00Z,2017-01-07T10:00:00+0100,13.27
