,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Total energetic final consumption incl. refineries,,,,,,,,,
Chemical and petrochemical,0.00000000000000E+00,-,0.00000000000000E+00,1.01838729855121E+05,1.98120620000000E+05,0.00000000000000E+00,8.38518900000000E+04,5.43733900000000E+04,0.00000000000000E+00
Total non-energetic final consumption incl. refineries,,,,,,,,,
   Memo: Feedstock use in petrochemical industry,0.00000000000000E+00,-,0.00000000000000E+00,8.67883400000000E+04,2.66117440000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
