PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. biofuels,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. biofuels,Other kerosene,Gas/diesel oil excl. biofuels,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Other oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173510.12,x,330669.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18944.01,15499.99,68289.01,6415.01,0,c,558.02,0,0,0,0,0,64.81,140.01,2174.41,1537.98,0,50878.79,0,0,111.2,668793.36,149002.06
Imports,x,x,0,0,63785.94,0,0,0,439.49,0,0,0,0,0,0,0,0,24743.69,x,179095.02,0,4782.41,0,0,0,0,1149.99,29392.01,88.01,0,38657.02,0,158344.19,154999.98,0,436.01,2309.98,7800.01,0,5632,0,0,2886,2361.02,39914.98,0,c,11025.02,0,0,0,0,0,0,0,0,0,0,0,0,0,56322.01,151.02,784315.8,53826
Exports,x,x,0,0,-2130.45,0,0,0,0,0,0,0,0,0,0,0,0,-82349.08,x,-194532,0,-14005.6,0,0,0,0,-4324,-58784.01,-88.01,0,-2708.99,0,-109524.59,-182119.98,0,-87.21,-83.99,0,0,-96,0,0,0,0,0,0,c,-1087.48,0,0,0,0,0,0,0,0,0,0,0,0,0,-35042.39,0,-686963.78,-1087.48
International marine bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-18530.99,-13400.02,0,0,-83.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32014.99,0
International aviation bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,-36550.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36550.01,0
Stock changes,x,x,0,0,10897.53,0,0,0,58.62,0,0,0,0,0,0,0,0,3520.81,x,-3182.01,0,1708.01,0,0,0,0,-91.98,-1055.99,44,0,-3569,0,-18658.81,-11399.99,0,0,0,116.98,0,1120.01,0,0,0,0,0,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20491.83,c
Total primary energy supply,x,x,0,0,72553.02,0,0,0,498.1,0,0,0,0,0,0,0,0,119425.5,x,312051,0,-7515.18,0,0,0,0,-3266,-30448,44,0,-4171.02,0,11629.8,-51920,0,348.8,2142.01,7916.99,0,6656.01,0,0,21830.02,17861.01,108203.99,6415.01,0,9937.5,558.02,0,0,0,0,0,64.81,140.01,2174.41,1537.98,0,50878.79,0,21279.62,262.22,677088.42,201740.54
Transfers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,76988.09,0,0,0,0,-322.01,-15444.02,0,0,0,43,-45752.39,-14880.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632.67,0
Statistical differences,x,x,0,0,3393.82,0,0,0,0,0,0,0,-1.8,0,0,0,0,-9,x,3397,0,7045.51,0,0,-49.49,0,275.99,-528,0,0,-86,-43,-9883.19,2959.98,0,0,0,0,0,31.99,0,0,1,1,1,21.98,0,-225,0,0,0,0,0,0,0,0,0,-1,0,0,0,7.2,-468,5842.01,-202.01
Transformation processes,x,x,0,0,-71524.28,0,0,0,0,0,0,0,686.72,0,0,0,0,-35033.38,x,-315448,0,-76518.42,0,0,14305.5,0,5611.99,102740.01,0,0,6191.98,0,182242.78,66359.98,0,0,0,0,0,0,0,0,-20781.01,-17003.01,-59281.99,-5132.01,0,0,-558.02,0,0,0,0,0,-64.81,-140.01,-2174.41,-956.01,0,-50878.79,0,103086.01,130535.8,-43733.39,-139967.07
Main activity producer electricity plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-170.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64.81,0,0,0,0,-50878.79,0,50990.41,0,-123.59,-50943.6
