Year,Coal,Lignite,Natural gas,Crude oil,Uranium oxide
2.01000000000000E+03,4.08262149800000E+05,7.67310879600000E+05,1.27999601000000E+06,1.41686962000000E+06,1.10581355500000E+06
2.01100000000000E+03,3.90043554900000E+05,7.72495412500000E+05,1.25164856900000E+06,1.38259051600000E+06,1.05315576700000E+06
2.01200000000000E+03,3.39528359900000E+05,7.98418077400000E+05,1.22330112700000E+06,1.34831141200000E+06,1.00049797800000E+06
2.01300000000000E+03,3.05575523900000E+05,8.13971676300000E+05,1.19495368600000E+06,1.32545867600000E+06,9.55362731100000E+05
2.01400000000000E+03,2.72450805900000E+05,8.34709808200000E+05,1.16660624400000E+06,1.29117957300000E+06,9.02704942800000E+05
2.01500000000000E+03,2.39326087800000E+05,8.50263407100000E+05,1.13825880300000E+06,1.25690046900000E+06,8.57569695700000E+05
2.01600000000000E+03,1.85498421000000E+05,8.55447940100000E+05,1.11863365100000E+06,1.22262136500000E+06,7.40970307200000E+05
2.01700000000000E+03,1.34983226000000E+05,8.55447940100000E+05,1.09900849900000E+06,1.18834226200000E+06,6.27379935200000E+05
2.01800000000000E+03,5.82995037500000E+04,8.76186071900000E+05,1.08156392000000E+06,1.16548952600000E+06,5.14541817400000E+05
2.01900000000000E+03,0.00000000000000E+00,8.86555137900000E+05,1.06193876800000E+06,1.12892514900000E+06,4.00951445400000E+05
2.02000000000000E+03,0.00000000000000E+00,8.55447940100000E+05,1.04231361600000E+06,1.09693131800000E+06,2.87361073500000E+05
2.02100000000000E+03,0.00000000000000E+00,8.55447940100000E+05,1.02268846500000E+06,8.77545054700000E+05,2.25676235700000E+05
2.02200000000000E+03,0.00000000000000E+00,8.50263407100000E+05,1.00524388500000E+06,6.58158791000000E+05,1.50450823800000E+05
2.02300000000000E+03,0.00000000000000E+00,8.50263407100000E+05,9.85618733400000E+05,4.38772527400000E+05,7.52254119000000E+04
2.02400000000000E+03,0.00000000000000E+00,8.50263407100000E+05,9.68174154000000E+05,2.19386263700000E+05,0.00000000000000E+00
2.02500000000000E+03,0.00000000000000E+00,8.45078874100000E+05,9.48549002300000E+05,0.00000000000000E+00,0.00000000000000E+00
2.02600000000000E+03,0.00000000000000E+00,8.45078874100000E+05,9.20201560800000E+05,0.00000000000000E+00,0.00000000000000E+00
2.02700000000000E+03,0.00000000000000E+00,8.39894341100000E+05,8.91854119400000E+05,0.00000000000000E+00,0.00000000000000E+00
2.02800000000000E+03,0.00000000000000E+00,8.39894341100000E+05,8.63506677900000E+05,0.00000000000000E+00,0.00000000000000E+00
2.02900000000000E+03,0.00000000000000E+00,8.39894341100000E+05,8.35159236500000E+05,0.00000000000000E+00,0.00000000000000E+00
2.03000000000000E+03,0.00000000000000E+00,8.34709808200000E+05,8.06811795000000E+05,0.00000000000000E+00,0.00000000000000E+00
2.03100000000000E+03,0.00000000000000E+00,8.34709808200000E+05,6.45449436000000E+05,0.00000000000000E+00,0.00000000000000E+00
2.03200000000000E+03,0.00000000000000E+00,8.29525275200000E+05,4.84087077000000E+05,0.00000000000000E+00,0.00000000000000E+00
2.03300000000000E+03,0.00000000000000E+00,8.29525275200000E+05,3.22724718000000E+05,0.00000000000000E+00,0.00000000000000E+00
2.03400000000000E+03,0.00000000000000E+00,8.24340742200000E+05,1.61362359000000E+05,0.00000000000000E+00,0.00000000000000E+00
2.03500000000000E+03,0.00000000000000E+00,8.24340742200000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.03600000000000E+03,0.00000000000000E+00,8.24340742200000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.03700000000000E+03,0.00000000000000E+00,8.19156209300000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.03800000000000E+03,0.00000000000000E+00,8.19156209300000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.03900000000000E+03,0.00000000000000E+00,8.13971676300000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.04000000000000E+03,0.00000000000000E+00,8.13971676300000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.04100000000000E+03,0.00000000000000E+00,8.13971676300000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.04200000000000E+03,0.00000000000000E+00,8.08787143300000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.04300000000000E+03,0.00000000000000E+00,8.08787143300000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.04400000000000E+03,0.00000000000000E+00,8.03602610400000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.04500000000000E+03,0.00000000000000E+00,8.03602610400000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.04600000000000E+03,0.00000000000000E+00,8.03602610400000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.04700000000000E+03,0.00000000000000E+00,7.98418077400000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.04800000000000E+03,0.00000000000000E+00,7.98418077400000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.04900000000000E+03,0.00000000000000E+00,7.93233544400000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.05000000000000E+03,0.00000000000000E+00,7.93233544400000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
