# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,    T
# 
  260,19970101,    1, -122
  260,19970101,    2, -125
  260,19970101,    3, -126
  260,19970101,    4, -129
  260,19970101,    5, -130
  260,19970101,    6, -128
  260,19970101,    7, -129
  260,19970101,    8, -129
  260,19970101,    9, -119
  260,19970101,   10, -110
  260,19970101,   11,  -96
  260,19970101,   12,  -85
  260,19970101,   13,  -76
  260,19970101,   14,  -79
  260,19970101,   15,  -88
  260,19970101,   16,  -93
  260,19970101,   17, -101
  260,19970101,   18, -108
  260,19970101,   19, -113
  260,19970101,   20, -119
  260,19970101,   21, -126
  260,19970101,   22, -131
  260,19970101,   23, -133
  260,19970101,   24, -137
  260,19970102,    1, -143
  260,19970102,    2, -145
  260,19970102,    3, -152
  260,19970102,    4, -147
  260,19970102,    5, -153
  260,19970102,    6, -157
  260,19970102,    7, -158
  260,19970102,    8, -158
  260,19970102,    9, -151
  260,19970102,   10, -138
  260,19970102,   11, -120
  260,19970102,   12, -100
  260,19970102,   13,  -87
  260,19970102,   14,  -82
  260,19970102,   15,  -89
  260,19970102,   16,  -93
  260,19970102,   17, -105
  260,19970102,   18, -111
  260,19970102,   19, -114
  260,19970102,   20, -121
  260,19970102,   21, -123
  260,19970102,   22, -129
  260,19970102,   23, -129
  260,19970102,   24, -128
  260,19970103,    1, -125
  260,19970103,    2, -121
  260,19970103,    3, -117
  260,19970103,    4, -112
  260,19970103,    5, -107
  260,19970103,    6,  -99
  260,19970103,    7,  -96
  260,19970103,    8,  -94
  260,19970103,    9,  -90
  260,19970103,   10,  -80
  260,19970103,   11,  -73
  260,19970103,   12,  -64
  260,19970103,   13,  -55
  260,19970103,   14,  -60
  260,19970103,   15,  -57
  260,19970103,   16,  -55
  260,19970103,   17,  -58
  260,19970103,   18,  -60
  260,19970103,   19,  -61
  260,19970103,   20,  -55
  260,19970103,   21,  -55
  260,19970103,   22,  -54
  260,19970103,   23,  -51
  260,19970103,   24,  -50
  260,19970104,    1,  -49
  260,19970104,    2,  -48
  260,19970104,    3,  -47
  260,19970104,    4,  -46
  260,19970104,    5,  -46
  260,19970104,    6,  -44
  260,19970104,    7,  -48
  260,19970104,    8,  -48
  260,19970104,    9,  -46
  260,19970104,   10,  -47
  260,19970104,   11,  -46
  260,19970104,   12,  -44
  260,19970104,   13,  -41
  260,19970104,   14,  -38
  260,19970104,   15,  -36
  260,19970104,   16,  -36
  260,19970104,   17,  -35
  260,19970104,   18,  -33
  260,19970104,   19,  -30
  260,19970104,   20,  -30
  260,19970104,   21,  -33
  260,19970104,   22,  -34
  260,19970104,   23,  -37
  260,19970104,   24,  -37
  260,19970105,    1,  -39
  260,19970105,    2,  -39
  260,19970105,    3,  -42
  260,19970105,    4,  -42
  260,19970105,    5,  -48
  260,19970105,    6,  -52
  260,19970105,    7,  -51
  260,19970105,    8,  -51
  260,19970105,    9,  -49
  260,19970105,   10,  -43
  260,19970105,   11,  -38
  260,19970105,   12,  -35
  260,19970105,   13,  -26
  260,19970105,   14,  -25
  260,19970105,   15,  -26
  260,19970105,   16,  -40
  260,19970105,   17,  -45
  260,19970105,   18,  -63
  260,19970105,   19,  -62
  260,19970105,   20,  -67
  260,19970105,   21,  -82
  260,19970105,   22,  -93
  260,19970105,   23, -105
  260,19970105,   24, -106
  260,19970106,    1, -105
  260,19970106,    2, -101
  260,19970106,    3,  -86
  260,19970106,    4,  -80
  260,19970106,    5,  -91
  260,19970106,    6,  -73
  260,19970106,    7,  -74
  260,19970106,    8,  -67
  260,19970106,    9,  -62
  260,19970106,   10,  -61
  260,19970106,   11,  -66
  260,19970106,   12,  -69
  260,19970106,   13,  -67
  260,19970106,   14,  -65
  260,19970106,   15,  -72
  260,19970106,   16,  -80
  260,19970106,   17,  -86
  260,19970106,   18,  -91
  260,19970106,   19,  -94
  260,19970106,   20,  -91
  260,19970106,   21,  -95
  260,19970106,   22,  -85
  260,19970106,   23,  -74
  260,19970106,   24,  -66
  260,19970107,    1,  -62
  260,19970107,    2,  -61
  260,19970107,    3,  -58
  260,19970107,    4,  -57
  260,19970107,    5,  -52
  260,19970107,    6,  -50
  260,19970107,    7,  -47
  260,19970107,    8,  -45
  260,19970107,    9,  -43
  260,19970107,   10,  -43
  260,19970107,   11,  -41
  260,19970107,   12,  -38
  260,19970107,   13,  -35
  260,19970107,   14,  -34
  260,19970107,   15,  -41
  260,19970107,   16,  -46
  260,19970107,   17,  -51
  260,19970107,   18,  -53
  260,19970107,   19,  -61
  260,19970107,   20,  -69
