Country_code,Country,Format_name,Pollutant_name,Sector_code,Sector_name,Parent_sector_code,Unit,Year,emissions,Notation,PublicationDate,DataSource,Country_code_3
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),1.A,1.A - Fuel combustion activities (sectoral approach),1,Gg CO2 equivalent,1990,3573150.26208,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),1.A.3,1.A.3 - Transport,1.AA,Gg CO2 equivalent,1990,674049.78348,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),1.A.3.b.ii,1.A.3.b.ii - Light duty trucks,1.A.3.b,Gg CO2 equivalent,2019,86189.00881,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),1.A.3.b.v,1.A.3.b.v - Other Road Transportation,1.A.3.b,Gg CO2 equivalent,2019,103.49414,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),1.A.3.c,1.A.3.c - Railways,1.A.3,Gg CO2 equivalent,2019,4096.64163,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),1.A.3.e,1.A.3.e - Other Transportation,1.A.3,Gg CO2 equivalent,2019,5921.38315,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),1.A.4,1.A.4 - Other Sectors,1.AA,Gg CO2 equivalent,2019,527262.0631,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),1.B.2,1.B.2 - Oil and Natural Gas and Other Emissions from Energy Production,1.B,Gg CO2 equivalent,2019,37760.94112,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),2.B.5,2.B.5 - Carbide Production,2.B,Gg CO2 equivalent,2019,270.71328,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),2.B.9,2.B.9 - Fluorochemical Production,2.B,Gg CO2 equivalent,1990,23336.79413,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),2.C.2,2.C.2 - Ferroalloys Production,2.C,Gg CO2 equivalent,2019,2609.31857,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),2.C.4,2.C.4 - Magnesium Production,2.C,Gg CO2 equivalent,1990,474.7,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),2.C.6,2.C.6 - Zinc Production,2.C,Gg CO2 equivalent,1990,1610.31102,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),2.C.7,2.C.7 - Other Metal Industry,2.C,Gg CO2 equivalent,1990,1232.04976,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),2.D,2.D - Non-energy Products from Fuels and Solvent Use,2,Gg CO2 equivalent,1990,8021.36301,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),2.D.2,2.D.2 - Paraffin Wax Use,2.D,Gg CO2 equivalent,1990,631.00578,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),2.D.2,2.D.2 - Paraffin Wax Use,2.D,Gg CO2 equivalent,2019,1044.37843,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),2.E.3,2.E.3 - Photovoltaics,2.E,Gg CO2 equivalent,1990,,—,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),2.F.5,2.F.5 - Solvents,2.F,Gg CO2 equivalent,1990,,—,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),2.F.6,2.F.6 - Other Applications,2.F,Gg CO2 equivalent,2019,160.03651,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),2.G,2.G - Other Product Manufacture and Use,2,Gg CO2 equivalent,1990,11463.43868,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),2.H,2.H - Other Industrial Process and Product Use,2,Gg CO2 equivalent,1990,474.47747,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),3.B,3.B - Manure Management,3.1,Gg CO2 equivalent,2019,66055.20999,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),3.C,3.C - Rice Cultivation,3,Gg CO2 equivalent,2019,2833.89794,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),3.D.2,3.D.2 - Indirect N2O emissions from managed soils,3.D,Gg CO2 equivalent,1990,33007.52367,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),3.F.4,3.F.4 - Sugar cane,3.F,Gg CO2 equivalent,1990,10.55591,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),3.G,3.G - Liming,3,Gg CO2 equivalent,2019,4781.92331,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),4(II).B,4(II).B 4(II) Emissions and removals from drainage and rewetting and other management of organic and mineral soils,4.B,Gg CO2 equivalent,2019,1871.07459,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),4.B,4.B - Cropland,4,Gg CO2 equivalent,1990,75024.43987,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),4.C.1,4.C.1 - Grassland remaining grassland,4.C,Gg CO2 equivalent,1990,50128.47948,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),4.C.2,4.C.2 - Land converted to grassland,4.C,Gg CO2 equivalent,1990,-8169.15562,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),4.D.1,4.D.1 - Wetlands remaining wetlands,4.D,Gg CO2 equivalent,1990,18226.45281,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),4.E,4.E - Settlements,4,Gg CO2 equivalent,2019,25295.45924,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),4.F,4.F - Other Land,4,Gg CO2 equivalent,2019,1092.04004,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),4.F.2,4.F.2 - Land converted to other land,4.F,Gg CO2 equivalent,2019,1092.04004,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),5.A.2,5.A.2 - Unmanaged Waste Disposal Sites,5.A,Gg CO2 equivalent,1990,30221.46827,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),5.D.3,5.D.3 - Other Wastewater,5.D,Gg CO2 equivalent,1990,386.19539,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),6,6 - Other Sector,Sectors/Totals_incl_incl,Gg CO2 equivalent,1990,,"NA,NO",20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),6,6 - Other Sector,Sectors/Totals_incl_incl,Gg CO2 equivalent,2019,,"NA,NO",20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,All greenhouse gases - (CO2 equivalent),Sectors/Totals_excl,Total emissions (UNFCCC),,Gg CO2 equivalent,2019,3587825.16639,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,CH₄,1.A.1.a,1.A.1.a - Public Electricity and Heat Production,1.A.1,Gg,2019,123.65858,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,CH₄,1.A.1.b,1.A.1.b - Petroleum Refining,1.A.1,Gg,1990,3.00667,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,CH₄,1.A.1.c,1.A.1.c - Manufacture of Solid Fuels and Other Energy Industries,1.A.1,Gg,2019,7.39714,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,CH₄,1.A.2.c,1.A.2.c - Chemicals,1.A.2,Gg,1990,4.99371,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,CH₄,1.A.3.d,1.A.3.d - Domestic Navigation,1.A.3,Gg,2019,3.23795,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,CH₄,1.A.4.a,1.A.4.a - Commercial/Institutional,1.A.4,Gg,2019,28.26741,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,CH₄,1.A.4.c,1.A.4.c - Agriculture/Forestry/Fishing,1.A.4,Gg,1990,41.53227,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,CH₄,1.B.1,1.B.1 - Solid Fuels,1.B,Gg,2019,946.81716,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,CH₄,2.B.1,2.B.1 - Ammonia Production,2.B,Gg,1990,0.07367,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,CH₄,2.B.10,2.B.10 - Other chemical industry,2.B,Gg,2019,3.94678,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,CH₄,2.C,2.C - Metal Industry,2,Gg,1990,16.01789,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,CH₄,2.C.2,2.C.2 - Ferroalloys Production,2.C,Gg,1990,1.02384,,20250315,EEA,EUA
EUA,EU-27,IPCC Common Reporting Format,CH₄,2.D,2.D - Non-energy Products from Fuels and Solvent Use,2,Gg,1990,0.09081,,20250315,EEA,EUA
