,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Total energetic final consumption incl. refineries,,,,,,,,,
Chemical and petrochemical,5.01458418036640E+02,-,0.00000000000000E+00,4.15759347504136E+03,1.47181285264991E+04,0.00000000000000E+00,1.04101000000000E+03,5.90398000000000E+03,1.68310000000000E+02
Total non-energetic final consumption incl. refineries,,,,,,,,,
   Memo: Feedstock use in petrochemical industry,0.00000000000000E+00,-,0.00000000000000E+00,0.00000000000000E+00,4.19900000000000E+01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
