,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,-5.97984000000000E+03,-5.21495200000000E+04,2.84785300000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Coke ovens,-7.11523983824644E+04,5.21495200000000E+04,1.37319915650986E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Energy industry own use,,,,,,,,,
Coke ovens,0.00000000000000E+00,-,7.00458690008130E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.37579693091473E+02,0.00000000000000E+00
Blast furnaces,-,-,-,-,-,-,-,-,-
Total final consumption,,,,,,,,,
Industry - Steel,0.00000000000000E+00,-,1.68543259453360E+04,4.01102091376048E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.07293802270200E+04,0.00000000000000E+00
Industry - Aluminium,0.00000000000000E+00,-,0.00000000000000E+00,1.91133333333334E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.21050400000000E+03,0.00000000000000E+00
Industry - Other metals,1.85592057069151E+04,-,-,1.95094061969733E+04,4.24950000000000E+02,0.00000000000000E+00,3.32335000000000E+03,1.69454957729800E+04,0.00000000000000E+00
