,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Total energetic final consumption incl. refineries,,,,,,,,,
Chemical and petrochemical,0.00000000000000E+00,-,0.00000000000000E+00,1.20064296281151E+05,1.90671011114983E+05,0.00000000000000E+00,4.77538400000000E+04,5.75995700000000E+04,0.00000000000000E+00
Total non-energetic final consumption incl. refineries,,,,,,,,,
   Memo: Feedstock use in petrochemical industry,4.52522000000000E+03,-,0.00000000000000E+00,9.08165100000000E+04,4.40271990000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
