,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Total energetic final consumption incl. refineries,,,,,,,,,
Chemical and petrochemical,5.69800000000000E+01,-,0.00000000000000E+00,1.12942021130294E+05,2.01280290000000E+05,0.00000000000000E+00,5.02183600000000E+04,5.36568600000000E+04,0.00000000000000E+00
Total non-energetic final consumption incl. refineries,,,,,,,,,
   Memo: Feedstock use in petrochemical industry,3.01680000000000E+03,-,0.00000000000000E+00,8.39784600000000E+04,4.90200910000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
