,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,-9.43000100000000E+04,-2.81658140000000E+05,1.76482080000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Coke ovens,-3.71056895163906E+05,2.81658140000000E+05,7.36756769111249E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Energy industry own use,,,,,,,,,
Coke ovens,0.00000000000000E+00,-,3.42307902327290E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.39553439350672E+03,0.00000000000000E+00
Blast furnaces,-,-,-,-,-,-,-,-,-
Total final consumption,,,,,,,,,
Industry - Steel,0.00000000000000E+00,-,1.07385680220672E+05,5.16102174567952E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,4.79706580850833E+04,0.00000000000000E+00
Industry - Aluminium,0.00000000000000E+00,-,0.00000000000000E+00,1.74866666666667E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.02237600000000E+04,0.00000000000000E+00
Industry - Other metals,5.42780549778104E+04,-,-,7.55532923682706E+04,1.45648300000000E+04,0.00000000000000E+00,2.87545000000000E+03,8.11424619149167E+04,1.38693801076668E+02
