key,demand,full_load_hours,electricity_output_conversion,heat_output_conversion
energy_chp_local_engine_network_gas,6.61874170212766E+02,3.75000000000000E+02,4.30000000000000E-01,4.70000000000000E-01
energy_chp_local_engine_biogas,9.08696288965858E+02,3.75000000000000E+02,4.30000000000000E-01,4.70000000000000E-01
energy_chp_local_wood_pellets,8.39635648972981E+02,3.75000000000000E+02,2.89000000000000E-01,8.21000000000000E-01
industry_chp_turbine_gas_power_fuelmix,5.90593342777156E+02,3.75000000000000E+02,3.80000000000000E-01,4.20000000000000E-01
industry_chp_engine_gas_power_fuelmix,5.34346357750760E+02,3.75000000000000E+02,4.20000000000000E-01,4.80000000000000E-01
industry_chp_combined_cycle_gas_power_fuelmix,3.90305165661425E+03,3.75000000000000E+02,4.60000000000000E-01,4.20000000000000E-01
industry_chp_coal_gas,0.00000000000000E+00,6.35500000000000E+03,4.00000000000000E-01,2.50000000000000E-02
industry_chp_ultra_supercritical_coal,4.13632436170212E+01,3.75000000000000E+02,4.00000000000000E-01,1.50000000000000E-01
industry_chp_wood_pellets,0.00000000000000E+00,3.75000000000000E+02,2.79000000000000E-01,8.35000000000000E-01
energy_chp_combined_cycle_network_gas,1.39539130434783E+04,2.70000000000000E+03,4.60000000000000E-01,4.20000000000000E-01
energy_chp_ultra_supercritical_cofiring_coal,5.32021621621622E+04,2.70000000000000E+03,3.70000000000000E-01,1.50000000000000E-01
energy_chp_ultra_supercritical_coal,3.93570000000000E+04,6.00000000000000E+03,4.00000000000000E-01,1.50000000000000E-01
energy_chp_ultra_supercritical_lignite,0.00000000000000E+00,4.50000000000000E+03,3.50000000000000E-01,1.50000000000000E-01
energy_chp_supercritical_waste_mix,2.22666666666667E+04,8.00000000000000E+03,2.70000000000000E-01,1.50000000000000E-01
