Year,Coal,Lignite,Natural gas,Crude oil,Uranium oxide
2.01000000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.65500800000000E+06,7.04860000000000E+04,0.00000000000000E+00
2.01100000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.41683200000000E+06,7.12250000000000E+04,0.00000000000000E+00
2.01200000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.40556900000000E+06,7.47850000000000E+04,0.00000000000000E+00
2.01300000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.58533774000000E+06,8.10528800000000E+04,0.00000000000000E+00
2.01400000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.10892771000000E+06,8.35310550000000E+04,0.00000000000000E+00
2.01500000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.63251768000000E+06,8.60092300000000E+04,0.00000000000000E+00
2.01600000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.41644794400000E+06,6.39000000000000E+04,0.00000000000000E+00
2.01700000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.20037820800000E+06,6.03500000000000E+04,0.00000000000000E+00
2.01800000000000E+03,0.00000000000000E+00,0.00000000000000E+00,9.84308472000000E+05,3.90500000000000E+04,0.00000000000000E+00
2.01900000000000E+03,0.00000000000000E+00,0.00000000000000E+00,7.68238736000000E+05,3.55000000000000E+04,0.00000000000000E+00
2.02000000000000E+03,0.00000000000000E+00,0.00000000000000E+00,5.52169000000000E+05,2.84000000000000E+04,0.00000000000000E+00
2.02100000000000E+03,0.00000000000000E+00,0.00000000000000E+00,4.29074000000000E+05,2.84000000000000E+04,0.00000000000000E+00
2.02200000000000E+03,0.00000000000000E+00,0.00000000000000E+00,3.02462000000000E+05,2.48500000000000E+04,0.00000000000000E+00
2.02300000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.33646000000000E+05,2.48500000000000E+04,0.00000000000000E+00
2.02400000000000E+03,0.00000000000000E+00,0.00000000000000E+00,1.16061000000000E+05,2.13000000000000E+04,0.00000000000000E+00
2.02500000000000E+03,0.00000000000000E+00,0.00000000000000E+00,9.14420000000000E+04,1.77500000000000E+04,0.00000000000000E+00
2.02600000000000E+03,0.00000000000000E+00,0.00000000000000E+00,5.27550000000000E+04,1.77500000000000E+04,0.00000000000000E+00
2.02700000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.81360000000000E+04,1.77500000000000E+04,0.00000000000000E+00
2.02800000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.46190000000000E+04,1.42000000000000E+04,0.00000000000000E+00
2.02900000000000E+03,0.00000000000000E+00,0.00000000000000E+00,2.46190000000000E+04,1.42000000000000E+04,0.00000000000000E+00
2.03000000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.42000000000000E+04,0.00000000000000E+00
2.03100000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.42000000000000E+04,0.00000000000000E+00
2.03200000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.42000000000000E+04,0.00000000000000E+00
2.03300000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.06500000000000E+04,0.00000000000000E+00
2.03400000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.06500000000000E+04,0.00000000000000E+00
2.03500000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.06500000000000E+04,0.00000000000000E+00
2.03600000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.06500000000000E+04,0.00000000000000E+00
2.03700000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.06500000000000E+04,0.00000000000000E+00
2.03800000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.06500000000000E+04,0.00000000000000E+00
2.03900000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,7.10000000000000E+03,0.00000000000000E+00
2.04000000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,7.10000000000000E+03,0.00000000000000E+00
2.04100000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,3.55000000000000E+03,0.00000000000000E+00
2.04200000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,3.55000000000000E+03,0.00000000000000E+00
2.04300000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.04400000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.04500000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.04600000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.04700000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.04800000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.04900000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.05000000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
