,,BIODIESEL,BIOMASS,BIOMASS GASIFICATION,COAL,COMPRESSED AIR,HYDROGEN,NATURAL GAS,OIL,OTHER,OTHER GAS,SOLAR,STEAM,URANIUM,WASTE,WASTE GAS,WATER,WIND
Power,Other,,50,,2400,,,0,0,,,,,0,,,,0
,Combined Cycle,,,,,,,8486,0,,,,,,,,,
,Fuel Cell Electroche,,,,,,,,,,,,,,,,,
,Gas Combustion Turbi,,,,,,,128.25,,,,,,,,,,
,Geothermal Steam Tur,,,,,,,,,,,,,,,,,
,Hydro,,,,,,,,,,,,,,,,35.15,
,Internal Combustion,,,,,,,,,,,,,,,,,
,Nuclear,,,,403,,,18,,,,,,480,,,,
,Pumped Storage,,,,,,,,,,,,,,,,,
,Solar,,,,,,,,,,,,,,,,,
,Steam Turbine,,61,,2272,,,3569.8,26,,361,,,,186.2,,,
,Wind Turbine,,,,,,,,,,,,,,,,,2183.49
,,,,,,,,,,,,,,,,,,
CHP,Other,,,,1100,,,0,,,,,,,,,,
,Combined Cycle,,,,284,,,5538.33,,,128.6,,,,,,,
,,,,,,,,,,,,,,,,,,
,Gas Combustion Turbi,,,,,,,1013.43,,,144,,,,,,,
,Geothermal Steam Tur,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Internal Combustion,,,,,,,73.83,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Steam Turbine,,1.5,,1285,,,7,,,,,,,126.9,,,
