key,value
present_number_of_residences,7.93690600000000E+06
present_number_of_apartments_before_1945,5.40698000000000E+05
present_number_of_apartments_1945_1964,3.89344000000000E+05
present_number_of_apartments_1965_1984,7.64434000000000E+05
present_number_of_apartments_1985_2004,6.19871000000000E+05
present_number_of_apartments_2005_present,4.88170000000000E+05
present_number_of_detached_houses_before_1945,2.85225000000000E+05
present_number_of_detached_houses_1945_1964,1.43135000000000E+05
present_number_of_detached_houses_1965_1984,2.31185000000000E+05
present_number_of_detached_houses_1985_2004,2.52567000000000E+05
present_number_of_detached_houses_2005_present,1.18330000000000E+05
present_number_of_semi_detached_houses_before_1945,3.03284000000000E+05
present_number_of_semi_detached_houses_1945_1964,2.98740000000000E+05
present_number_of_semi_detached_houses_1965_1984,5.65690000000000E+05
present_number_of_semi_detached_houses_1985_2004,3.79710000000000E+05
present_number_of_semi_detached_houses_2005_present,1.78722000000000E+05
present_number_of_terraced_houses_before_1945,3.42679000000000E+05
present_number_of_terraced_houses_1945_1964,3.09325000000000E+05
present_number_of_terraced_houses_1965_1984,8.75089000000000E+05
present_number_of_terraced_houses_1985_2004,6.00576000000000E+05
present_number_of_terraced_houses_2005_present,2.50132000000000E+05
present_share_of_apartments_before_1945_in_useful_demand_for_space_heating,6.25040726869224E-02
present_share_of_apartments_1945_1964_in_useful_demand_for_space_heating,4.74523564642453E-02
present_share_of_apartments_1965_1984_in_useful_demand_for_space_heating,9.53994416233717E-02
present_share_of_apartments_1985_2004_in_useful_demand_for_space_heating,7.70344579668123E-02
present_share_of_apartments_2005_present_in_useful_demand_for_space_heating,6.12550022813887E-02
present_share_of_detached_houses_before_1945_in_useful_demand_for_space_heating,3.70316563248165E-02
present_share_of_detached_houses_1945_1964_in_useful_demand_for_space_heating,1.85715330739085E-02
present_share_of_detached_houses_1965_1984_in_useful_demand_for_space_heating,2.97821990506175E-02
present_share_of_detached_houses_1985_2004_in_useful_demand_for_space_heating,3.27032751808859E-02
present_share_of_detached_houses_2005_present_in_useful_demand_for_space_heating,1.52188916593297E-02
present_share_of_semi_detached_houses_before_1945_in_useful_demand_for_space_heating,3.87108078042949E-02
present_share_of_semi_detached_houses_1945_1964_in_useful_demand_for_space_heating,3.83527943771621E-02
present_share_of_semi_detached_houses_1965_1984_in_useful_demand_for_space_heating,7.27807449156890E-02
present_share_of_semi_detached_houses_1985_2004_in_useful_demand_for_space_heating,4.86054436010130E-02
present_share_of_semi_detached_houses_2005_present_in_useful_demand_for_space_heating,2.27994495913242E-02
present_share_of_terraced_houses_before_1945_in_useful_demand_for_space_heating,4.25312979748771E-02
present_share_of_terraced_houses_1945_1964_in_useful_demand_for_space_heating,3.94372730348244E-02
present_share_of_terraced_houses_1965_1984_in_useful_demand_for_space_heating,1.12216227322524E-01
present_share_of_terraced_houses_1985_2004_in_useful_demand_for_space_heating,7.61178811197236E-02
present_share_of_terraced_houses_2005_present_in_useful_demand_for_space_heating,3.14951939462689E-02
