,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,0.00000000000000E+00,-2.38969820000000E+05,9.55655900000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Coke ovens,-2.78884771061628E+05,2.38969820000000E+05,5.84439940101553E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Energy industry own use,,,,,,,,,
Coke ovens,0.00000000000000E+00,-,1.67422274713377E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Blast furnaces,-,-,-,-,-,-,-,-,-
Total final consumption,,,,,,,,,
Industry - Steel,6.19418838244896E+04,-,5.80705160854590E+03,4.24513953685623E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,3.92675852234665E+04,0.00000000000000E+00
Industry - Aluminium,0.00000000000000E+00,-,0.00000000000000E+00,5.83973333333334E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,6.75379520000001E+04,0.00000000000000E+00
Industry - Other metals,1.30846516175510E+05,-,-,3.03014612981044E+04,9.20191300000000E+04,0.00000000000000E+00,0.00000000000000E+00,1.20233322776533E+05,1.45215340000000E+05
