utc_timestamp,cet_cest_timestamp,DK_wind_offshore_generation_actual,DK_wind_onshore_generation_actual
2015-12-31T23:00:00Z,2016-01-01T00:00:00+0100,522.1,1001.1
2016-01-01T00:00:00Z,2016-01-01T01:00:00+0100,505.5,907.6
2016-01-01T01:00:00Z,2016-01-01T02:00:00+0100,500.8,784.4
2016-01-01T02:00:00Z,2016-01-01T03:00:00+0100,500.5,768.4
2016-01-01T03:00:00Z,2016-01-01T04:00:00+0100,402.8,765.5
2016-01-01T04:00:00Z,2016-01-01T05:00:00+0100,289.8,817.8
2016-01-01T05:00:00Z,2016-01-01T06:00:00+0100,214.9,775.7
2016-01-01T06:00:00Z,2016-01-01T07:00:00+0100,267.6,589.1
2016-01-01T07:00:00Z,2016-01-01T08:00:00+0100,189.4,480
2016-01-01T08:00:00Z,2016-01-01T09:00:00+0100,213.1,355.7
2016-01-01T09:00:00Z,2016-01-01T10:00:00+0100,140,255.2
2016-01-01T10:00:00Z,2016-01-01T11:00:00+0100,89.8,154
2016-01-01T11:00:00Z,2016-01-01T12:00:00+0100,92.2,79.8
2016-01-01T12:00:00Z,2016-01-01T13:00:00+0100,77.4,43.4
2016-01-01T13:00:00Z,2016-01-01T14:00:00+0100,82.3,37.7
2016-01-01T14:00:00Z,2016-01-01T15:00:00+0100,48.7,27.3
2016-01-01T15:00:00Z,2016-01-01T16:00:00+0100,43,10.1
2016-01-01T16:00:00Z,2016-01-01T17:00:00+0100,77.7,18.6
2016-01-01T17:00:00Z,2016-01-01T18:00:00+0100,109,33
2016-01-01T18:00:00Z,2016-01-01T19:00:00+0100,138.7,53.7
2016-01-01T19:00:00Z,2016-01-01T20:00:00+0100,190.4,118.2
2016-01-01T20:00:00Z,2016-01-01T21:00:00+0100,237.1,252
2016-01-01T21:00:00Z,2016-01-01T22:00:00+0100,511.7,410.6
2016-01-01T22:00:00Z,2016-01-01T23:00:00+0100,660,528.8
2016-01-01T23:00:00Z,2016-01-02T00:00:00+0100,764.9,601.6
2016-01-02T00:00:00Z,2016-01-02T01:00:00+0100,769.9,810.3
2016-01-02T01:00:00Z,2016-01-02T02:00:00+0100,868.2,1180
2016-01-02T02:00:00Z,2016-01-02T03:00:00+0100,939.6,1621.2
2016-01-02T03:00:00Z,2016-01-02T04:00:00+0100,1000.4,1971.9
2016-01-02T04:00:00Z,2016-01-02T05:00:00+0100,992.5,2216.3
2016-01-02T05:00:00Z,2016-01-02T06:00:00+0100,1051.2,2532.1
2016-01-02T06:00:00Z,2016-01-02T07:00:00+0100,1056.6,2750.8
2016-01-02T07:00:00Z,2016-01-02T08:00:00+0100,1130.4,3055.3
2016-01-02T08:00:00Z,2016-01-02T09:00:00+0100,1053.7,3121.4
2016-01-02T09:00:00Z,2016-01-02T10:00:00+0100,1101.1,3149
2016-01-02T10:00:00Z,2016-01-02T11:00:00+0100,1128,3219.7
2016-01-02T11:00:00Z,2016-01-02T12:00:00+0100,1166.5,3271.2
2016-01-02T12:00:00Z,2016-01-02T13:00:00+0100,1168.6,3282
2016-01-02T13:00:00Z,2016-01-02T14:00:00+0100,1167.7,3253.4
2016-01-02T14:00:00Z,2016-01-02T15:00:00+0100,1166.4,3269.4
2016-01-02T15:00:00Z,2016-01-02T16:00:00+0100,1161.4,3286.5
2016-01-02T16:00:00Z,2016-01-02T17:00:00+0100,1133.6,3297
2016-01-02T17:00:00Z,2016-01-02T18:00:00+0100,1130.3,3272.1
2016-01-02T18:00:00Z,2016-01-02T19:00:00+0100,1126.2,3244.7
2016-01-02T19:00:00Z,2016-01-02T20:00:00+0100,1125.8,3213.8
2016-01-02T20:00:00Z,2016-01-02T21:00:00+0100,1127.7,3208.9
2016-01-02T21:00:00Z,2016-01-02T22:00:00+0100,1039.5,3183.6
2016-01-02T22:00:00Z,2016-01-02T23:00:00+0100,1129,3204.2
2016-01-02T23:00:00Z,2016-01-03T00:00:00+0100,1134.9,3210.9
2016-01-03T00:00:00Z,2016-01-03T01:00:00+0100,766.4,3200.2
2016-01-03T01:00:00Z,2016-01-03T02:00:00+0100,1108.8,3201.8
2016-01-03T02:00:00Z,2016-01-03T03:00:00+0100,1109.7,3190.2
2016-01-03T03:00:00Z,2016-01-03T04:00:00+0100,1112.3,3166.4
2016-01-03T04:00:00Z,2016-01-03T05:00:00+0100,1111.1,3139.4
2016-01-03T05:00:00Z,2016-01-03T06:00:00+0100,1121.2,3139.6
2016-01-03T06:00:00Z,2016-01-03T07:00:00+0100,1120.2,3155.5
2016-01-03T07:00:00Z,2016-01-03T08:00:00+0100,1060.9,3139.8
2016-01-03T08:00:00Z,2016-01-03T09:00:00+0100,1088.8,3140.8
2016-01-03T09:00:00Z,2016-01-03T10:00:00+0100,1034.1,3191.1
2016-01-03T10:00:00Z,2016-01-03T11:00:00+0100,1043.3,3213.1
2016-01-03T11:00:00Z,2016-01-03T12:00:00+0100,1125.3,3205.1
2016-01-03T12:00:00Z,2016-01-03T13:00:00+0100,1126,3188.3
2016-01-03T13:00:00Z,2016-01-03T14:00:00+0100,1129.8,3128.1
2016-01-03T14:00:00Z,2016-01-03T15:00:00+0100,1018.2,3073.1
2016-01-03T15:00:00Z,2016-01-03T16:00:00+0100,1020.6,3046
2016-01-03T16:00:00Z,2016-01-03T17:00:00+0100,1017.2,3075.7
2016-01-03T17:00:00Z,2016-01-03T18:00:00+0100,1007.7,3094.4
2016-01-03T18:00:00Z,2016-01-03T19:00:00+0100,1003.3,3050.5
2016-01-03T19:00:00Z,2016-01-03T20:00:00+0100,989.4,2849.3
2016-01-03T20:00:00Z,2016-01-03T21:00:00+0100,1019.6,2853.2
2016-01-03T21:00:00Z,2016-01-03T22:00:00+0100,1024.3,2851.4
2016-01-03T22:00:00Z,2016-01-03T23:00:00+0100,1103.5,2806.8
2016-01-03T23:00:00Z,2016-01-04T00:00:00+0100,1112.5,2780.9
2016-01-04T00:00:00Z,2016-01-04T01:00:00+0100,1118.5,2747.7
2016-01-04T01:00:00Z,2016-01-04T02:00:00+0100,1126,2747.1
