,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,-3.89004800000000E+04,-5.36085000000000E+04,3.69938900000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Coke ovens,-7.45165277633493E+04,5.36085000000000E+04,1.56997933857216E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Energy industry own use,,,,,,,,,
Coke ovens,0.00000000000000E+00,-,7.15250383208623E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.83997107031904E+02,0.00000000000000E+00
Blast furnaces,-,-,-,-,-,-,-,-,-
Total final consumption,,,,,,,,,
Industry - Steel,0.00000000000000E+00,-,1.84061341705640E+04,8.01915159659943E+03,0.00000000000000E+00,0.00000000000000E+00,3.83693077310454E-13,6.89339495197225E+03,0.00000000000000E+00
Industry - Aluminium,0.00000000000000E+00,-,0.00000000000000E+00,6.10000000000001E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,7.05480000000001E+03,0.00000000000000E+00
Industry - Other metals,5.74346000000000E+03,-,-,5.44404608719557E+03,1.67760000000000E+02,0.00000000000000E+00,3.55920000000000E+02,5.78335504802774E+03,0.00000000000000E+00
