,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Total energetic final consumption incl. refineries,,,,,,,,,
Chemical and petrochemical,0.00000000000000E+00,-,0.00000000000000E+00,6.35204803210125E+04,1.03906580000000E+05,1.38450188518478E+02,2.18768300000000E+04,5.07223200000000E+04,0.00000000000000E+00
Total non-energetic final consumption incl. refineries,,,,,,,,,
   Memo: Feedstock use in petrochemical industry,8.66676000000000E+03,-,0.00000000000000E+00,3.92674900000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
