,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Total energetic final consumption,,,,,,,,,
Chemical and petrochemical industry,4.56718310505306E+04,-,5.94730000000000E+02,1.32967441281598E+04,1.63752800000000E+04,-6.66782331288344E+02,7.99886183363554E+03,3.10087800000000E+04,0.00000000000000E+00
Total non-energetic final consumption,,,,,,,,,
Feedstock use in petrochemical industry,0.00000000000000E+00,-,0.00000000000000E+00,8.37921900000000E+04,3.81971300000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
