party,category,classification,measure,gas,unit,year,numberValue,stringValue
IRL,1.  Energy,Total for category,Emission factor information,CH4,no unit,1990,,"CS,D,M"
IRL,1.  Energy,Total for category,Emission factor information,CH4,no unit,2019,,"CS,D,M,PS"
IRL,1.  Energy,Total for category,Emission factor information,CO2,no unit,1990,,"CS,D,M,PS"
IRL,1.  Energy,Total for category,Emission factor information,CO2,no unit,2019,,"CS,D,M,PS"
IRL,1.  Energy,Total for category,Emission factor information,N2O,no unit,1990,,"D,M"
IRL,1.  Energy,Total for category,Emission factor information,N2O,no unit,2019,,"CS,D,M,PS"
IRL,1.  Energy,Total for category,Indirect emissions,CO2,kt,1990,,NE
IRL,1.  Energy,Total for category,Indirect emissions,CO2,kt,2019,,NE
IRL,1.  Energy,Total for category,Indirect emissions,N2O,kt,1990,,NE
IRL,1.  Energy,Total for category,Indirect emissions,N2O,kt,2019,,NE
IRL,1.  Energy,Total for category,Method,CH4,no unit,1990,,"M,T1,T2,T3"
IRL,1.  Energy,Total for category,Method,CH4,no unit,2019,,"CS,M,T1,T2,T3"
IRL,1.  Energy,Total for category,Method,CO2,no unit,1990,,"M,T1,T2,T3"
IRL,1.  Energy,Total for category,Method,CO2,no unit,2019,,"CS,M,T1,T2,T3"
IRL,1.  Energy,Total for category,Method,N2O,no unit,1990,,"M,T1,T2,T3"
IRL,1.  Energy,Total for category,Method,N2O,no unit,2019,,"CS,M,T1,T2,T3"
IRL,1.  Energy,Total for category,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,1990,31067.589363632247,
IRL,1.  Energy,Total for category,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,2019,35257.933069856444,
IRL,1.  Energy,Total for category,Net emissions/removals,CH4,kt,1990,24.73627213978307,
IRL,1.  Energy,Total for category,Net emissions/removals,CH4,kt,2019,10.72587062672935,
IRL,1.  Energy,Total for category,Net emissions/removals,CO,kt,1990,559.3084648948703,
IRL,1.  Energy,Total for category,Net emissions/removals,CO,kt,2019,124.11412736787534,
IRL,1.  Energy,Total for category,Net emissions/removals,CO2,kt,1990,30148.213774174554,
IRL,1.  Energy,Total for category,Net emissions/removals,CO2,kt,2019,34629.81019310826,
IRL,1.  Energy,Total for category,Net emissions/removals,NH3,kt,1990,,NE
IRL,1.  Energy,Total for category,Net emissions/removals,NH3,kt,2019,,NE
IRL,1.  Energy,Total for category,Net emissions/removals,NMVOC,kt,1990,73.57563833127007,
IRL,1.  Energy,Total for category,Net emissions/removals,NMVOC,kt,2019,22.12046014458648,
IRL,1.  Energy,Total for category,Net emissions/removals,NOx,kt,1990,133.97327409590366,
IRL,1.  Energy,Total for category,Net emissions/removals,NOx,kt,2019,68.65624915551459,
IRL,1.  Energy,Total for category,Net emissions/removals,N2O,kt,1990,0.85569799827837,
IRL,1.  Energy,Total for category,Net emissions/removals,N2O,kt,2019,1.23697546867837,
IRL,1.  Energy,Total for category,Net emissions/removals,SO2,kt,1990,183.01720515822973,
IRL,1.  Energy,Total for category,Net emissions/removals,SO2,kt,2019,10.78166023802682,
IRL,1.  Energy,Total for category,unknown measure nr. 19496,CH4,kt,1990,24.73627213978307,
IRL,1.  Energy,Total for category,unknown measure nr. 19496,CH4,kt,2019,10.72587062672935,
IRL,1.  Energy,Total for category,unknown measure nr. 19496,N2O,kt,1990,0.85569799827837,
IRL,1.  Energy,Total for category,unknown measure nr. 19496,N2O,kt,2019,1.23697546867837,
IRL,1.  Energy,Total for category,unknown measure nr. 19497,CO2,kt,1990,,NE
IRL,1.  Energy,Total for category,unknown measure nr. 19497,CO2,kt,2019,,NE
IRL,1.A.1  Energy Industries,Biomass,Amount captured,CO2,kt,1990,,NO
